,year,Youtuber Name,Category,Subscribers 2019,Views 2019,year,Youtuber Name,Category,Subscribers 2020,Views 2020
0,2019,codyko,comedy,759381,170540905,2020,codyko,comedy,888891,277765544
2,2019,h3h3productions,comedy,114497,60055793,2020,h3h3productions,comedy,-103323,101306174
4,2019,idubbbztv,comedy,337104,110368546,2020,idubbbztv,comedy,25559,127967696
6,2019,jacksfilms,comedy,80252,115833331,2020,jacksfilms,comedy,-13332,170731931
8,2019,jennamarbles,comedy,305305,220857828,2020,jennamarbles,comedy,144443,192889610
10,2019,pewdiepie.x,comedy,5065688,2137640312,2020,pewdiepie.x,comedy,4777773,2408154449
12,2019,rhettandlink,comedy,66443,20021426,2020,rhettandlink,comedy,293327,49067435
,,,,,,,,,,
16,2019,tvfilthyfrank,comedy,277261,63979870,2020,tvfilthyfrank,comedy,645554,132149064
18,2019,chillingtaleswi,commentory,18521,3537407,2020,chillingtaleswi,commentory,45562,10291727
20,2019,dangelowallace,commentory,101225,5061764,2020,dangelowallace,commentory,600445,26495555
22,2019,infinitelists,commentory,2051900,517210982,2020,infinitelists,commentory,2055555,850271911
24,2019,kurtisconner,commentory,463788,54845857,2020,kurtisconner,commentory,733337,127848776
26,2019,lostinvegas,commentory,107414,28094551,2020,lostinvegas,commentory,80219,34454756
28,2019,madisonharnish,commentory,25,806,2020,madisonharnish,commentory,53827,3928708
30,2019,sssniperwolf,commentory,1524844,826876712,2020,sssniperwolf,commentory,5811109,4355134344
32,2019,asapscience,educational,195379,55462554,2020,asapscience,educational,514447,125790756
34,2019,bigthink,educational,72549,15665502,2020,bigthink,educational,258887,32509691
36,2019,cgpgrey,educational,217780,47360126,2020,cgpgrey,educational,423343,107820150
38,2019,commonsenseeducators,educational,5664,1369554,2020,commonsenseeducators,educational,26411,5328136
40,2019,crashcourse,educational,408969,89111363,2020,crashcourse,educational,1299987,190614495
42,2019,edutopia,educational,9421,3042609,2020,edutopia,educational,23099,7389481
44,2019,natgeo,educational,1358601,291287849,2020,natgeo,educational,2711112,595761322
46,2019,tededucation,educational,809412,189896647,2020,tededucation,educational,2344439,499425295
48,2019,veritasium,educational,494319,99767082,2020,veritasium,educational,1214446,183122727
50,2019,vsauce1,educational,572005,108872294,2020,vsauce1,educational,1066656,196716614
