start_date,end_date,weekly_subscribers,weekly_views
2020-08-10,2020-08-17,9980,26143
2020-08-16,2020-08-23,5700,28641
2020-08-23,2020-08-30,2700,12437
2020-08-30,2020-09-06,2300,22689
2020-09-06,2020-09-13,3100,31487
2020-09-13,2020-09-20,8700,30998
2020-09-20,2020-09-27,2900,27423
2020-09-27,2020-10-04,2500,25749
2020-10-04,2020-10-11,2200,22969
2020-10-11,2020-10-18,5300,25043
2020-10-18,2020-10-25,8400,61557
2020-10-25,2020-11-01,8200,69219
2020-11-01,2020-11-08,21100,147933
2020-11-08,2020-11-15,20000,202867
2020-11-16,2020-11-23,11000,120661
2020-11-22,2020-11-29,10000,134842
2020-12-02,2020-12-09,4000,56091
2020-12-06,2020-12-13,11000,157865
2020-12-16,2020-12-23,8000,117558
2020-12-20,2020-12-27,11000,156204
2020-12-27,2021-01-03,8000,133840
2021-01-03,2021-01-10,14000,167922
2021-01-10,2021-01-17,17000,208218
2021-01-17,2021-01-24,11000,135384
2021-01-24,2021-01-31,11000,156327
2021-02-01,2021-02-08,14000,296893
2021-02-07,2021-02-14,20000,361207
2021-02-14,2021-02-21,31000,622475
2021-02-21,2021-02-28,166000,2193840
2021-02-28,2021-03-07,68000,1263669
2021-03-07,2021-03-14,36000,1040079
2021-03-14,2021-03-21,24000,770573
2021-03-21,2021-03-28,84000,1947483
2021-03-28,2021-04-04,74000,1607857
2021-04-04,2021-04-11,58000,2355725
2021-04-11,2021-04-18,88000,4668303
2021-04-18,2021-04-25,60000,3940429
2021-04-25,2021-05-02,50000,2485619
2021-05-02,2021-05-09,130000,9977095
2021-05-09,2021-05-16,60000,4603977
2021-05-16,2021-05-23,90000,6131963
2021-05-23,2021-05-30,90000,6084860
2021-05-30,2021-06-06,70000,4758610
2021-06-06,2021-06-13,60000,6060433
2021-06-13,2021-06-20,60000,4246801
2021-06-20,2021-06-27,60000,5634427
2021-06-27,2021-07-04,50000,4729221
2021-07-04,2021-07-11,40000,4396831
2021-07-11,2021-07-18,50000,5153616
2021-07-18,2021-07-25,50000,4071984
2021-07-25,2021-08-01,100000,6292757
2021-08-01,2021-08-08,100000,6727483
2021-08-08,2021-08-15,170000,11635655
2021-08-15,2021-08-22,260000,15487175
2021-08-22,2021-08-29,280000,16414047
2021-08-29,2021-09-05,130000,8147633
2021-09-05,2021-09-12,100000,9266661
2021-09-12,2021-09-19,90000,8509394
2021-09-19,2021-09-26,90000,9646860
2021-09-26,2021-10-03,50000,7519447
2021-10-03,2021-10-10,70000,8517008
2021-10-10,2021-10-17,60000,9158104
2021-10-17,2021-10-24,70000,10501669
2021-10-24,2021-10-31,90000,8974900
2021-10-31,2021-11-07,40000,7355031
2021-11-07,2021-11-14,50000,7169014
2021-11-14,2021-11-21,80000,9514923
2021-11-21,2021-11-28,60000,9919848
2021-11-28,2021-12-05,60000,7998545
2021-12-05,2021-12-12,50000,6419790
2021-12-12,2021-12-19,40000,7592049
2021-12-19,2021-12-26,60000,8359162
2021-12-26,2022-01-02,50000,10248625
2022-01-02,2022-01-09,60000,8410325
2022-01-09,2022-01-16,90000,15558962
2022-01-16,2022-01-23,90000,18109896
2022-01-23,2022-01-30,40000,10113044
2022-01-30,2022-02-06,60000,15783422
2022-02-06,2022-02-13,80000,17111197
2022-02-13,2022-02-20,60000,15849170
2022-02-20,2022-02-27,80000,18167617
2022-02-27,2022-03-06,70000,14962938
2022-03-06,2022-03-13,60000,13364789
2022-03-13,2022-03-20,60000,16593544
2022-03-20,2022-03-27,50000,14795517
2022-03-27,2022-04-03,50000,10539935
2022-04-03,2022-04-10,60000,16892490
2022-04-10,2022-04-17,40000,13071253
2022-04-17,2022-04-24,40000,12221513
2022-04-24,2022-05-01,20000,9684452
2022-05-01,2022-05-08,30000,14868522
2022-05-08,2022-05-15,20000,10078577
2022-05-15,2022-05-22,20000,10864827
