start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,33974,4034616
2019-06-02,2019-06-09,63430,10983136
2019-06-09,2019-06-16,65333,12976839
2019-06-16,2019-06-23,40719,8583225
2019-06-23,2019-06-30,53991,11577300
2019-06-30,2019-07-07,29520,5786117
2019-07-07,2019-07-14,25772,6031316
2019-07-14,2019-07-21,26235,4947861
2019-07-21,2019-07-28,30341,4786642
2019-07-28,2019-08-04,40639,8557532
2019-08-04,2019-08-11,50603,10813120
2019-08-11,2019-08-18,27865,5802030
2019-08-18,2019-08-25,21943,4417099
2019-08-25,2019-09-01,19476,3818836
2019-09-01,2019-09-08,16341,3456893
2019-09-08,2019-09-15,17123,5677011
2019-09-15,2019-09-22,9821,3068035
2019-09-22,2019-09-29,20000,2934911
2019-09-29,2019-10-06,30000,9001933
2019-10-06,2019-10-13,50000,9166379
2019-10-13,2019-10-20,40000,8641844
2019-10-20,2019-10-27,20000,6617691
2019-10-27,2019-11-03,20000,3534222
2019-11-03,2019-11-10,20000,3027601
2019-11-10,2019-11-17,10000,2965544
2019-11-17,2019-11-24,30000,9781458
2019-11-24,2019-12-01,20000,3600294
2019-12-01,2019-12-08,10000,5859069
2019-12-08,2019-12-15,30000,7246675
2019-12-15,2019-12-22,20000,4215129
2019-12-22,2019-12-29,30000,5405430
2019-12-29,2020-01-05,20000,6513999
2020-01-05,2020-01-12,40000,7041190
2020-01-12,2020-01-19,20000,6367859
2020-01-19,2020-01-26,20000,8337346
2020-01-26,2020-02-02,20000,5020329
2020-02-02,2020-02-09,20000,6219564
2020-02-09,2020-02-16,10000,3556953
2020-02-16,2020-02-23,10000,2637512
2020-02-23,2020-03-01,20000,3535371
2020-03-01,2020-03-08,10000,3152847
2020-03-08,2020-03-15,10000,6176084
2020-03-15,2020-03-22,30000,9302948
2020-03-22,2020-03-29,40000,9801780
2020-03-29,2020-04-05,40000,8679534
2020-04-05,2020-04-12,30000,5663683
2020-04-12,2020-04-19,30000,8712093
2020-04-19,2020-04-26,30000,10777495
2020-04-26,2020-05-03,40000,11585943
2020-05-03,2020-05-10,30000,6027701
2020-05-10,2020-05-17,20000,7835660
2020-05-17,2020-05-24,20000,7284462
2020-05-24,2020-05-31,20000,4166339
2020-05-31,2020-06-07,20000,3549571
2020-06-07,2020-06-14,20000,8405829
2020-06-14,2020-06-21,20000,6878593
2020-06-21,2020-06-28,30000,7143353
2020-06-28,2020-07-05,20000,3690115
2020-07-05,2020-07-12,20000,6873045
2020-07-12,2020-07-19,20000,7769035
2020-07-19,2020-07-26,20000,6102010
2020-07-26,2020-08-02,10000,3251275
2020-08-02,2020-08-09,10000,2803896
2020-08-09,2020-08-16,10000,2791013
2020-08-16,2020-08-23,20000,4724180
2020-08-23,2020-08-30,20000,4588075
2020-08-30,2020-09-06,10000,5597796
2020-09-06,2020-09-13,10000,3563829
2020-09-13,2020-09-20,10000,2980480
2020-09-20,2020-09-27,10000,4912833
2020-09-27,2020-10-04,10000,3132562
2020-10-04,2020-10-11,10000,4764138
2020-10-11,2020-10-18,10000,3115948
2020-10-18,2020-10-25,10000,3693527
2020-10-25,2020-11-01,0,3167632
2020-11-01,2020-11-08,0,2283949
2020-11-08,2020-11-15,10000,5632498
2020-11-15,2020-11-22,10000,3446727
2020-11-22,2020-11-29,10000,3697247
2020-11-29,2020-12-06,0,4043823
2020-12-06,2020-12-13,10000,2456737
2020-12-13,2020-12-20,10000,2166128
2020-12-20,2020-12-27,0,4087697
2020-12-27,2021-01-03,0,5063674
2021-01-03,2021-01-10,10000,2739843
2021-01-10,2021-01-17,10000,3792961
2021-01-17,2021-01-24,20000,6482876
2021-01-24,2021-01-31,40000,10567661
2021-01-31,2021-02-07,20000,6436048
2021-02-07,2021-02-14,10000,3776934
2021-02-14,2021-02-21,10000,5407182
2021-02-21,2021-02-28,10000,4812987
2021-02-28,2021-03-07,10000,4559605
2021-03-07,2021-03-14,10000,3787606
2021-03-14,2021-03-21,10000,3139436
2021-03-21,2021-03-28,10000,5754824
2021-03-28,2021-04-04,20000,8740829
2021-04-04,2021-04-11,0,6351081
2021-04-11,2021-04-18,10000,6418146
2021-04-18,2021-04-25,20000,7355312
2021-04-25,2021-05-02,20000,6050784
2021-05-02,2021-05-09,10000,6482525
2021-05-09,2021-05-16,10000,3351722
2021-05-16,2021-05-23,10000,5307622
2021-05-23,2021-05-30,10000,6658497
2021-05-30,2021-06-06,10000,7916152
2021-06-06,2021-06-13,10000,8556948
2021-06-13,2021-06-20,10000,7858246
2021-06-20,2021-06-27,10000,7839030
2021-06-27,2021-07-04,10000,7428804
2021-07-04,2021-07-11,0,6240757
2021-07-11,2021-07-18,0,5645771
2021-07-18,2021-07-25,10000,5223617
2021-07-25,2021-08-01,10000,4977927
2021-08-01,2021-08-08,10000,8720772
2021-08-08,2021-08-15,10000,7371802
2021-08-15,2021-08-22,10000,7377673
2021-08-22,2021-08-29,10000,5962591
2021-08-29,2021-09-05,10000,5921467
2021-09-05,2021-09-12,10000,6307596
2021-09-12,2021-09-19,0,5082312
2021-09-19,2021-09-26,10000,5016879
2021-09-26,2021-10-03,10000,4412679
2021-10-03,2021-10-10,0,4207843
2021-10-10,2021-10-17,10000,5505223
2021-10-17,2021-10-24,0,4021794
2021-10-24,2021-10-31,10000,3183727
2021-10-31,2021-11-07,0,4656482
2021-11-07,2021-11-14,10000,4204807
2021-11-14,2021-11-21,10000,5058880
2021-11-21,2021-11-28,10000,5597895
2021-11-28,2021-12-05,10000,5271633
2021-12-05,2021-12-12,0,2889798
2021-12-12,2021-12-19,0,2744308
2021-12-19,2021-12-26,10000,744978
2021-12-26,2022-01-02,0,2211350
2022-01-02,2022-01-09,0,3296313
2022-01-09,2022-01-16,0,2186268
2022-01-16,2022-01-23,10000,3482981
2022-01-23,2022-01-30,0,4390565
2022-01-30,2022-02-06,0,4149587
2022-02-06,2022-02-13,10000,1830926
2022-02-13,2022-02-20,0,3772235
2022-02-20,2022-02-27,0,2550107
2022-02-27,2022-03-06,0,4440259
2022-03-06,2022-03-13,0,2849505
2022-03-13,2022-03-20,10000,3092007
2022-03-20,2022-03-27,0,3372337
2022-03-27,2022-04-03,0,5173494
2022-04-03,2022-04-10,10000,2637574
2022-04-10,2022-04-17,0,3811407
2022-04-17,2022-04-24,0,1957898
2022-04-24,2022-05-01,0,2541117
2022-05-01,2022-05-08,10000,2264596
2022-05-08,2022-05-15,0,2311226
2022-05-15,2022-05-22,0,2637830
