start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,5461,1243384
2019-06-02,2019-06-09,10439,2543274
2019-06-09,2019-06-16,8337,2505716
2019-06-16,2019-06-23,6408,2143278
2019-06-23,2019-06-30,4428,4279362
2019-06-30,2019-07-07,5433,2223283
2019-07-07,2019-07-14,7743,2264186
2019-07-14,2019-07-21,6908,2260166
2019-07-21,2019-07-28,7680,2573003
2019-07-28,2019-08-04,73569,13107918
2019-08-04,2019-08-11,30504,8113707
2019-08-11,2019-08-18,16138,5476890
2019-08-18,2019-08-25,9641,6271512
2019-08-25,2019-09-01,8277,3551106
2019-09-01,2019-09-08,5406,2871388
2019-09-08,2019-09-15,26866,6932851
2019-09-15,2019-09-22,30000,5309786
2019-09-22,2019-09-29,10000,3906998
2019-09-29,2019-10-06,0,2846408
2019-10-06,2019-10-13,0,4224796
2019-10-13,2019-10-20,0,2636536
2019-10-20,2019-10-27,10000,2525113
2019-10-27,2019-11-03,0,1752691
2019-11-03,2019-11-10,10000,1882807
2019-11-10,2019-11-17,10000,2051379
2019-11-17,2019-11-24,20000,884722
2019-11-24,2019-12-01,10000,2370520
2019-12-08,2019-12-15,20000,2005555
2019-12-15,2019-12-22,10000,3848415
2019-12-22,2019-12-29,20000,8672767
2019-12-29,2020-01-05,20000,9765678
2020-01-05,2020-01-12,10000,4483853
2020-01-12,2020-01-19,10000,3185178
2020-01-19,2020-01-26,20000,6219511
2020-01-26,2020-02-02,0,2834533
2020-02-02,2020-02-09,0,2383128
2020-02-09,2020-02-16,10000,2297283
2020-02-16,2020-02-23,10000,6633770
2020-02-23,2020-03-01,10000,2959031
2020-03-01,2020-03-08,0,1993210
2020-03-08,2020-03-15,10000,1835722
2020-03-15,2020-03-22,0,2074134
2020-03-29,2020-04-05,0,4979495
2020-04-05,2020-04-12,0,3651579
2020-04-12,2020-04-19,0,2189275
2020-04-26,2020-05-03,0,1677805
2020-05-03,2020-05-10,0,3199276
2020-05-17,2020-05-24,10000,3507060
2020-05-24,2020-05-31,0,2145294
2020-05-31,2020-06-07,0,2973619
2020-06-07,2020-06-14,10000,2701032
2020-06-14,2020-06-21,0,2538304
2020-06-21,2020-06-28,0,2288972
2020-06-28,2020-07-05,0,2215613
2020-07-05,2020-07-12,0,2081850
2020-07-12,2020-07-19,0,1800003
2020-07-19,2020-07-26,10000,3381858
2020-07-26,2020-08-02,0,2193138
2020-08-02,2020-08-09,0,1852935
2020-08-09,2020-08-16,0,5880848
2020-08-16,2020-08-23,0,2852585
2020-08-23,2020-08-30,0,1814925
2020-08-30,2020-09-06,0,1599522
2020-09-06,2020-09-13,0,1283116
2020-09-20,2020-09-27,0,1212069
2020-09-27,2020-10-04,0,1159265
2020-10-04,2020-10-11,0,1063386
2020-10-11,2020-10-18,0,1012418
2020-10-25,2020-11-01,0,1192659
2020-11-01,2020-11-08,0,1228576
2020-11-15,2020-11-22,0,1190972
2020-11-29,2020-12-06,0,1074939
2020-12-06,2020-12-13,0,1798647
2020-12-13,2020-12-20,0,2614320
2020-12-27,2021-01-03,0,2060113
2021-01-03,2021-01-10,10000,1452257
2021-01-10,2021-01-17,0,1258666
2021-01-17,2021-01-24,0,2089671
2021-01-24,2021-01-31,0,1349765
2021-01-31,2021-02-07,0,1146639
2021-02-14,2021-02-21,0,1077250
2021-02-21,2021-02-28,0,1759376
2021-02-28,2021-03-07,0,3589647
2021-03-07,2021-03-14,0,2311775
2021-03-14,2021-03-21,0,1765223
2021-03-21,2021-03-28,0,1578070
2021-03-28,2021-04-04,0,1592028
2021-04-11,2021-04-18,0,1073240
2021-04-18,2021-04-25,10000,833057
2021-04-25,2021-05-02,0,811108
2021-05-02,2021-05-09,0,790428
2021-05-09,2021-05-16,0,785922
2021-05-23,2021-05-30,0,976704
2021-05-30,2021-06-06,0,1068389
2021-06-13,2021-06-20,0,788495
2021-06-20,2021-06-27,0,773653
2021-06-27,2021-07-04,0,772101
2021-07-11,2021-07-18,0,1005226
2021-07-18,2021-07-25,0,1926120
2021-07-25,2021-08-01,0,1546200
2021-08-01,2021-08-08,0,1105980
2021-08-22,2021-08-29,0,887516
2021-08-29,2021-09-05,0,1309155
2021-09-05,2021-09-12,0,2000411
2021-09-19,2021-09-26,0,1217846
2021-10-03,2021-10-10,0,1057462
2021-10-10,2021-10-17,0,962554
2021-10-17,2021-10-24,0,806964
2021-10-24,2021-10-31,0,632777
2021-10-31,2021-11-07,0,553203
2021-11-07,2021-11-14,0,3413594
2021-11-14,2021-11-21,0,1546602
2021-11-21,2021-11-28,0,1490715
2021-11-28,2021-12-05,0,1171652
2021-12-05,2021-12-12,0,2110741
2021-12-12,2021-12-19,0,969039
2021-12-26,2022-01-02,0,661119
2022-01-02,2022-01-09,0,584776
2022-01-09,2022-01-16,0,531994
2022-01-23,2022-01-30,0,490494
2022-01-30,2022-02-06,0,465776
2022-02-06,2022-02-13,0,1831810
2022-02-13,2022-02-20,0,899776
2022-02-20,2022-02-27,0,753783
2022-02-27,2022-03-06,0,653075
2022-03-06,2022-03-13,0,2350562
2022-03-13,2022-03-20,0,1928521
2022-03-27,2022-04-03,0,976628
2022-04-03,2022-04-10,0,696341
2022-04-17,2022-04-24,10000,580193
2022-05-01,2022-05-08,0,403792
2022-05-08,2022-05-15,0,351842
2022-05-15,2022-05-22,0,321676
