start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,603,830851
2019-06-02,2019-06-09,3192,5579805
2019-06-09,2019-06-16,5165,5899272
2019-06-16,2019-06-23,5955,4744492
2019-06-23,2019-06-30,8084,7307097
2019-06-30,2019-07-07,5083,3291169
2019-07-07,2019-07-14,4771,5329432
2019-07-14,2019-07-21,3475,4017306
2019-07-21,2019-07-28,6219,7874190
2019-07-28,2019-08-04,1784,4734919
2019-08-04,2019-08-11,1298,4399882
2019-08-11,2019-08-18,2784,2806643
2019-08-18,2019-08-25,942,3694983
2019-08-25,2019-09-01,6531,4379625
2019-09-01,2019-09-08,3482,2935123
2019-09-08,2019-09-15,4897,5539444
2019-09-15,2019-09-22,-840,3962240
2019-09-22,2019-09-29,0,4400156
2019-09-29,2019-10-06,0,4358212
2019-10-06,2019-10-13,0,3718093
2019-10-13,2019-10-20,0,3097766
2019-10-20,2019-10-27,0,3373791
2019-10-27,2019-11-03,10000,3161372
2019-11-03,2019-11-10,0,3764737
2019-11-10,2019-11-17,10000,2910984
2019-11-17,2019-11-24,0,2973637
2019-11-24,2019-12-01,10000,5140775
2019-12-01,2019-12-08,-20000,4328066
2019-12-08,2019-12-15,10000,2344803
2019-12-15,2019-12-22,0,4495937
2019-12-22,2019-12-29,10000,4569730
2019-12-29,2020-01-05,10000,5999025
2020-01-05,2020-01-12,0,2781959
2020-01-12,2020-01-19,0,2144160
2020-01-19,2020-01-26,10000,2602377
2020-01-26,2020-02-02,0,3706466
2020-02-02,2020-02-09,0,1939270
2020-02-09,2020-02-16,0,3843574
2020-02-16,2020-02-23,0,4309809
2020-02-23,2020-03-01,0,3549117
2020-03-01,2020-03-08,0,2000855
2020-03-08,2020-03-15,0,4396201
2020-03-15,2020-03-22,0,4989162
2020-03-22,2020-03-29,0,4275523
2020-03-29,2020-04-05,0,5848571
2020-04-05,2020-04-12,0,3953704
2020-04-12,2020-04-19,0,3447849
2020-04-19,2020-04-26,0,2076797
2020-04-26,2020-05-03,0,2877977
2020-05-03,2020-05-10,0,2543585
2020-05-10,2020-05-17,0,3921182
2020-05-17,2020-05-24,0,3782208
2020-05-24,2020-05-31,10000,6100470
2020-05-31,2020-06-07,0,8075083
2020-06-07,2020-06-14,0,6708565
2020-06-14,2020-06-21,-10000,6297258
2020-06-21,2020-06-28,-10000,5025428
2020-06-28,2020-07-05,10000,2744478
2020-07-05,2020-07-12,-10000,2244812
2020-07-12,2020-07-19,0,2281538
2020-07-19,2020-07-26,0,1883866
2020-07-26,2020-08-02,0,4335537
