start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,3807,1507039
2019-06-02,2019-06-09,13730,6856455
2019-06-09,2019-06-16,7068,6123756
2019-06-16,2019-06-23,16440,8129518
2019-06-23,2019-06-30,15985,8433585
2019-06-30,2019-07-07,27824,9902946
2019-07-07,2019-07-14,28188,10672628
2019-07-14,2019-07-21,22233,10172593
2019-07-21,2019-07-28,18246,8700788
2019-07-28,2019-08-04,17498,8381585
2019-08-04,2019-08-11,26158,10031342
2019-08-11,2019-08-18,17571,9034228
2019-08-18,2019-08-25,15072,8373962
2019-08-25,2019-09-01,19197,9547664
2019-09-01,2019-09-08,10034,8608330
2019-09-08,2019-09-15,14858,8908387
2019-09-15,2019-09-22,-71137,7970190
2019-09-22,2019-09-29,0,7329340
2019-09-29,2019-10-06,100000,7616666
2019-10-06,2019-10-13,0,8008235
2019-10-13,2019-10-20,0,7122287
2019-10-20,2019-10-27,0,6899826
2019-10-27,2019-11-03,0,6323273
2019-11-03,2019-11-10,0,6690085
2019-11-10,2019-11-17,0,7603815
2019-11-17,2019-11-24,100000,8607586
2019-11-24,2019-12-01,0,6204690
2019-12-01,2019-12-08,-100000,6417592
2019-12-08,2019-12-15,0,6896217
2019-12-15,2019-12-22,0,7330683
2019-12-22,2019-12-29,0,3947048
2019-12-29,2020-01-05,100000,4053504
2020-01-05,2020-01-12,0,8899434
2020-01-12,2020-01-19,0,8139089
2020-01-19,2020-01-26,0,9211030
2020-01-26,2020-02-02,0,9646213
2020-02-02,2020-02-09,0,10061906
2020-02-09,2020-02-16,0,8577006
2020-02-16,2020-02-23,0,7547750
2020-02-23,2020-03-01,100000,6819122
2020-03-01,2020-03-08,0,5819520
2020-03-08,2020-03-15,0,6101127
2020-03-15,2020-03-22,0,4807721
2020-03-22,2020-03-29,0,6818161
2020-03-29,2020-04-05,0,6882330
2020-04-05,2020-04-12,0,5187370
2020-04-12,2020-04-19,0,6066059
2020-04-19,2020-04-26,0,7070336
2020-04-26,2020-05-03,0,6583605
2020-05-03,2020-05-10,0,6254624
2020-05-10,2020-05-17,0,-3101940
2020-05-17,2020-05-24,0,5825541
2020-05-24,2020-05-31,0,6142297
2020-05-31,2020-06-07,0,-2608744
2020-06-07,2020-06-14,0,5154610
