start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,486,396487
2019-06-02,2019-06-09,838,790057
2019-06-09,2019-06-16,582,786629
2019-06-23,2019-06-30,129,539004
2019-06-30,2019-07-07,1299,551107
2019-07-21,2019-07-28,316,893232
2019-08-11,2019-08-18,97,565848
2019-08-25,2019-09-01,421,533154
2019-09-01,2019-09-08,1242,743061
2019-09-08,2019-09-15,791,527774
2019-09-15,2019-09-22,0,567800
2019-09-22,2019-09-29,0,732641
2019-09-29,2019-10-06,0,462423
2019-10-06,2019-10-13,0,562315
2019-10-13,2019-10-20,0,786383
2019-10-20,2019-10-27,10000,644593
2019-10-27,2019-11-03,0,539654
2019-11-03,2019-11-10,0,819830
2019-11-10,2019-11-17,0,888261
2019-11-17,2019-11-24,0,489489
2019-11-24,2019-12-01,10000,812337
2019-12-08,2019-12-15,0,1503971
2019-12-15,2019-12-22,40000,695742
2019-12-22,2019-12-29,30000,699745
2019-12-29,2020-01-05,0,699235
2020-01-05,2020-01-12,10000,709257
2020-01-12,2020-01-19,40000,828786
2020-01-19,2020-01-26,20000,621187
2020-01-26,2020-02-02,10000,605963
2020-02-02,2020-02-09,20000,948094
2020-02-09,2020-02-16,10000,666171
2020-02-16,2020-02-23,10000,435469
2020-02-23,2020-03-01,10000,396946
2020-03-01,2020-03-08,10000,1426012
2020-03-08,2020-03-15,10000,1762433
2020-03-15,2020-03-22,10000,1299464
2020-03-22,2020-03-29,20000,1568214
2020-03-29,2020-04-05,20000,1541843
2020-04-05,2020-04-12,10000,1213373
2020-04-12,2020-04-19,10000,1274666
2020-04-19,2020-04-26,10000,1189886
2020-04-26,2020-05-03,0,1201897
2020-05-03,2020-05-10,10000,1243741
2020-05-10,2020-05-17,0,2255448
2020-05-17,2020-05-24,0,2979775
2020-05-24,2020-05-31,10000,3008388
2020-05-31,2020-06-07,0,2099586
2020-06-07,2020-06-14,0,1691730
2020-06-14,2020-06-21,0,1401582
2020-06-21,2020-06-28,0,1390839
2020-06-28,2020-07-05,0,785558
2020-07-05,2020-07-12,10000,568340
2020-07-12,2020-07-19,0,537418
2020-07-19,2020-07-26,0,680816
2020-07-26,2020-08-02,0,685591
2020-08-02,2020-08-09,0,709288
2020-08-09,2020-08-16,0,609809
2020-08-16,2020-08-23,10000,612128
2020-08-23,2020-08-30,0,632381
2020-08-30,2020-09-06,10000,551123
2020-09-06,2020-09-13,0,499522
2020-09-13,2020-09-20,10000,490735
2020-09-20,2020-09-27,0,571440
2020-09-27,2020-10-04,0,677516
2020-10-04,2020-10-11,0,944910
2020-10-11,2020-10-18,0,1093257
2020-10-18,2020-10-25,0,1057784
2020-10-25,2020-11-01,0,779946
2020-11-01,2020-11-08,0,550618
2020-11-08,2020-11-15,0,423673
2020-11-15,2020-11-22,0,392509
2020-11-22,2020-11-29,0,454917
2020-11-29,2020-12-06,0,431226
2020-12-06,2020-12-13,0,419415
2020-12-13,2020-12-20,10000,446471
2020-12-20,2020-12-27,0,526485
2020-12-27,2021-01-03,0,591366
2021-01-03,2021-01-10,0,537407
2021-01-10,2021-01-17,0,546165
2021-01-17,2021-01-24,0,698024
2021-01-24,2021-01-31,0,977362
2021-01-31,2021-02-07,0,586739
2021-02-07,2021-02-14,0,421650
2021-02-14,2021-02-21,0,385106
2021-02-21,2021-02-28,10000,898828
2021-02-28,2021-03-07,0,1094830
2021-03-07,2021-03-14,0,790790
2021-03-14,2021-03-21,0,745208
2021-03-21,2021-03-28,0,588611
2021-03-28,2021-04-04,0,532240
2021-04-04,2021-04-11,0,437758
2021-04-11,2021-04-18,0,387421
2021-04-18,2021-04-25,0,426100
2021-04-25,2021-05-02,0,406147
2021-05-02,2021-05-09,0,527914
2021-05-09,2021-05-16,0,562086
2021-05-16,2021-05-23,0,424321
2021-05-23,2021-05-30,0,308972
2021-05-30,2021-06-06,0,231583
2021-06-06,2021-06-13,0,217863
2021-06-13,2021-06-20,0,220257
2021-06-20,2021-06-27,10000,225912
2021-06-27,2021-07-04,0,224112
2021-07-04,2021-07-11,0,245800
2021-07-11,2021-07-18,0,283942
2021-07-18,2021-07-25,0,507511
2021-07-25,2021-08-01,0,480404
2021-08-01,2021-08-08,0,477087
2021-08-08,2021-08-15,0,387269
2021-08-15,2021-08-22,0,317019
2021-08-22,2021-08-29,0,331168
2021-08-29,2021-09-05,0,311419
2021-09-05,2021-09-12,10000,296022
2021-09-12,2021-09-19,0,279611
2021-09-19,2021-09-26,0,271992
2021-09-26,2021-10-03,0,257086
2021-10-03,2021-10-10,0,240120
2021-10-10,2021-10-17,0,251000
2021-10-24,2021-10-31,10000,412667
2021-10-31,2021-11-07,0,673627
