start_date,end_date,weekly_subscribers,weekly_views
2019-05-19,2019-05-26,1315,1395306
2019-05-26,2019-06-02,1898,2625755
2019-06-02,2019-06-09,10776,3916754
2019-06-09,2019-06-16,8206,4467163
2019-06-16,2019-06-23,7897,4441283
2019-06-23,2019-06-30,6228,3569377
2019-06-30,2019-07-07,1469,3017169
2019-07-07,2019-07-14,1569,2864000
2019-07-14,2019-07-21,1915,4475613
2019-07-21,2019-07-28,3755,4386319
2019-07-28,2019-08-04,2140,4130474
2019-08-04,2019-08-11,1883,3566458
2019-08-11,2019-08-18,1493,3340163
2019-08-25,2019-09-01,3265,3473528
2019-09-01,2019-09-08,4627,3109584
2019-09-29,2019-10-06,0,3335901
2019-10-06,2019-10-13,0,3461168
2019-10-13,2019-10-20,0,2678174
2019-10-20,2019-10-27,0,2156511
2019-10-27,2019-11-03,0,1753637
2019-11-03,2019-11-10,0,1502428
2019-11-10,2019-11-17,0,2601713
2019-11-17,2019-11-24,0,3415260
2019-11-24,2019-12-01,0,3760248
2019-12-08,2019-12-15,0,3972808
2019-12-15,2019-12-22,0,2374176
2019-12-22,2019-12-29,0,2896474
2019-12-29,2020-01-05,0,2247268
2020-01-05,2020-01-12,0,2267543
2020-01-12,2020-01-19,0,2990976
2020-01-19,2020-01-26,0,2995835
2020-01-26,2020-02-02,0,2523867
2020-02-02,2020-02-09,0,2208170
2020-02-09,2020-02-16,0,5947928
2020-02-16,2020-02-23,0,3962474
2020-02-23,2020-03-01,0,2691715
2020-03-01,2020-03-08,0,2292349
2020-03-08,2020-03-15,100000,1845640
2020-03-15,2020-03-22,0,1551583
2020-03-22,2020-03-29,0,1498925
2020-03-29,2020-04-05,0,2447726
2020-04-05,2020-04-12,0,3247437
2020-04-12,2020-04-19,0,3485538
2020-04-19,2020-04-26,0,7493646
2020-04-26,2020-05-03,0,6579197
2020-05-03,2020-05-10,0,3201968
2020-05-10,2020-05-17,0,2422868
2020-05-17,2020-05-24,0,2684395
2020-05-24,2020-05-31,0,3614041
2020-05-31,2020-06-07,0,3993721
2020-06-07,2020-06-14,0,3148706
2020-06-14,2020-06-21,0,3662339
2020-06-21,2020-06-28,0,3856470
2020-06-28,2020-07-05,0,3414101
2020-07-05,2020-07-12,100000,2931172
2020-07-12,2020-07-19,0,3190184
2020-07-19,2020-07-26,0,2938243
2020-07-26,2020-08-02,0,2970362
2020-08-02,2020-08-09,0,3449885
2020-08-09,2020-08-16,0,3795247
2020-08-16,2020-08-23,0,2724584
2020-08-23,2020-08-30,0,1992540
2020-08-30,2020-09-06,0,2059523
2020-09-06,2020-09-13,0,1778562
2020-09-13,2020-09-20,0,1986429
2020-09-20,2020-09-27,0,2171302
2020-09-27,2020-10-04,0,2277432
2020-10-04,2020-10-11,0,1977646
2020-10-11,2020-10-18,0,1772171
2020-10-18,2020-10-25,0,1742418
2020-10-25,2020-11-01,0,1814954
2020-11-01,2020-11-08,0,1690615
2020-11-08,2020-11-15,0,1671643
2020-11-15,2020-11-22,0,1615929
2020-11-22,2020-11-29,0,1447743
2020-11-29,2020-12-06,0,1499085
2020-12-06,2020-12-13,0,1578444
2020-12-13,2020-12-20,0,1878873
2020-12-20,2020-12-27,0,2242517
2020-12-27,2021-01-03,0,2019790
2021-01-03,2021-01-10,0,1474480
2021-01-10,2021-01-17,0,1235459
2021-01-17,2021-01-24,0,1155708
2021-01-24,2021-01-31,0,1218464
2021-01-31,2021-02-07,0,1293536
2021-02-07,2021-02-14,0,1535995
2021-02-14,2021-02-21,0,1981374
2021-02-21,2021-02-28,0,1886120
2021-02-28,2021-03-07,0,1633170
2021-03-07,2021-03-14,0,1589431
2021-03-14,2021-03-21,0,1672323
2021-03-21,2021-03-28,0,1492646
2021-03-28,2021-04-04,0,1288801
2021-04-04,2021-04-11,0,1298227
2021-04-11,2021-04-18,0,1113060
2021-04-18,2021-04-25,0,1084241
2021-04-25,2021-05-02,0,1077301
2021-05-02,2021-05-09,0,1009550
2021-05-09,2021-05-16,0,1213681
2021-05-16,2021-05-23,0,1067076
2021-05-23,2021-05-30,0,1055857
2021-05-30,2021-06-06,0,1058781
2021-06-06,2021-06-13,0,962237
2021-06-13,2021-06-20,0,977133
2021-06-20,2021-06-27,0,917650
2021-06-27,2021-07-04,0,922974
2021-07-04,2021-07-11,0,1074753
2021-07-11,2021-07-18,0,1169547
2021-07-18,2021-07-25,0,1235148
2021-07-25,2021-08-01,0,972712
2021-08-01,2021-08-08,0,870000
2021-08-08,2021-08-15,0,865317
2021-08-15,2021-08-22,0,949580
2021-08-22,2021-08-29,0,919286
2021-08-29,2021-09-05,0,954942
2021-09-05,2021-09-12,0,1077112
2021-09-12,2021-09-19,0,1095946
2021-09-19,2021-09-26,0,854321
2021-09-26,2021-10-03,0,756069
2021-10-03,2021-10-10,0,717916
2021-10-10,2021-10-17,0,702765
2021-10-24,2021-10-31,0,712681
2021-10-31,2021-11-07,0,704876
2021-11-07,2021-11-14,0,652778
2021-11-14,2021-11-21,0,672898
2021-11-21,2021-11-28,0,867428
2021-11-28,2021-12-05,0,772962
2021-12-05,2021-12-12,0,603310
2021-12-12,2021-12-19,0,608306
2021-12-19,2021-12-26,0,517889
2021-12-26,2022-01-02,0,467876
2022-01-02,2022-01-09,0,421530
2022-01-09,2022-01-16,0,402681
2022-01-16,2022-01-23,0,456238
2022-01-23,2022-01-30,0,389803
2022-01-30,2022-02-06,0,412636
2022-02-06,2022-02-13,0,424265
2022-02-13,2022-02-20,0,484418
2022-02-20,2022-02-27,0,593281
2022-02-27,2022-03-06,0,480217
2022-03-06,2022-03-13,0,636644
2022-03-13,2022-03-20,0,939111
2022-03-20,2022-03-27,0,831893
2022-03-27,2022-04-03,0,882050
2022-04-03,2022-04-10,0,799011
2022-04-10,2022-04-17,0,735702
2022-04-17,2022-04-24,0,610097
2022-04-24,2022-05-01,0,575886
