start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,5390,1123797
2019-06-02,2019-06-09,9507,2190961
2019-06-09,2019-06-16,10737,2236338
2019-06-16,2019-06-23,14052,2646089
2019-06-23,2019-06-30,11583,2402357
2019-06-30,2019-07-07,10075,2262567
2019-07-07,2019-07-14,11909,2612926
2019-07-14,2019-07-21,10977,2791795
2019-07-21,2019-07-28,11410,2981006
2019-07-28,2019-08-04,12218,2806758
2019-08-04,2019-08-11,12092,2627467
2019-08-11,2019-08-18,13903,2789496
2019-08-18,2019-08-25,13373,2811918
2019-08-25,2019-09-01,10671,2487215
2019-09-01,2019-09-08,8962,2148480
2019-09-08,2019-09-15,7702,1963913
2019-09-15,2019-09-22,10000,1824032
2019-09-22,2019-09-29,10000,1852662
2019-09-29,2019-10-06,0,1641566
2019-10-06,2019-10-13,0,1692777
2019-10-13,2019-10-20,0,1713777
2019-10-20,2019-10-27,10000,1872889
2019-10-27,2019-11-03,20000,2203423
2019-11-03,2019-11-10,10000,-8579022
2019-11-10,2019-11-17,10000,2564257
2019-11-17,2019-11-24,10000,2194257
2019-11-24,2019-12-01,10000,2137545
2019-12-01,2019-12-08,-20000,2197226
2019-12-08,2019-12-15,20000,2851284
2019-12-15,2019-12-22,20000,3678050
2019-12-22,2019-12-29,20000,3365416
2019-12-29,2020-01-05,20000,3168248
2020-01-05,2020-01-12,10000,2538785
2020-01-12,2020-01-19,20000,2334364
2020-01-19,2020-01-26,10000,182210
2020-01-26,2020-02-02,10000,2098731
2020-02-02,2020-02-09,10000,2785346
2020-02-09,2020-02-16,20000,2780534
2020-02-16,2020-02-23,10000,2202212
2020-02-23,2020-03-01,10000,1972204
2020-03-01,2020-03-08,10000,2105249
2020-03-08,2020-03-15,10000,2118144
2020-03-15,2020-03-22,10000,2230535
2020-03-22,2020-03-29,10000,2341649
2020-03-29,2020-04-05,10000,2513320
2020-04-05,2020-04-12,20000,2773419
2020-04-12,2020-04-19,20000,2852923
2020-04-19,2020-04-26,10000,2661545
2020-04-26,2020-05-03,10000,2561172
2020-05-03,2020-05-10,10000,2305177
2020-05-10,2020-05-17,40000,4053713
2020-05-17,2020-05-24,20000,4209041
2020-05-24,2020-05-31,10000,3408596
2020-05-31,2020-06-07,10000,3332533
2020-06-07,2020-06-14,10000,3383822
2020-06-14,2020-06-21,20000,2689272
2020-06-21,2020-06-28,10000,2479771
2020-06-28,2020-07-05,10000,2270983
2020-07-05,2020-07-12,10000,2179631
2020-07-12,2020-07-19,10000,2561190
2020-07-19,2020-07-26,20000,2801536
2020-07-26,2020-08-02,10000,2776001
2020-08-02,2020-08-09,10000,2928888
2020-08-09,2020-08-16,20000,-32804415
2020-08-16,2020-08-23,20000,4056236
2020-08-23,2020-08-30,10000,3323112
2020-08-30,2020-09-06,10000,2831200
2020-09-06,2020-09-13,0,2240368
2020-09-13,2020-09-20,10000,2234903
2020-09-20,2020-09-27,10000,2505869
2020-09-27,2020-10-04,20000,2999741
2020-10-04,2020-10-11,20000,2835586
2020-10-11,2020-10-18,10000,2884590
2020-10-18,2020-10-25,20000,3455506
2020-10-25,2020-11-01,10000,2965572
2020-11-01,2020-11-08,10000,2572319
2020-11-08,2020-11-15,10000,2222795
2020-11-15,2020-11-22,10000,2156660
2020-11-22,2020-11-29,0,1689756
2020-11-29,2020-12-06,10000,1631911
2020-12-06,2020-12-13,10000,1702291
2020-12-13,2020-12-20,0,1876773
2020-12-20,2020-12-27,10000,1856168
2020-12-27,2021-01-03,10000,1899855
2021-01-03,2021-01-10,0,1768960
2021-01-10,2021-01-17,10000,2164569
2021-01-17,2021-01-24,10000,2420093
2021-01-24,2021-01-31,10000,2836996
2021-01-31,2021-02-07,10000,2610955
2021-02-07,2021-02-14,0,1938821
2021-02-14,2021-02-21,10000,1618699
2021-02-21,2021-02-28,0,1408343
2021-02-28,2021-03-07,10000,1338270
2021-03-07,2021-03-14,0,1452919
2021-03-14,2021-03-21,10000,1446080
2021-03-21,2021-03-28,0,1583478
2021-03-28,2021-04-04,0,1543829
2021-04-04,2021-04-11,10000,1791017
2021-04-11,2021-04-18,0,1855781
2021-04-18,2021-04-25,10000,2036826
2021-04-25,2021-05-02,10000,1852401
2021-05-02,2021-05-09,0,1720782
2021-05-09,2021-05-16,10000,1416772
2021-05-16,2021-05-23,0,1453524
2021-05-23,2021-05-30,10000,1394896
2021-05-30,2021-06-06,0,1387354
2021-06-06,2021-06-13,10000,1795201
2021-06-13,2021-06-20,0,1612442
2021-06-20,2021-06-27,0,1283719
2021-06-27,2021-07-04,0,1015845
2021-07-04,2021-07-11,10000,972936
2021-07-11,2021-07-18,0,1103627
2021-07-18,2021-07-25,10000,1400894
2021-07-25,2021-08-01,10000,1477984
2021-08-01,2021-08-08,20000,1476453
2021-08-08,2021-08-15,10000,1748407
2021-08-15,2021-08-22,10000,-22650221
2021-08-22,2021-08-29,0,1432380
2021-08-29,2021-09-05,10000,1272904
2021-09-05,2021-09-12,0,1166514
2021-09-12,2021-09-19,0,1138406
2021-09-19,2021-09-26,10000,1340111
2021-09-26,2021-10-03,0,1269879
2021-10-03,2021-10-10,0,986402
2021-10-10,2021-10-17,0,1032611
2021-10-17,2021-10-24,0,1085823
2021-10-24,2021-10-31,10000,1075535
2021-10-31,2021-11-07,0,974397
2021-11-07,2021-11-14,0,904352
2021-11-14,2021-11-21,0,860759
2021-11-21,2021-11-28,0,754216
2021-11-28,2021-12-05,10000,588321
2021-12-05,2021-12-12,0,823974
2021-12-12,2021-12-19,0,822254
2021-12-19,2021-12-26,0,786776
2021-12-26,2022-01-02,0,843857
2022-01-02,2022-01-09,0,897139
2022-01-09,2022-01-16,0,859318
2022-01-16,2022-01-23,0,1207136
2022-01-23,2022-01-30,0,1495703
2022-01-30,2022-02-06,0,1011663
2022-02-06,2022-02-13,10000,737648
2022-02-13,2022-02-20,0,848026
2022-02-20,2022-02-27,0,788468
2022-02-27,2022-03-06,0,754293
2022-03-06,2022-03-13,0,878863
2022-03-13,2022-03-20,0,890699
2022-03-20,2022-03-27,0,798269
2022-03-27,2022-04-03,0,742252
2022-04-03,2022-04-10,0,717245
2022-04-10,2022-04-17,10000,810852
2022-04-17,2022-04-24,0,1004780
2022-04-24,2022-05-01,0,942375
2022-05-01,2022-05-08,0,964488
2022-05-08,2022-05-15,0,1095813
2022-05-15,2022-05-22,0,966284
