start_date,end_date,weekly_subscribers,weekly_views
2019-07-15,2019-07-22,27749,1280271
2019-07-21,2019-07-28,35544,1439792
2019-07-28,2019-08-04,28249,1352214
2019-08-04,2019-08-11,24126,1311671
2019-08-11,2019-08-18,18588,1049922
2019-08-18,2019-08-25,19075,1093388
2019-08-25,2019-09-01,11253,623298
2019-09-01,2019-09-08,19045,1033656
2019-09-08,2019-09-15,17742,1233270
2019-09-15,2019-09-22,11000,721832
2019-09-22,2019-09-29,11000,835298
2019-09-29,2019-10-06,8000,706455
2019-10-06,2019-10-13,8000,-3121830
2019-10-13,2019-10-20,5000,288901
2019-10-20,2019-10-27,3000,258998
2019-10-27,2019-11-03,4000,3963211
2019-11-03,2019-11-10,6000,634314
2019-11-10,2019-11-17,9000,720255
2019-11-17,2019-11-24,8000,145726
2019-11-24,2019-12-01,7000,1080074
2019-12-01,2019-12-08,14000,893944
2019-12-08,2019-12-15,12000,925346
2019-12-15,2019-12-22,9000,989330
2019-12-22,2019-12-29,5000,658974
2019-12-29,2020-01-05,6000,496110
2020-01-05,2020-01-12,7000,623795
2020-01-12,2020-01-19,4000,343565
2020-01-19,2020-01-26,4000,447878
2020-01-26,2020-02-02,4000,614592
2020-02-02,2020-02-09,11000,1003752
2020-02-09,2020-02-16,13000,1346430
2020-02-16,2020-02-23,10000,998058
2020-02-23,2020-03-01,11000,787111
2020-03-01,2020-03-08,12000,1040980
2020-03-08,2020-03-15,12000,1107447
2020-03-15,2020-03-22,11000,1134572
2020-03-22,2020-03-29,8000,1030333
2020-03-29,2020-04-05,5000,515293
2020-04-05,2020-04-12,7000,1029398
2020-04-12,2020-04-19,10000,1119597
2020-04-19,2020-04-26,10000,1271078
2020-04-26,2020-05-03,8000,1046154
2020-05-03,2020-05-10,8000,783164
2020-05-10,2020-05-17,5000,-8233224
2020-05-17,2020-05-24,8000,10160999
2020-05-24,2020-05-31,5000,858834
2020-05-31,2020-06-07,5000,825502
2020-06-07,2020-06-14,8000,1053287
2020-06-14,2020-06-21,34000,3108087
2020-06-21,2020-06-28,25000,2562062
2020-06-28,2020-07-05,10000,1742953
2020-07-05,2020-07-12,7000,1159366
2020-07-12,2020-07-19,9000,1314083
2020-07-19,2020-07-26,13000,1665066
2020-07-26,2020-08-02,8000,1219385
2020-08-02,2020-08-09,7000,1073792
2020-08-09,2020-08-16,5000,776843
2020-08-16,2020-08-23,17000,1676892
2020-08-23,2020-08-30,12000,1656824
2020-08-30,2020-09-06,6000,1113324
2020-09-06,2020-09-13,6000,1257847
2020-09-13,2020-09-20,5000,996338
2020-09-20,2020-09-27,6000,982545
2020-09-27,2020-10-04,5000,977510
2020-10-04,2020-10-11,5000,1127685
2020-10-11,2020-10-18,7000,1297845
2020-10-18,2020-10-25,6000,1213313
2020-10-25,2020-11-01,6000,1343071
2020-11-01,2020-11-08,8000,1289234
2020-11-08,2020-11-15,7000,1348302
2020-11-15,2020-11-22,6000,1236432
2020-11-22,2020-11-29,6000,1130132
2020-11-29,2020-12-06,7000,1353323
2020-12-06,2020-12-13,7000,1569186
2020-12-13,2020-12-20,7000,1511254
2020-12-20,2020-12-27,6000,1467661
2020-12-27,2021-01-03,8000,1554926
2021-01-03,2021-01-10,9000,1319081
2021-01-10,2021-01-17,4000,1092010
2021-01-17,2021-01-24,7000,1401401
2021-01-24,2021-01-31,4000,1049791
2021-01-31,2021-02-07,4000,948760
2021-02-07,2021-02-14,4000,939744
2021-02-14,2021-02-21,7000,1365323
2021-02-21,2021-02-28,5000,1264193
2021-02-28,2021-03-07,13000,2337568
2021-03-07,2021-03-14,13000,2608206
2021-03-14,2021-03-21,10000,2278192
2021-03-21,2021-03-28,0,2178871
2021-03-28,2021-04-04,0,1747268
2021-04-04,2021-04-11,0,1674157
2021-04-11,2021-04-18,10000,2321295
2021-04-18,2021-04-25,10000,2203721
2021-04-25,2021-05-02,10000,2161271
2021-05-02,2021-05-09,10000,2480914
2021-05-09,2021-05-16,0,2137688
2021-05-16,2021-05-23,0,1785411
2021-05-23,2021-05-30,10000,1818395
2021-05-30,2021-06-06,0,1799258
2021-06-06,2021-06-13,0,1824901
2021-06-13,2021-06-20,10000,1984195
2021-06-20,2021-06-27,10000,2064984
2021-06-27,2021-07-04,0,1813396
2021-07-04,2021-07-11,10000,1945693
2021-07-11,2021-07-18,0,1378846
2021-07-18,2021-07-25,10000,2271150
2021-07-25,2021-08-01,10000,2088139
2021-08-01,2021-08-08,10000,1870508
2021-08-08,2021-08-15,10000,2089902
2021-08-15,2021-08-22,0,1873327
2021-08-22,2021-08-29,10000,1644981
2021-08-29,2021-09-05,0,1476035
2021-09-05,2021-09-12,10000,1514893
2021-09-12,2021-09-19,0,1344909
2021-09-19,2021-09-26,0,1215305
2021-09-26,2021-10-03,10000,1400642
2021-10-03,2021-10-10,0,891649
2021-10-10,2021-10-17,0,1148917
2021-10-17,2021-10-24,10000,1080087
2021-10-24,2021-10-31,0,1106129
2021-10-31,2021-11-07,10000,1422295
2021-11-07,2021-11-14,0,1058380
2021-11-14,2021-11-21,10000,995997
2021-11-21,2021-11-28,0,1271074
2021-11-28,2021-12-05,0,1009675
2021-12-05,2021-12-12,10000,1083199
2021-12-12,2021-12-19,0,1179605
2021-12-19,2021-12-26,0,734471
2021-12-26,2022-01-02,10000,995406
2022-01-02,2022-01-09,0,1389451
2022-01-09,2022-01-16,10000,1460769
2022-01-16,2022-01-23,0,1284020
2022-01-23,2022-01-30,0,983830
2022-01-30,2022-02-06,10000,844691
2022-02-06,2022-02-13,0,1151794
2022-02-13,2022-02-20,10000,1157640
2022-02-20,2022-02-27,0,1183042
2022-02-27,2022-03-06,0,952857
2022-03-06,2022-03-13,0,903794
2022-03-13,2022-03-20,0,732759
2022-03-20,2022-03-27,0,952093
2022-03-27,2022-04-03,0,1133818
2022-04-03,2022-04-10,0,1347145
2022-04-10,2022-04-17,0,927999
2022-04-17,2022-04-24,10000,1127214
2022-04-24,2022-05-01,0,783296
2022-05-01,2022-05-08,0,999439
2022-05-08,2022-05-15,10000,951932
2022-05-15,2022-05-22,0,1314493
