start_date,end_date,weekly_subscribers,weekly_views
2020-01-26,2020-02-02,12,274
2020-02-02,2020-02-09,14,295
2020-02-09,2020-02-16,93,2640
2020-02-17,2020-02-24,3757,153361
2020-02-23,2020-03-01,7240,399063
2020-03-01,2020-03-08,10700,561443
2020-03-08,2020-03-15,5000,461543
2020-03-15,2020-03-22,3900,376818
2020-03-22,2020-03-29,9700,868494
2020-03-29,2020-04-05,8300,820606
2020-04-05,2020-04-12,6200,704880
2020-04-12,2020-04-19,7200,710282
2020-04-19,2020-04-26,2700,368183
2020-04-27,2020-05-04,4300,595345
2020-05-03,2020-05-10,4700,604348
2020-05-10,2020-05-17,6600,1002440
2020-05-17,2020-05-24,5500,823966
2020-05-24,2020-05-31,3000,546891
2020-05-31,2020-06-07,4000,724816
2020-06-07,2020-06-14,7000,952061
2020-06-14,2020-06-21,9000,1059982
2020-06-23,2020-06-30,7000,1069399
2020-06-28,2020-07-05,8000,1145376
2020-07-05,2020-07-12,8000,1162151
2020-07-12,2020-07-19,4000,760583
2020-07-19,2020-07-26,6000,895818
2020-07-26,2020-08-02,4000,635382
2020-08-02,2020-08-09,4000,945992
2020-08-09,2020-08-16,5000,811435
2020-08-16,2020-08-23,7000,1478595
2020-08-23,2020-08-30,5000,1034938
2020-08-30,2020-09-06,4000,833764
2020-09-06,2020-09-13,4000,784092
2020-09-13,2020-09-20,6000,1173869
2020-09-20,2020-09-27,4000,956444
2020-09-27,2020-10-04,4000,956465
2020-10-04,2020-10-11,4000,904532
2020-10-11,2020-10-18,5000,1039077
2020-10-18,2020-10-25,4000,965281
2020-10-25,2020-11-01,4000,1123335
2020-11-01,2020-11-08,3000,926277
2020-11-08,2020-11-15,3000,925129
2020-11-15,2020-11-22,3000,774705
2020-11-22,2020-11-29,4000,1238757
2020-11-29,2020-12-06,4000,840575
2020-12-06,2020-12-13,3000,977815
2020-12-13,2020-12-20,4000,1046173
2020-12-20,2020-12-27,4000,902791
2020-12-27,2021-01-03,3000,748298
2021-01-03,2021-01-10,5000,831452
2021-01-10,2021-01-17,3000,839800
2021-01-17,2021-01-24,2000,679493
2021-01-24,2021-01-31,2000,905045
2021-02-01,2021-02-08,5000,1193682
2021-02-07,2021-02-14,6000,1279076
2021-02-14,2021-02-21,6000,1399513
2021-02-21,2021-02-28,5000,1236420
2021-02-28,2021-03-07,3000,858399
2021-03-07,2021-03-14,3000,1041243
2021-03-14,2021-03-21,5000,1450450
2021-03-21,2021-03-28,4000,963500
2021-03-28,2021-04-04,4000,1134342
2021-04-04,2021-04-11,3000,980291
2021-04-11,2021-04-18,3000,1142722
2021-04-18,2021-04-25,3000,860227
2021-04-25,2021-05-02,4000,968932
2021-05-02,2021-05-09,4000,1165931
2021-05-09,2021-05-16,2000,989127
2021-05-16,2021-05-23,2000,1129219
2021-05-23,2021-05-30,4000,1125197
2021-05-30,2021-06-06,3000,1098395
2021-06-06,2021-06-13,3000,797903
2021-06-13,2021-06-20,2000,854825
2021-06-20,2021-06-27,2000,757051
2021-06-27,2021-07-04,1000,534652
2021-07-04,2021-07-11,1000,572386
2021-07-11,2021-07-18,2000,562848
2021-07-18,2021-07-25,1000,683129
2021-07-25,2021-08-01,1000,675294
2021-08-01,2021-08-08,1000,832108
2021-08-08,2021-08-15,2000,1034777
2021-08-15,2021-08-22,3000,1028328
2021-08-22,2021-08-29,2000,573053
2021-08-29,2021-09-05,3000,997862
2021-09-05,2021-09-12,2000,955854
2021-09-12,2021-09-19,2000,954809
2021-09-19,2021-09-26,2000,818149
2021-09-26,2021-10-03,2000,1083547
2021-10-03,2021-10-10,2000,724974
2021-10-10,2021-10-17,2000,907842
2021-10-17,2021-10-24,1000,772521
2021-10-24,2021-10-31,2000,919477
2021-10-31,2021-11-07,3000,864881
2021-11-07,2021-11-14,2000,687515
2021-11-14,2021-11-21,2000,940290
2021-11-21,2021-11-28,2000,762901
2021-11-28,2021-12-05,2000,683211
2021-12-05,2021-12-12,2000,460799
2021-12-12,2021-12-19,1000,650763
2021-12-19,2021-12-26,1000,907769
2021-12-26,2022-01-02,2000,1014167
2022-01-02,2022-01-09,2000,761913
2022-01-09,2022-01-16,1000,636081
2022-01-16,2022-01-23,1000,553224
2022-01-23,2022-01-30,2000,716876
2022-01-30,2022-02-06,2000,558182
2022-02-06,2022-02-13,2000,860641
2022-02-13,2022-02-20,3000,927629
2022-02-20,2022-02-27,3000,1172827
2022-02-27,2022-03-06,3000,819387
2022-03-06,2022-03-13,1000,760882
2022-03-13,2022-03-20,1000,726491
2022-03-20,2022-03-27,2000,695517
2022-03-27,2022-04-03,1000,509370
2022-04-03,2022-04-10,1000,824347
2022-04-10,2022-04-17,3000,868678
2022-04-17,2022-04-24,2000,886484
2022-04-24,2022-05-01,2000,896791
2022-05-01,2022-05-08,2000,1102928
2022-05-08,2022-05-15,1000,695249
2022-05-15,2022-05-22,2000,766037
