start_date,end_date,weekly_subscribers,weekly_views
2015-12-31,2016-01-07,6000,2924880
2016-01-03,2016-01-10,20000,6353674
2016-01-10,2016-01-17,19000,6539313
2016-01-17,2016-01-24,21000,7974873
2016-01-24,2016-01-31,22000,8329038
2016-01-31,2016-02-07,23000,8099352
2016-02-07,2016-02-14,18000,7654969
2016-02-14,2016-02-21,18000,5876585
2016-02-21,2016-02-28,17000,6623316
2016-02-28,2016-03-06,29000,9472257
2016-03-06,2016-03-13,30000,10331748
2016-03-13,2016-03-20,23000,8476615
2016-03-20,2016-03-27,22000,9808662
2016-03-27,2016-04-03,27000,9370387
2016-04-03,2016-04-10,30000,9975408
2016-04-10,2016-04-17,26000,10691897
2016-04-17,2016-04-24,30000,8930368
2016-04-24,2016-05-01,30000,9013007
2016-05-01,2016-05-08,20000,9790180
2016-05-08,2016-05-15,30000,8558478
2016-05-15,2016-05-22,20000,7189660
2016-05-22,2016-05-29,10000,9157544
2016-05-29,2016-06-05,10000,7462659
2016-06-05,2016-06-12,20000,8022694
2016-06-12,2016-06-19,20000,8079282
2016-06-19,2016-06-26,20000,7875650
2016-06-26,2016-07-03,150000,11365496
2016-07-03,2016-07-10,50000,14847499
2016-07-10,2016-07-17,30000,10127967
2016-07-17,2016-07-24,30000,11336192
2016-07-24,2016-07-31,40000,4858319
2016-07-31,2016-08-07,20000,8521751
2016-08-07,2016-08-14,20000,6664334
2016-08-14,2016-08-21,20000,6605092
2016-08-21,2016-08-28,20000,6114758
2016-08-28,2016-09-04,10000,5218213
2016-09-04,2016-09-11,10000,3726335
2016-09-11,2016-09-18,10000,4488081
2016-09-18,2016-09-25,0,4467275
2016-09-25,2016-10-02,10000,5716394
2016-10-02,2016-10-09,10000,5971883
2016-10-09,2016-10-16,10000,5973795
2016-10-16,2016-10-23,10000,4658755
2016-10-23,2016-10-30,10000,5330489
2016-10-30,2016-11-06,10000,5895616
2016-11-06,2016-11-13,10000,5053157
2016-11-13,2016-11-20,10000,5985058
2016-11-20,2016-11-27,10000,1775551
2016-11-27,2016-12-04,10000,5054986
2016-12-04,2016-12-11,10000,4826139
2016-12-11,2016-12-18,10000,7675262
2016-12-18,2016-12-25,10000,9658979
2016-12-25,2017-01-01,30000,10276392
2017-01-01,2017-01-08,30000,24117805
2017-01-08,2017-01-15,20000,11785766
2017-01-15,2017-01-22,20000,5130430
2017-01-22,2017-01-29,10000,6157277
2017-01-29,2017-02-05,10000,5692905
2017-02-05,2017-02-12,20000,4954090
2017-02-12,2017-02-19,20000,5453873
2017-02-19,2017-02-26,10000,4758925
2017-02-26,2017-03-05,10000,5447468
2017-03-05,2017-03-12,0,5702510
2017-03-12,2017-03-19,10000,3448977
2017-03-19,2017-03-26,10000,5756303
2017-03-26,2017-04-02,10000,4666746
2017-04-02,2017-04-09,10000,3908700
2017-04-09,2017-04-16,10000,3410094
2017-04-16,2017-04-23,10000,3545914
2017-04-23,2017-04-30,10000,3782747
2017-04-30,2017-05-07,10000,3022783
2017-05-07,2017-05-14,10000,785106
2017-05-14,2017-05-21,10000,4370346
2017-05-21,2017-05-28,10000,3196920
2017-05-28,2017-06-04,0,3670907
2017-06-04,2017-06-11,10000,3887981
2017-06-11,2017-06-18,10000,4160016
2017-06-18,2017-06-25,10000,3705862
2017-06-25,2017-07-02,10000,2959270
2017-07-02,2017-07-09,0,3761278
2017-07-09,2017-07-16,0,4191447
2017-07-16,2017-07-23,10000,4255828
2017-07-23,2017-07-30,10000,4403931
2017-07-30,2017-08-06,0,2948735
2017-08-06,2017-08-13,10000,2977085
2017-08-13,2017-08-20,0,2924726
2017-08-20,2017-08-27,0,2731436
2017-08-27,2017-09-03,10000,3270480
2017-09-03,2017-09-10,0,3123282
2017-09-10,2017-09-17,10000,3459426
2017-09-17,2017-09-24,0,2681270
2017-09-24,2017-10-01,0,2922323
2017-10-01,2017-10-08,0,2886727
2017-10-08,2017-10-15,10000,2243923
2017-10-15,2017-10-22,0,2267867
2017-10-22,2017-10-29,0,2493469
2017-10-29,2017-11-05,10000,3356340
2017-11-05,2017-11-12,0,3180963
2017-11-12,2017-11-19,0,2572432
2017-11-19,2017-11-26,10000,2928984
2017-11-26,2017-12-03,0,2612806
2017-12-03,2017-12-10,0,2865354
2017-12-10,2017-12-17,10000,3762130
2017-12-17,2017-12-24,0,4367902
2017-12-24,2017-12-31,10000,3380979
2017-12-31,2018-01-07,0,3164635
2018-01-07,2018-01-14,0,3069239
2018-01-14,2018-01-21,0,2433738
2018-01-21,2018-01-28,0,2592865
2018-01-28,2018-02-04,0,3380128
2018-02-04,2018-02-11,10000,3695285
2018-02-11,2018-02-18,0,3666314
2018-02-18,2018-02-25,0,3225461
2018-02-25,2018-03-04,10000,2972529
2018-03-04,2018-03-11,0,2728385
2018-03-11,2018-03-18,10000,2807957
2018-03-18,2018-03-25,0,2970312
2018-03-25,2018-04-01,10000,2697737
