start_date,end_date,weekly_subscribers,weekly_views
2019-05-28,2019-06-04,540,77013
2019-06-02,2019-06-09,974,88765
2019-06-09,2019-06-16,462,43766
2019-06-16,2019-06-23,212,29384
2019-06-23,2019-06-30,55,17057
2019-06-30,2019-07-07,158,15584
2019-07-07,2019-07-14,135,16675
2019-07-14,2019-07-21,75,26591
2019-07-21,2019-07-28,694,-531368
2019-07-28,2019-08-04,746,140118
2019-08-04,2019-08-11,1344,87387
2019-08-11,2019-08-18,25575,668497
2019-08-18,2019-08-25,11635,428904
2019-08-25,2019-09-01,4473,180953
2019-09-01,2019-09-08,9632,331165
2019-09-08,2019-09-15,3209,174280
2019-09-15,2019-09-22,754,79069
2019-09-22,2019-09-29,1000,43260
2019-09-29,2019-10-06,4000,200809
2019-10-06,2019-10-13,2000,140587
2019-10-13,2019-10-20,3000,279335
2019-10-20,2019-10-27,1000,73918
2019-10-27,2019-11-03,1000,113855
2019-11-03,2019-11-10,2000,171810
2019-11-10,2019-11-17,1000,96662
2019-11-17,2019-11-24,2000,254079
2019-11-24,2019-12-01,6000,364876
2019-12-01,2019-12-08,3000,198629
2019-12-08,2019-12-15,4000,189987
2019-12-15,2019-12-22,1000,139978
2019-12-22,2019-12-29,2000,164111
2019-12-29,2020-01-05,9000,436906
2020-01-05,2020-01-12,9000,388912
2020-01-12,2020-01-19,2000,173885
2020-01-19,2020-01-26,2000,190820
2020-01-26,2020-02-02,5000,162635
2020-02-02,2020-02-09,4000,164703
2020-02-09,2020-02-16,9000,264612
2020-02-16,2020-02-23,7000,284985
2020-02-23,2020-03-01,7000,334255
2020-03-01,2020-03-08,3000,150409
2020-03-08,2020-03-15,9000,554763
2020-03-15,2020-03-22,8000,530732
2020-03-22,2020-03-29,3000,167979
2020-03-29,2020-04-05,6000,356251
2020-04-05,2020-04-12,7000,441763
2020-04-12,2020-04-19,9000,323004
2020-04-19,2020-04-26,13000,378852
2020-04-26,2020-05-03,11000,614693
2020-05-03,2020-05-10,10000,466621
2020-05-10,2020-05-17,6000,266922
2020-05-17,2020-05-24,5000,224573
2020-05-24,2020-05-31,7000,256928
2020-05-31,2020-06-07,13000,439297
2020-06-07,2020-06-14,8000,375253
2020-06-14,2020-06-21,7000,266587
2020-06-21,2020-06-28,6000,260116
2020-06-28,2020-07-05,10000,227768
2020-07-05,2020-07-12,27000,785008
2020-07-12,2020-07-19,16000,668149
2020-07-19,2020-07-26,19000,543577
2020-07-26,2020-08-02,44000,1380397
2020-08-02,2020-08-09,50000,1902096
2020-08-09,2020-08-16,15000,783986
2020-08-16,2020-08-23,10000,533894
2020-08-23,2020-08-30,23000,779277
2020-08-30,2020-09-06,13000,545941
2020-09-06,2020-09-13,19000,734386
2020-09-13,2020-09-20,51000,2011940
2020-09-20,2020-09-27,11000,607245
2020-09-27,2020-10-04,9000,520628
2020-10-04,2020-10-11,7000,342129
2020-10-11,2020-10-18,4000,251418
2020-10-18,2020-10-25,7000,221379
2020-10-25,2020-11-01,8000,315278
2020-11-01,2020-11-08,9000,389531
2020-11-08,2020-11-15,5000,317920
2020-11-15,2020-11-22,8000,311524
