start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,51651,14311531
2019-06-02,2019-06-09,68704,22239066
2019-06-09,2019-06-16,103440,29076001
2019-06-16,2019-06-23,63546,21198221
2019-06-23,2019-06-30,71509,20913372
2019-06-30,2019-07-07,69832,21587797
2019-07-07,2019-07-14,79711,21786748
2019-07-14,2019-07-21,60781,17029711
2019-07-21,2019-07-28,50203,15697865
2019-07-28,2019-08-04,36483,14147478
2019-08-04,2019-08-11,22140,10819876
2019-08-11,2019-08-18,30730,12727222
2019-08-18,2019-08-25,14992,8511993
2019-08-25,2019-09-01,20974,9399971
2019-09-01,2019-09-08,57092,14190910
2019-09-08,2019-09-15,88803,18209474
2019-09-15,2019-09-22,100000,16810201
2019-09-22,2019-09-29,100000,17964331
2019-09-29,2019-10-06,100000,21619939
2019-10-06,2019-10-13,100000,21177900
2019-10-13,2019-10-20,100000,18133022
2019-10-20,2019-10-27,0,18105445
2019-10-27,2019-11-03,0,17520796
2019-11-03,2019-11-10,100000,19809293
2019-11-10,2019-11-17,200000,19986699
2019-11-17,2019-11-24,0,16963285
2019-11-24,2019-12-01,100000,28911956
2019-12-01,2019-12-08,200000,24364697
2019-12-08,2019-12-15,100000,25688372
2019-12-15,2019-12-22,100000,21954954
2019-12-22,2019-12-29,100000,27947012
2019-12-29,2020-01-05,100000,29495837
2020-01-05,2020-01-12,100000,12890136
2020-01-12,2020-01-19,0,9971088
2020-01-19,2020-01-26,0,10869656
2020-01-26,2020-02-02,100000,18032547
2020-02-02,2020-02-09,100000,21998702
2020-02-09,2020-02-16,0,17741062
2020-02-16,2020-02-23,100000,16906001
2020-02-23,2020-03-01,0,14059582
2020-03-01,2020-03-08,100000,12369253
2020-03-08,2020-03-15,0,13943731
2020-03-15,2020-03-22,100000,18306428
2020-03-22,2020-03-29,0,13484851
2020-03-29,2020-04-05,100000,15556079
2020-04-05,2020-04-12,100000,18710589
2020-04-12,2020-04-19,0,18979701
2020-04-19,2020-04-26,0,18158127
2020-04-26,2020-05-03,0,15798351
2020-05-03,2020-05-10,0,13029713
2020-05-10,2020-05-17,0,21659017
2020-05-17,2020-05-24,0,11940339
2020-05-24,2020-05-31,0,10060338
2020-05-31,2020-06-07,0,11503592
2020-06-07,2020-06-14,0,13359719
2020-06-14,2020-06-21,0,12323007
2020-06-21,2020-06-28,100000,16886970
2020-06-28,2020-07-05,0,17401076
2020-07-05,2020-07-12,100000,21567280
2020-07-12,2020-07-19,100000,18501366
2020-07-19,2020-07-26,0,18490815
2020-07-26,2020-08-02,0,18900399
2020-08-02,2020-08-09,0,15447619
2020-08-09,2020-08-16,0,16273697
2020-08-16,2020-08-23,0,14207518
2020-08-23,2020-08-30,100000,11097983
2020-08-30,2020-09-06,0,10987284
2020-09-06,2020-09-13,0,10047562
2020-09-13,2020-09-20,0,8247124
2020-09-20,2020-09-27,0,9452429
2020-09-27,2020-10-04,100000,12577160
2020-10-04,2020-10-11,0,14440209
2020-10-11,2020-10-18,100000,15572977
2020-10-18,2020-10-25,0,16078470
2020-10-25,2020-11-01,0,21244766
2020-11-01,2020-11-08,100000,26278163
2020-11-08,2020-11-15,100000,24441675
2020-11-15,2020-11-22,100000,22933030
2020-11-22,2020-11-29,100000,15468644
2020-11-29,2020-12-06,0,22321561
2020-12-06,2020-12-13,0,13742594
2020-12-13,2020-12-20,100000,15915970
2020-12-20,2020-12-27,0,17969658
2020-12-27,2021-01-03,100000,26174342
2021-01-03,2021-01-10,100000,20630661
2021-01-10,2021-01-17,0,19973374
2021-01-17,2021-01-24,100000,16799484
2021-01-24,2021-01-31,0,21529800
2021-01-31,2021-02-07,100000,18579733
2021-02-07,2021-02-14,0,17742571
2021-02-14,2021-02-21,100000,19050360
2021-02-21,2021-02-28,0,17948407
2021-02-28,2021-03-07,0,18485527
2021-03-07,2021-03-14,100000,24127536
2021-03-14,2021-03-21,100000,24573558
2021-03-21,2021-03-28,100000,26673875
2021-03-28,2021-04-04,0,21599913
