start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,12317,1361175
2019-06-02,2019-06-09,22526,2177190
2019-06-09,2019-06-16,11302,1079544
2019-06-16,2019-06-23,11437,1579558
2019-06-23,2019-06-30,8927,1397218
2019-06-30,2019-07-07,8399,942660
2019-07-07,2019-07-14,17646,2799817
2019-07-14,2019-07-21,15882,1372948
2019-07-21,2019-07-28,13611,1778080
2019-07-28,2019-08-04,12443,1646644
2019-08-04,2019-08-11,9343,960538
2019-08-11,2019-08-18,18871,2142492
2019-08-18,2019-08-25,21333,2403347
2019-08-25,2019-09-01,11995,1224987
2019-09-01,2019-09-08,11686,2035133
2019-09-08,2019-09-15,8660,1158175
2019-09-15,2019-09-22,30000,2419366
2019-09-22,2019-09-29,40000,2760283
2019-09-29,2019-10-06,30000,2134451
2019-10-06,2019-10-13,20000,1477460
2019-10-13,2019-10-20,30000,2484019
2019-10-20,2019-10-27,20000,2882722
2019-10-27,2019-11-03,20000,2327773
2019-11-03,2019-11-10,10000,2294463
2019-11-10,2019-11-17,10000,930543
2019-11-17,2019-11-24,10000,1914445
2019-11-24,2019-12-01,10000,1970353
2019-12-01,2019-12-08,0,2088135
2019-12-08,2019-12-15,20000,2424631
2019-12-15,2019-12-22,10000,2052660
2019-12-22,2019-12-29,20000,2058422
2019-12-29,2020-01-05,20000,1907760
2020-01-05,2020-01-12,20000,2723792
2020-01-12,2020-01-19,20000,2750935
2020-01-19,2020-01-26,20000,2951137
2020-01-26,2020-02-02,20000,3110005
2020-02-02,2020-02-09,10000,1627334
2020-02-09,2020-02-16,10000,1486173
2020-02-16,2020-02-23,10000,2464880
2020-02-23,2020-03-01,10000,1254363
2020-03-01,2020-03-08,10000,1476261
2020-03-08,2020-03-15,0,1456038
2020-03-15,2020-03-22,10000,2668114
2020-03-22,2020-03-29,10000,2469200
2020-03-29,2020-04-05,20000,2876333
2020-04-05,2020-04-12,10000,2355345
2020-04-12,2020-04-19,10000,1689358
2020-04-19,2020-04-26,10000,2609875
2020-04-26,2020-05-03,20000,2703507
2020-05-03,2020-05-10,10000,174056
2020-05-10,2020-05-17,20000,3440297
2020-05-17,2020-05-24,30000,3766216
2020-05-24,2020-05-31,20000,3429029
2020-05-31,2020-06-07,10000,2450393
2020-06-07,2020-06-14,20000,3809940
2020-06-14,2020-06-21,20000,3260420
2020-06-21,2020-06-28,10000,2767605
2020-06-28,2020-07-05,10000,1564694
2020-07-05,2020-07-12,10000,2878951
2020-07-12,2020-07-19,10000,1626770
2020-07-19,2020-07-26,10000,2556126
2020-07-26,2020-08-02,30000,2779076
2020-08-02,2020-08-09,20000,3962541
2020-08-09,2020-08-16,20000,3469847
2020-08-16,2020-08-23,20000,2064639
2020-08-23,2020-08-30,20000,3314636
2020-08-30,2020-09-06,20000,2857663
2020-09-06,2020-09-13,20000,3545744
2020-09-13,2020-09-20,10000,2350818
2020-09-20,2020-09-27,20000,2858198
2020-09-27,2020-10-04,10000,1934551
2020-10-04,2020-10-11,20000,2070116
2020-10-11,2020-10-18,10000,1476947
2020-10-18,2020-10-25,10000,2573822
2020-10-25,2020-11-01,10000,1879270
2020-11-01,2020-11-08,10000,3869485
2020-11-08,2020-11-15,20000,3495713
2020-11-15,2020-11-22,10000,3186204
2020-11-22,2020-11-29,10000,2021514
2020-11-29,2020-12-06,10000,3023186
2020-12-06,2020-12-13,10000,833383
2020-12-13,2020-12-20,10000,2930122
