start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,1584,469854
2019-06-02,2019-06-09,3531,911739
2019-06-09,2019-06-16,4487,1183953
2019-06-16,2019-06-23,4498,935569
2019-06-23,2019-06-30,5365,1215440
2019-06-30,2019-07-07,4368,1182994
2019-07-07,2019-07-14,4898,1251975
2019-07-14,2019-07-21,4612,1204263
2019-07-21,2019-07-28,4817,1123072
2019-07-28,2019-08-04,8217,1453220
2019-08-04,2019-08-11,7967,1432557
2019-08-11,2019-08-18,3879,872671
2019-08-18,2019-08-25,2381,888458
2019-08-25,2019-09-01,4604,931984
2019-09-01,2019-09-08,5583,1003439
2019-09-08,2019-09-15,3681,936287
2019-09-15,2019-09-22,3026,911672
2019-09-22,2019-09-29,4000,1214006
2019-09-29,2019-10-06,2000,843033
2019-10-06,2019-10-13,3000,786428
2019-10-13,2019-10-20,3000,637477
2019-10-20,2019-10-27,3000,1037084
2019-10-27,2019-11-03,5000,1277073
2019-11-03,2019-11-10,3000,1026696
2019-11-10,2019-11-17,3000,883052
2019-11-17,2019-11-24,3000,751797
2019-11-24,2019-12-01,2000,853670
2019-12-01,2019-12-08,3000,1130970
2019-12-08,2019-12-15,3000,883963
2019-12-15,2019-12-22,2000,677794
2019-12-22,2019-12-29,3000,1032650
2019-12-29,2020-01-05,3000,907304
2020-01-05,2020-01-12,3000,986912
2020-01-12,2020-01-19,3000,998917
2020-01-19,2020-01-26,3000,749708
2020-01-26,2020-02-02,1000,746088
2020-02-02,2020-02-09,3000,1350234
2020-02-09,2020-02-16,3000,925257
2020-02-16,2020-02-23,2000,665655
2020-02-23,2020-03-01,2000,578446
2020-03-01,2020-03-08,1000,510195
2020-03-08,2020-03-15,2000,477989
2020-03-15,2020-03-22,2000,957442
2020-03-22,2020-03-29,3000,1054794
2020-03-29,2020-04-05,3000,880478
2020-04-05,2020-04-12,2000,876641
2020-04-12,2020-04-19,2000,937140
2020-04-19,2020-04-26,3000,752671
2020-04-26,2020-05-03,0,906460
2020-05-03,2020-05-10,0,736921
2020-05-10,2020-05-17,0,714362
2020-05-17,2020-05-24,10000,678415
2020-05-24,2020-05-31,0,662917
2020-05-31,2020-06-07,0,658931
2020-06-07,2020-06-14,0,742207
2020-06-14,2020-06-21,0,711156
2020-06-21,2020-06-28,0,570810
2020-06-28,2020-07-05,0,539346
2020-07-05,2020-07-12,0,665658
2020-07-12,2020-07-19,10000,678397
2020-07-19,2020-07-26,0,536348
2020-07-26,2020-08-02,0,713497
2020-08-02,2020-08-09,0,853782
2020-08-09,2020-08-16,10000,646196
2020-08-16,2020-08-23,0,539796
2020-08-23,2020-08-30,0,562156
2020-08-30,2020-09-06,0,488624
2020-09-06,2020-09-13,0,495087
2020-09-13,2020-09-20,0,490716
2020-09-20,2020-09-27,0,447956
2020-09-27,2020-10-04,0,582474
2020-10-04,2020-10-11,0,598016
2020-10-11,2020-10-18,0,484236
2020-10-18,2020-10-25,0,494981
2020-10-25,2020-11-01,0,506847
2020-11-01,2020-11-08,0,539361
2020-11-08,2020-11-15,0,478000
2020-11-15,2020-11-22,10000,606612
2020-11-22,2020-11-29,0,471336
2020-11-29,2020-12-06,0,480628
2020-12-06,2020-12-13,0,464144
2020-12-13,2020-12-20,0,427204
2020-12-20,2020-12-27,0,400651
2020-12-27,2021-01-03,0,376358
2021-01-03,2021-01-10,0,457228
2021-01-10,2021-01-17,0,491393
2021-01-17,2021-01-24,10000,441674
2021-01-24,2021-01-31,0,563135
2021-01-31,2021-02-07,0,508977
2021-02-07,2021-02-14,0,533212
2021-02-14,2021-02-21,0,571670
2021-02-21,2021-02-28,0,458439
2021-02-28,2021-03-07,0,535571
2021-03-07,2021-03-14,10000,504176
2021-03-14,2021-03-21,0,508704
2021-03-21,2021-03-28,0,427948
2021-03-28,2021-04-04,0,501055
2021-04-04,2021-04-11,0,412159
2021-04-11,2021-04-18,0,391587
2021-04-18,2021-04-25,0,364569
2021-04-25,2021-05-02,0,403295
2021-05-02,2021-05-09,0,429823
2021-05-09,2021-05-16,10000,792360
2021-05-16,2021-05-23,0,747062
2021-05-23,2021-05-30,0,398364
2021-05-30,2021-06-06,10000,328435
2021-06-06,2021-06-13,0,340806
2021-06-13,2021-06-20,0,350027
2021-06-20,2021-06-27,0,301434
2021-06-27,2021-07-04,0,276879
2021-07-04,2021-07-11,0,280724
2021-07-11,2021-07-18,0,290819
2021-07-18,2021-07-25,0,283850
2021-07-25,2021-08-01,0,312396
2021-08-01,2021-08-08,0,365376
2021-08-08,2021-08-15,0,453232
2021-08-15,2021-08-22,0,402031
2021-08-22,2021-08-29,0,404215
2021-08-29,2021-09-05,0,475505
2021-09-05,2021-09-12,10000,457009
2021-09-12,2021-09-19,0,379747
2021-09-19,2021-09-26,0,586472
2021-09-26,2021-10-03,0,409715
2021-10-03,2021-10-10,0,333263
2021-10-10,2021-10-17,0,326436
2021-10-17,2021-10-24,0,345811
2021-10-24,2021-10-31,0,410903
2021-10-31,2021-11-07,0,279857
2021-11-07,2021-11-14,0,574104
2021-11-14,2021-11-21,0,510961
2021-11-21,2021-11-28,10000,647913
2021-11-28,2021-12-05,0,392094
2021-12-05,2021-12-12,0,407787
2021-12-12,2021-12-19,0,545774
2021-12-19,2021-12-26,0,337292
2021-12-26,2022-01-02,0,410977
2022-01-02,2022-01-09,0,453878
2022-01-09,2022-01-16,0,511796
2022-01-16,2022-01-23,10000,458415
2022-01-23,2022-01-30,0,376801
2022-01-30,2022-02-06,0,512719
2022-02-06,2022-02-13,0,420740
2022-02-13,2022-02-20,0,445086
2022-02-20,2022-02-27,0,441398
2022-02-27,2022-03-06,0,386641
2022-03-06,2022-03-13,0,541950
2022-03-13,2022-03-20,0,440577
2022-03-20,2022-03-27,0,316253
2022-03-27,2022-04-03,10000,681241
2022-04-03,2022-04-10,0,702702
2022-04-10,2022-04-17,0,652625
2022-04-17,2022-04-24,0,534885
2022-04-24,2022-05-01,0,501196
2022-05-01,2022-05-08,0,816571
2022-05-08,2022-05-15,10000,765235
2022-05-15,2022-05-22,0,351890
