start_date,end_date,weekly_subscribers,weekly_views
2019-03-17,2019-03-24,0,31
2019-03-24,2019-03-31,0,39
2019-03-31,2019-04-07,0,10
2019-04-07,2019-04-14,0,13
2019-04-15,2019-04-22,-1,56
2019-04-23,2019-04-30,0,3
2019-04-28,2019-05-05,0,17
2019-05-05,2019-05-12,0,2
2019-05-13,2019-05-20,0,5
2019-05-19,2019-05-26,0,6
2019-05-27,2019-06-03,0,2
2019-06-03,2019-06-10,0,1
2019-06-09,2019-06-16,-2,6
2019-06-17,2019-06-24,0,2
2019-06-23,2019-06-30,0,11
2019-07-01,2019-07-08,0,3
2019-07-07,2019-07-14,0,6
2019-07-14,2019-07-21,-1,3
2019-07-21,2019-07-28,0,3
2019-07-31,2019-08-07,0,0
2019-08-04,2019-08-11,0,0
2019-08-11,2019-08-18,0,3
2019-08-18,2019-08-25,0,8
2019-08-25,2019-09-01,0,1
2019-09-02,2019-09-09,0,0
2019-09-08,2019-09-15,0,0
2019-09-15,2019-09-22,0,4
2019-09-22,2019-09-29,0,0
2019-09-29,2019-10-06,-1,3
2019-10-06,2019-10-13,0,2
2019-10-13,2019-10-20,0,0
2019-10-20,2019-10-27,-1,1
2019-10-27,2019-11-03,0,6
2019-11-03,2019-11-10,0,0
2019-11-10,2019-11-17,0,1
2019-11-17,2019-11-24,0,0
2019-11-24,2019-12-01,0,0
2019-12-01,2019-12-08,-1,0
2019-12-08,2019-12-15,-1,0
2019-12-15,2019-12-22,0,0
2019-12-22,2019-12-29,0,1
2019-12-29,2020-01-05,4,-2658
2020-01-05,2020-01-12,12,293
2020-01-12,2020-01-19,24,715
2020-01-19,2020-01-26,20,847
2020-01-26,2020-02-02,62,1785
2020-02-02,2020-02-09,70,2163
2020-02-09,2020-02-16,49,1713
2020-02-17,2020-02-24,508,17188
2020-02-23,2020-03-01,1890,84469
2020-03-01,2020-03-08,3520,192941
2020-03-08,2020-03-15,1290,80167
2020-03-15,2020-03-22,370,24349
2020-03-22,2020-03-29,990,71511
2020-03-29,2020-04-05,900,64618
2020-04-05,2020-04-12,1100,86528
2020-04-12,2020-04-19,700,50711
2020-04-19,2020-04-26,1500,114154
2020-04-26,2020-05-03,2000,130694
2020-05-03,2020-05-10,700,47632
2020-05-10,2020-05-17,600,42684
2020-05-17,2020-05-24,1300,87389
2020-05-24,2020-05-31,2900,175970
2020-05-31,2020-06-07,1300,58265
2020-06-07,2020-06-14,700,48689
2020-06-14,2020-06-21,300,26189
2020-06-21,2020-06-28,600,50295
2020-06-28,2020-07-05,600,45454
2020-07-05,2020-07-12,1600,105555
2020-07-12,2020-07-19,2000,65936
2020-07-19,2020-07-26,3200,168643
2020-07-26,2020-08-02,2900,169204
2020-08-03,2020-08-10,1300,78596
2020-08-09,2020-08-16,1000,77476
2020-08-16,2020-08-23,1200,108773
2020-08-23,2020-08-30,1900,168336
2020-08-30,2020-09-06,1400,117970
2020-09-06,2020-09-13,1000,103968
2020-09-13,2020-09-20,700,63670
2020-09-20,2020-09-27,1200,86246
2020-09-27,2020-10-04,700,78990
2020-10-04,2020-10-11,1000,108107
2020-10-11,2020-10-18,700,50666
2020-10-18,2020-10-25,1900,151409
2020-10-25,2020-11-01,1000,72394
2020-11-01,2020-11-08,600,60948
2020-11-08,2020-11-15,800,84404
2020-11-15,2020-11-22,600,70343
2020-11-22,2020-11-29,400,42047
2020-11-29,2020-12-06,500,61861
2020-12-06,2020-12-13,300,69986
2020-12-13,2020-12-20,400,86312
2020-12-20,2020-12-27,800,92252
2020-12-27,2021-01-03,700,110216
2021-01-03,2021-01-10,400,44293
2021-01-10,2021-01-17,700,95591
2021-01-17,2021-01-24,1100,67622
2021-01-24,2021-01-31,800,70723
2021-01-31,2021-02-07,1000,39235
2021-02-07,2021-02-14,1900,114328
2021-02-14,2021-02-21,600,96316
2021-02-21,2021-02-28,400,35147
2021-02-28,2021-03-07,400,31232
2021-03-07,2021-03-14,400,53712
2021-03-14,2021-03-21,400,41935
2021-03-21,2021-03-28,300,-280116
2021-03-28,2021-04-04,200,20689
2021-04-04,2021-04-11,300,19892
2021-04-11,2021-04-18,200,13417
2021-04-18,2021-04-25,100,-76435
2021-04-25,2021-05-02,1100,74059
2021-05-02,2021-05-09,3700,217463
2021-05-09,2021-05-16,2300,134928
2021-05-16,2021-05-23,6900,392186
2021-05-23,2021-05-30,4000,419666
2021-05-30,2021-06-06,2100,170435
2021-06-06,2021-06-13,1000,133628
2021-06-13,2021-06-20,0,78402
2021-06-20,2021-06-27,0,79981
2021-06-27,2021-07-04,1000,86855
2021-07-04,2021-07-11,5000,328982
2021-07-11,2021-07-18,10000,694196
2021-07-18,2021-07-25,3000,316337
2021-07-25,2021-08-01,6000,323754
2021-08-01,2021-08-08,32000,1549333
2021-08-08,2021-08-15,20000,1605670
2021-08-15,2021-08-22,8000,635485
2021-08-22,2021-08-29,13000,1038988
2021-08-29,2021-09-05,8000,684706
2021-09-05,2021-09-12,6000,570236
2021-09-12,2021-09-19,4000,372731
2021-09-19,2021-09-26,2000,233733
2021-09-26,2021-10-03,3000,200186
2021-10-03,2021-10-10,6000,508182
2021-10-10,2021-10-17,6000,640807
