start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,24150,15952272
2019-06-02,2019-06-09,36959,33715944
2019-06-09,2019-06-16,52500,37917273
2019-06-16,2019-06-23,63162,38470562
2019-06-23,2019-06-30,51594,32942868
2019-06-30,2019-07-07,54130,33182941
2019-07-07,2019-07-14,98491,43317960
2019-07-14,2019-07-21,89792,46791331
2019-07-21,2019-07-28,77602,47801958
2019-07-28,2019-08-04,59770,38196205
2019-08-04,2019-08-11,60983,4989679
2019-08-11,2019-08-18,61943,31812413
2019-08-18,2019-08-25,51479,35592100
2019-08-25,2019-09-01,77069,13708897
2019-09-01,2019-09-08,67909,32741364
2019-09-08,2019-09-15,90455,38911956
2019-09-15,2019-09-22,100000,28931389
2019-09-22,2019-09-29,0,31048102
2019-09-29,2019-10-06,100000,27989793
2019-10-06,2019-10-13,0,24243679
2019-10-13,2019-10-20,100000,23711976
2019-10-20,2019-10-27,0,22765423
2019-10-27,2019-11-03,0,21537789
2019-11-03,2019-11-10,100000,22940731
2019-11-10,2019-11-17,0,34668563
2019-11-17,2019-11-24,0,24089108
2019-11-24,2019-12-01,100000,28374292
2019-12-08,2019-12-15,100000,27219620
2019-12-15,2019-12-22,100000,39761490
2019-12-22,2019-12-29,0,56855359
2019-12-29,2020-01-05,100000,46449917
2020-01-05,2020-01-12,0,57845610
2020-01-12,2020-01-19,100000,63414949
2020-01-19,2020-01-26,100000,71829869
2020-01-26,2020-02-02,200000,56583840
2020-02-02,2020-02-09,100000,53008860
2020-02-09,2020-02-16,100000,49852236
2020-02-16,2020-02-23,0,39410392
2020-02-23,2020-03-01,0,38651797
2020-03-01,2020-03-08,100000,37849881
2020-03-08,2020-03-15,0,52575368
2020-03-15,2020-03-22,100000,58103227
2020-03-22,2020-03-29,100000,78972055
2020-03-29,2020-04-05,200000,85077626
2020-04-05,2020-04-12,100000,75011744
2020-04-12,2020-04-19,100000,69696523
2020-04-19,2020-04-26,100000,61072866
2020-04-26,2020-05-03,100000,74871632
2020-05-03,2020-05-10,100000,78034725
2020-05-10,2020-05-17,100000,78058142
2020-05-17,2020-05-24,100000,77804636
2020-05-24,2020-05-31,100000,73929639
2020-05-31,2020-06-07,100000,88840768
2020-06-07,2020-06-14,200000,99411117
2020-06-14,2020-06-21,100000,98550479
2020-06-21,2020-06-28,200000,90847664
2020-06-28,2020-07-05,100000,110658467
2020-07-05,2020-07-12,100000,112246341
2020-07-12,2020-07-19,200000,101775863
2020-07-19,2020-07-26,200000,99573736
2020-07-26,2020-08-02,100000,106783826
2020-08-02,2020-08-09,100000,119055314
2020-08-09,2020-08-16,100000,104392442
2020-08-16,2020-08-23,200000,101048788
2020-08-23,2020-08-30,100000,91167928
2020-08-30,2020-09-06,100000,89214529
2020-09-06,2020-09-13,100000,94323841
2020-09-13,2020-09-20,100000,99818651
2020-09-20,2020-09-27,100000,105304072
2020-09-27,2020-10-04,200000,106447896
2020-10-04,2020-10-11,100000,88641730
2020-10-11,2020-10-18,100000,87327226
2020-10-18,2020-10-25,100000,89721897
2020-10-25,2020-11-01,100000,79300757
2020-11-01,2020-11-08,0,91927327
2020-11-08,2020-11-15,100000,90740002
2020-11-15,2020-11-22,100000,92035950
2020-11-22,2020-11-29,100000,84185117
2020-11-29,2020-12-06,100000,79668537
2020-12-06,2020-12-13,0,103839865
2020-12-13,2020-12-20,200000,155252995
2020-12-20,2020-12-27,400000,145067254
2020-12-27,2021-01-03,200000,117893997
2021-01-03,2021-01-10,200000,119378271
2021-01-10,2021-01-17,100000,121234675
2021-01-17,2021-01-24,200000,118398840
2021-01-24,2021-01-31,100000,115241116
2021-01-31,2021-02-07,200000,116175351
2021-02-07,2021-02-14,100000,137190627
2021-02-14,2021-02-21,100000,131370275
2021-02-21,2021-02-28,200000,115478886
2021-02-28,2021-03-07,200000,133772908
2021-03-07,2021-03-14,200000,119764138
2021-03-14,2021-03-21,100000,127241987
2021-03-21,2021-03-28,100000,136758295
2021-03-28,2021-04-04,100000,132013586
2021-04-04,2021-04-11,100000,142080580
2021-04-11,2021-04-18,100000,135356976
2021-04-18,2021-04-25,100000,141289355
2021-04-25,2021-05-02,100000,118913567
2021-05-02,2021-05-09,100000,111215297
2021-05-09,2021-05-16,100000,113925774
2021-05-16,2021-05-23,100000,123234646
2021-05-23,2021-05-30,100000,130605314
2021-05-30,2021-06-06,100000,126523973
2021-06-06,2021-06-13,100000,129321023
2021-06-13,2021-06-20,100000,127570230
2021-06-20,2021-06-27,200000,142050906
2021-06-27,2021-07-04,100000,136159333
2021-07-04,2021-07-11,100000,142178000
2021-07-11,2021-07-18,100000,134646435
2021-07-18,2021-07-25,100000,131911878
2021-07-25,2021-08-01,100000,152933475
2021-08-01,2021-08-08,100000,176076527
2021-08-08,2021-08-15,100000,141262248
2021-08-15,2021-08-22,100000,113810486
2021-08-22,2021-08-29,100000,126431246
2021-08-29,2021-09-05,100000,109146456
2021-09-05,2021-09-12,100000,115536799
2021-09-12,2021-09-19,0,113997098
2021-09-19,2021-09-26,100000,118640651
2021-09-26,2021-10-03,100000,114847216
2021-10-03,2021-10-10,100000,106603573
2021-10-10,2021-10-17,100000,105685123
2021-10-17,2021-10-24,100000,99636729
2021-10-24,2021-10-31,0,97375182
2021-10-31,2021-11-07,100000,92833399
2021-11-07,2021-11-14,100000,92419152
2021-11-14,2021-11-21,100000,101979465
2021-11-21,2021-11-28,100000,75272010
2021-11-28,2021-12-05,0,113198898
2021-12-05,2021-12-12,100000,73872487
2021-12-12,2021-12-19,100000,103914291
2021-12-19,2021-12-26,100000,110729105
2021-12-26,2022-01-02,100000,112389742
2022-01-02,2022-01-09,0,78909950
2022-01-09,2022-01-16,100000,123201344
2022-01-16,2022-01-23,100000,106023749
2022-01-23,2022-01-30,0,104148016
2022-01-30,2022-02-06,0,82746859
2022-02-06,2022-02-13,0,87097754
2022-02-13,2022-02-20,0,87483043
2022-02-20,2022-02-27,0,81999081
2022-02-27,2022-03-06,0,71615206
2022-03-06,2022-03-13,0,61676756
2022-03-13,2022-03-20,0,71779212
2022-03-20,2022-03-27,100000,79923143
2022-03-27,2022-04-03,0,92362606
2022-04-03,2022-04-10,100000,102419236
2022-04-10,2022-04-17,0,82381297
2022-04-17,2022-04-24,100000,64170136
2022-04-24,2022-05-01,0,93436049
2022-05-01,2022-05-08,0,67975480
2022-05-08,2022-05-15,0,84825225
