start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,12324,2917983
2019-06-02,2019-06-09,28802,5003229
2019-06-09,2019-06-16,17873,4210226
2019-06-16,2019-06-23,19563,3579658
2019-06-23,2019-06-30,10282,2682153
2019-06-30,2019-07-07,5196,1468494
2019-07-07,2019-07-14,5139,1369821
2019-07-14,2019-07-21,18425,3203835
2019-07-21,2019-07-28,4552,1383611
2019-07-28,2019-08-04,3543,1120452
2019-08-04,2019-08-11,4905,1245435
2019-08-11,2019-08-18,6955,1441568
2019-08-18,2019-08-25,7950,1526174
2019-08-25,2019-09-01,6685,1449435
2019-09-01,2019-09-08,9299,1687925
2019-09-08,2019-09-15,14015,2112618
2019-09-15,2019-09-22,15500,2306664
2019-09-22,2019-09-29,10000,2604661
2019-09-29,2019-10-06,0,1725266
2019-10-06,2019-10-13,10000,1387703
2019-10-13,2019-10-20,0,1702200
2019-10-20,2019-10-27,10000,2301310
2019-10-27,2019-11-03,0,1539578
2019-11-03,2019-11-10,10000,1413936
2019-11-10,2019-11-17,0,1730065
2019-11-17,2019-11-24,10000,1931716
2019-11-24,2019-12-01,0,1636584
2019-12-01,2019-12-08,-20000,1652035
2019-12-08,2019-12-15,10000,1796802
2019-12-15,2019-12-22,0,1425098
2019-12-22,2019-12-29,0,1280337
2019-12-29,2020-01-05,10000,3220864
2020-01-05,2020-01-12,40000,7103316
2020-01-12,2020-01-19,0,2928522
2020-01-19,2020-01-26,10000,2227478
2020-01-26,2020-02-02,50000,6967427
2020-02-02,2020-02-09,30000,4313796
2020-02-09,2020-02-16,20000,2969535
2020-02-16,2020-02-23,10000,2807474
2020-02-23,2020-03-01,20000,3421946
2020-03-01,2020-03-08,30000,5293265
2020-03-08,2020-03-15,40000,5319467
2020-03-15,2020-03-22,40000,6069778
2020-03-22,2020-03-29,20000,2787103
2020-03-29,2020-04-05,10000,3006893
2020-04-05,2020-04-12,20000,3246123
2020-04-12,2020-04-19,10000,2165985
2020-04-19,2020-04-26,10000,1806336
2020-04-26,2020-05-03,0,1767409
2020-05-03,2020-05-10,0,1771393
2020-05-10,2020-05-17,10000,2029358
