start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,2852,463746
2019-06-02,2019-06-09,4271,825806
2019-06-09,2019-06-16,4395,920269
2019-06-16,2019-06-23,3029,742930
2019-06-23,2019-06-30,2803,674298
2019-06-30,2019-07-07,3193,759706
2019-07-07,2019-07-14,3382,692519
2019-07-14,2019-07-21,3329,718384
2019-07-21,2019-07-28,3609,694802
2019-07-28,2019-08-04,4335,761654
2019-08-04,2019-08-11,3212,670642
2019-08-11,2019-08-18,3039,677730
2019-08-18,2019-08-25,1922,514806
2019-08-25,2019-09-01,2402,505477
2019-09-01,2019-09-08,2371,496951
2019-09-08,2019-09-15,2576,724966
2019-09-15,2019-09-22,-5379,636960
2019-09-22,2019-09-29,10000,565658
2019-09-29,2019-10-06,0,458962
2019-10-06,2019-10-13,0,394387
2019-10-13,2019-10-20,0,497057
2019-10-20,2019-10-27,10000,481721
2019-10-27,2019-11-03,0,585236
2019-11-03,2019-11-10,0,554344
2019-11-10,2019-11-17,0,501966
2019-11-17,2019-11-24,10000,298899
2019-11-24,2019-12-01,0,466409
2019-12-01,2019-12-08,0,542719
2019-12-08,2019-12-15,10000,428927
2019-12-15,2019-12-22,0,392516
2019-12-22,2019-12-29,0,444414
2019-12-29,2020-01-05,0,429441
2020-01-05,2020-01-12,0,436293
2020-01-12,2020-01-19,0,434590
2020-01-19,2020-01-26,10000,420054
2020-01-26,2020-02-02,0,453322
2020-02-02,2020-02-09,0,528262
2020-02-09,2020-02-16,10000,508509
2020-02-16,2020-02-23,0,491882
2020-02-23,2020-03-01,0,481660
2020-03-01,2020-03-08,10000,379090
2020-03-08,2020-03-15,0,423966
2020-03-15,2020-03-22,0,452702
2020-03-22,2020-03-29,0,435176
2020-03-29,2020-04-05,10000,470414
2020-04-05,2020-04-12,0,467330
2020-04-12,2020-04-19,10000,535952
2020-04-19,2020-04-26,0,546678
2020-04-26,2020-05-03,0,532870
2020-05-03,2020-05-10,10000,543984
2020-05-10,2020-05-17,0,702341
2020-05-17,2020-05-24,10000,495675
2020-05-24,2020-05-31,0,527892
2020-05-31,2020-06-07,10000,820074
2020-06-07,2020-06-14,10000,800614
2020-06-14,2020-06-21,0,696171
2020-06-21,2020-06-28,10000,585959
2020-06-28,2020-07-05,0,670653
2020-07-05,2020-07-12,0,637399
2020-07-12,2020-07-19,10000,643090
2020-07-19,2020-07-26,0,540733
2020-07-26,2020-08-02,10000,577073
2020-08-02,2020-08-09,0,568744
2020-08-09,2020-08-16,10000,572348
2020-08-16,2020-08-23,0,583641
2020-08-23,2020-08-30,10000,578271
2020-08-30,2020-09-06,0,553368
2020-09-06,2020-09-13,10000,578251
2020-09-13,2020-09-20,10000,786599
2020-09-20,2020-09-27,10000,929419
2020-09-27,2020-10-04,10000,666499
2020-10-04,2020-10-11,10000,573953
2020-10-11,2020-10-18,0,588595
2020-10-18,2020-10-25,10000,638379
2020-10-25,2020-11-01,0,603503
2020-11-01,2020-11-08,0,688093
2020-11-08,2020-11-15,10000,837059
2020-11-15,2020-11-22,10000,974427
2020-11-22,2020-11-29,0,942533
2020-11-29,2020-12-06,0,889794
2020-12-06,2020-12-13,10000,936210
2020-12-13,2020-12-20,10000,899793
2020-12-20,2020-12-27,10000,920861
2020-12-27,2021-01-03,10000,968350
2021-01-03,2021-01-10,10000,1073871
2021-01-10,2021-01-17,10000,861765
2021-01-17,2021-01-24,10000,829158
2021-01-24,2021-01-31,10000,825395
2021-01-31,2021-02-07,10000,776439
2021-02-07,2021-02-14,10000,799792
2021-02-14,2021-02-21,0,916118
2021-02-21,2021-02-28,10000,177629
2021-02-28,2021-03-07,10000,638497
2021-03-07,2021-03-14,0,872107
2021-03-14,2021-03-21,10000,714120
2021-03-21,2021-03-28,0,701061
2021-03-28,2021-04-04,0,1147349
2021-04-04,2021-04-11,10000,892147
2021-04-11,2021-04-18,0,709576
2021-04-18,2021-04-25,0,668315
2021-04-25,2021-05-02,10000,700951
2021-05-02,2021-05-09,10000,684297
2021-05-09,2021-05-16,0,674048
2021-05-16,2021-05-23,10000,650438
2021-05-23,2021-05-30,10000,619530
2021-05-30,2021-06-06,10000,781649
2021-06-06,2021-06-13,10000,1026601
2021-06-13,2021-06-20,10000,900368
2021-06-20,2021-06-27,10000,765237
2021-06-27,2021-07-04,10000,742092
