start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,2151,540415
2019-06-02,2019-06-09,4194,1041918
2019-06-09,2019-06-16,5998,1170607
2019-06-16,2019-06-23,9720,2849901
2019-06-23,2019-06-30,4303,1260485
2019-06-30,2019-07-07,4273,1231954
2019-07-07,2019-07-14,3621,955077
2019-07-14,2019-07-21,8113,1631012
2019-07-21,2019-07-28,6381,1260666
2019-07-28,2019-08-04,7148,1012852
2019-08-04,2019-08-11,5420,1045754
2019-08-11,2019-08-18,5671,1156302
2019-08-18,2019-08-25,4016,863133
2019-08-25,2019-09-01,8466,1491877
2019-09-01,2019-09-08,5599,1289410
2019-09-08,2019-09-15,14378,3442302
2019-09-15,2019-09-22,2388,3666741
2019-09-22,2019-09-29,10000,1604533
2019-09-29,2019-10-06,10000,1201828
2019-10-06,2019-10-13,0,1170129
2019-10-13,2019-10-20,10000,777157
2019-10-20,2019-10-27,0,800490
2019-10-27,2019-11-03,20000,3489306
2019-11-03,2019-11-10,10000,2079594
2019-11-10,2019-11-17,10000,1529452
2019-11-17,2019-11-24,20000,5400299
2019-11-24,2019-12-01,10000,2529547
2019-12-01,2019-12-08,10000,1291123
2019-12-08,2019-12-15,10000,1166302
2019-12-15,2019-12-22,10000,1296271
2019-12-22,2019-12-29,0,1032266
2019-12-29,2020-01-05,10000,991114
2020-01-05,2020-01-12,0,974918
2020-01-12,2020-01-19,0,1030239
2020-01-19,2020-01-26,10000,1665578
2020-01-26,2020-02-02,10000,1480185
2020-02-02,2020-02-09,0,1064324
2020-02-09,2020-02-16,10000,1276849
2020-02-16,2020-02-23,10000,1087294
2020-02-23,2020-03-01,0,2000784
2020-03-01,2020-03-08,10000,3422301
2020-03-08,2020-03-15,0,2171473
2020-03-15,2020-03-22,0,1445352
2020-03-22,2020-03-29,10000,1038449
2020-03-29,2020-04-05,0,783485
2020-04-05,2020-04-12,10000,847691
2020-04-12,2020-04-19,0,845847
2020-04-19,2020-04-26,10000,2248122
2020-04-26,2020-05-03,10000,3134016
2020-05-03,2020-05-10,10000,2049928
2020-05-10,2020-05-17,0,2643786
2020-05-17,2020-05-24,10000,1238741
2020-05-24,2020-05-31,0,2174032
2020-05-31,2020-06-07,20000,6062553
2020-06-07,2020-06-14,0,2383894
2020-06-14,2020-06-21,10000,1604964
2020-06-21,2020-06-28,10000,1146142
2020-06-28,2020-07-05,0,1106485
2020-07-05,2020-07-12,10000,2443542
2020-07-12,2020-07-19,10000,1672486
2020-07-19,2020-07-26,0,990959
2020-07-26,2020-08-02,10000,2931581
2020-08-02,2020-08-09,0,919430
2020-08-09,2020-08-16,10000,2561216
2020-08-16,2020-08-23,10000,1510201
2020-08-23,2020-08-30,10000,4004926
2020-08-30,2020-09-06,10000,1775969
2020-09-06,2020-09-13,0,1133785
2020-09-13,2020-09-20,10000,910212
2020-09-20,2020-09-27,0,1132121
2020-09-27,2020-10-04,30000,5626549
2020-10-04,2020-10-11,20000,2971492
2020-10-11,2020-10-18,10000,3924608
2020-10-18,2020-10-25,0,1825635
2020-10-25,2020-11-01,10000,1713918
2020-11-01,2020-11-08,30000,5753860
2020-11-08,2020-11-15,30000,4929025
2020-11-15,2020-11-22,20000,3335407
2020-11-22,2020-11-29,0,1661572
2020-11-29,2020-12-06,10000,1454757
2020-12-06,2020-12-13,10000,1543254
2020-12-13,2020-12-20,10000,1326085
2020-12-20,2020-12-27,0,1585687
2020-12-27,2021-01-03,10000,1131975
2021-01-03,2021-01-10,0,1200939
2021-01-10,2021-01-17,10000,1355555
2021-01-17,2021-01-24,10000,2086646
2021-01-24,2021-01-31,10000,2520519
2021-01-31,2021-02-07,10000,1686051
2021-02-07,2021-02-14,0,1557027
2021-02-14,2021-02-21,10000,1774754
2021-02-21,2021-02-28,0,2044429
2021-02-28,2021-03-07,0,1728274
2021-03-07,2021-03-14,10000,1535912
2021-03-14,2021-03-21,0,1133775
2021-03-21,2021-03-28,20000,2481077
2021-03-28,2021-04-04,10000,2699639
2021-04-04,2021-04-11,30000,4277286
2021-04-11,2021-04-18,50000,6829753
2021-04-18,2021-04-25,30000,4635580
2021-04-25,2021-05-02,10000,1682811
2021-05-02,2021-05-09,0,1172330
2021-05-09,2021-05-16,0,2651189
2021-05-16,2021-05-23,10000,1301753
2021-05-23,2021-05-30,0,2052212
2021-05-30,2021-06-06,10000,1244765
2021-06-06,2021-06-13,0,1156179
2021-06-13,2021-06-20,10000,1362864
2021-06-20,2021-06-27,10000,1626475
2021-06-27,2021-07-04,30000,2987027
2021-07-04,2021-07-11,10000,1918218
2021-07-11,2021-07-18,0,1502509
2021-07-18,2021-07-25,10000,1319131
2021-07-25,2021-08-01,0,1290669
2021-08-01,2021-08-08,10000,1751373
2021-08-08,2021-08-15,20000,5409908
2021-08-15,2021-08-22,10000,3449229
2021-08-22,2021-08-29,10000,2620263
2021-08-29,2021-09-05,10000,2269416
2021-09-05,2021-09-12,30000,5309007
2021-09-12,2021-09-19,30000,4269694
2021-09-19,2021-09-26,10000,3359634
2021-09-26,2021-10-03,10000,2213924
2021-10-03,2021-10-10,10000,1542326
2021-10-10,2021-10-17,10000,1424731
2021-10-17,2021-10-24,0,1282988
2021-10-24,2021-10-31,10000,1528060
2021-10-31,2021-11-07,10000,1273897
2021-11-07,2021-11-14,0,1287412
2021-11-14,2021-11-21,10000,1024629
2021-11-21,2021-11-28,0,750042
2021-11-28,2021-12-05,0,507190
2021-12-05,2021-12-12,0,623341
2021-12-12,2021-12-19,0,1688312
2021-12-19,2021-12-26,10000,904619
2021-12-26,2022-01-02,10000,948766
2022-01-02,2022-01-09,0,861218
2022-01-09,2022-01-16,0,1561159
2022-01-16,2022-01-23,10000,1246452
2022-01-23,2022-01-30,0,1749082
2022-01-30,2022-02-06,10000,1960769
2022-02-06,2022-02-13,20000,3686938
2022-02-13,2022-02-20,20000,5407564
2022-02-20,2022-02-27,10000,3253359
2022-02-27,2022-03-06,0,1827567
2022-03-06,2022-03-13,10000,1973746
2022-03-13,2022-03-20,10000,1673210
2022-03-20,2022-03-27,10000,1816364
2022-03-27,2022-04-03,10000,1767247
2022-04-03,2022-04-10,10000,2399194
2022-04-10,2022-04-17,10000,3744150
2022-04-17,2022-04-24,10000,3153935
2022-04-24,2022-05-01,10000,2108964
2022-05-01,2022-05-08,10000,2286539
2022-05-08,2022-05-15,10000,1846371
2022-05-15,2022-05-22,0,1546078
