start_date,end_date,weekly_subscribers,weekly_views
2019-05-28,2019-06-04,13042,1898852
2019-06-02,2019-06-09,19522,3105158
2019-06-09,2019-06-16,20901,2925128
2019-06-16,2019-06-23,18731,2791084
2019-06-23,2019-06-30,18687,2602245
2019-06-30,2019-07-07,19430,2484780
2019-07-07,2019-07-14,21751,2447540
2019-07-14,2019-07-21,20387,2508271
2019-07-21,2019-07-28,18627,2475754
2019-07-28,2019-08-04,19116,2483325
2019-08-04,2019-08-11,19932,2775116
2019-08-11,2019-08-18,22287,3001996
2019-08-18,2019-08-25,22221,3106649
2019-08-25,2019-09-01,24122,3292098
2019-09-01,2019-09-08,27703,3514099
2019-09-08,2019-09-15,29949,3956848
2019-09-15,2019-09-22,20000,3912616
2019-09-22,2019-09-29,30000,3737270
2019-09-29,2019-10-06,30000,3495342
2019-10-06,2019-10-13,30000,3538239
2019-10-13,2019-10-20,30000,3437845
2019-10-20,2019-10-27,30000,3547984
2019-10-27,2019-11-03,20000,3516090
2019-11-03,2019-11-10,0,3805700
2019-11-10,2019-11-17,0,3809730
2019-11-17,2019-11-24,0,3588551
2019-11-24,2019-12-01,0,2647876
2019-12-01,2019-12-08,-100000,3630637
2019-12-08,2019-12-15,0,3722381
2019-12-15,2019-12-22,0,2748175
2019-12-22,2019-12-29,0,1508878
2019-12-29,2020-01-05,0,1939610
2020-01-05,2020-01-12,100000,3224791
2020-01-12,2020-01-19,0,3526915
2020-01-19,2020-01-26,0,3990999
2020-01-26,2020-02-02,100000,4141164
2020-02-02,2020-02-09,0,4404694
2020-02-09,2020-02-16,0,4506862
2020-02-16,2020-02-23,100000,4099649
2020-02-23,2020-03-01,0,3996864
2020-03-01,2020-03-08,0,3793716
2020-03-08,2020-03-15,100000,3262082
2020-03-15,2020-03-22,0,3979677
2020-03-22,2020-03-29,0,4306475
2020-03-29,2020-04-05,100000,4652781
2020-04-05,2020-04-12,0,4196613
2020-04-12,2020-04-19,100000,4520300
2020-04-19,2020-04-26,0,4925312
2020-04-26,2020-05-03,0,5108537
2020-05-03,2020-05-10,0,4936483
2020-05-10,2020-05-17,0,4773865
2020-05-17,2020-05-24,100000,3898714
2020-05-24,2020-05-31,0,3343310
2020-05-31,2020-06-07,0,3266567
2020-06-07,2020-06-14,0,3046041
2020-06-14,2020-06-21,0,2834406
2020-06-21,2020-06-28,0,2718928
2020-06-28,2020-07-05,0,2896804
2020-07-05,2020-07-12,0,3056329
2020-07-12,2020-07-19,0,2872335
2020-07-19,2020-07-26,0,2598847
2020-07-26,2020-08-02,0,2499144
2020-08-02,2020-08-09,0,2354237
2020-08-09,2020-08-16,100000,2630312
2020-08-16,2020-08-23,0,2856112
2020-08-23,2020-08-30,0,3474961
2020-08-30,2020-09-06,100000,3782548
2020-09-06,2020-09-13,0,4219992
2020-09-13,2020-09-20,0,4325474
2020-09-20,2020-09-27,100000,4157767
2020-09-27,2020-10-04,0,4038327
2020-10-04,2020-10-11,0,4030105
2020-10-11,2020-10-18,100000,4145815
2020-10-18,2020-10-25,0,4278213
2020-10-25,2020-11-01,0,4057553
2020-11-01,2020-11-08,100000,3874081
2020-11-08,2020-11-15,0,3913376
2020-11-15,2020-11-22,0,4014839
2020-11-22,2020-11-29,0,2743061
2020-11-29,2020-12-06,100000,3872539
2020-12-06,2020-12-13,0,3609019
2020-12-13,2020-12-20,0,3029189
2020-12-20,2020-12-27,0,1731005
2020-12-27,2021-01-03,0,2001120
2021-01-03,2021-01-10,100000,3529783
2021-01-10,2021-01-17,0,3850854
2021-01-17,2021-01-24,0,4011149
2021-01-24,2021-01-31,100000,4130960
2021-01-31,2021-02-07,0,4322102
2021-02-07,2021-02-14,0,3721662
2021-02-14,2021-02-21,100000,3686558
2021-02-21,2021-02-28,0,3766043
2021-02-28,2021-03-07,0,3493378
2021-03-07,2021-03-14,0,3585646
2021-03-14,2021-03-21,100000,3414137
2021-03-21,2021-03-28,0,3520454
2021-03-28,2021-04-04,0,2865395
2021-04-04,2021-04-11,0,3227845
2021-04-11,2021-04-18,100000,3539087
2021-04-18,2021-04-25,0,3539939
2021-04-25,2021-05-02,0,3608542
2021-05-02,2021-05-09,0,3701589
2021-05-09,2021-05-16,0,4166512
2021-05-16,2021-05-23,0,4481674
2021-05-23,2021-05-30,0,2991215
2021-05-30,2021-06-06,0,2942812
2021-06-06,2021-06-13,0,2706568
2021-06-13,2021-06-20,0,2491052
2021-06-20,2021-06-27,0,2217566
2021-06-27,2021-07-04,0,2284809
2021-07-04,2021-07-11,100000,2560143
2021-07-11,2021-07-18,0,2597309
2021-07-18,2021-07-25,0,2331199
2021-07-25,2021-08-01,0,2297570
2021-08-01,2021-08-08,0,2436778
2021-08-08,2021-08-15,100000,2784975
2021-08-15,2021-08-22,0,2790502
2021-08-22,2021-08-29,0,2919549
2021-08-29,2021-09-05,0,3188918
2021-09-05,2021-09-12,100000,3461180
2021-09-12,2021-09-19,0,3513166
2021-09-19,2021-09-26,0,3427792
2021-09-26,2021-10-03,0,3627195
2021-10-03,2021-10-10,100000,3216393
2021-10-10,2021-10-17,0,3060368
2021-10-17,2021-10-24,0,3353366
2021-10-24,2021-10-31,0,3381814
2021-10-31,2021-11-07,100000,3255520
2021-11-07,2021-11-14,0,3099105
2021-11-14,2021-11-21,0,3110254
2021-11-21,2021-11-28,0,2167214
2021-11-28,2021-12-05,0,2625180
2021-12-05,2021-12-12,100000,2721709
2021-12-12,2021-12-19,0,3364842
2021-12-19,2021-12-26,0,1723733
2021-12-26,2022-01-02,0,1686652
2022-01-02,2022-01-09,0,2349491
2022-01-09,2022-01-16,100000,2957424
2022-01-16,2022-01-23,0,3149477
2022-01-23,2022-01-30,0,3575618
2022-01-30,2022-02-06,0,3241659
2022-02-06,2022-02-13,0,3138617
2022-02-13,2022-02-20,0,2770718
2022-02-20,2022-02-27,0,3483854
2022-02-27,2022-03-06,0,3700493
2022-03-06,2022-03-13,0,3714586
2022-03-13,2022-03-20,100000,2826612
2022-03-20,2022-03-27,0,2972678
2022-03-27,2022-04-03,0,3597632
2022-04-03,2022-04-10,0,2808300
2022-04-10,2022-04-17,0,3186369
2022-04-17,2022-04-24,100000,2773136
2022-04-24,2022-05-01,0,2804619
2022-05-01,2022-05-08,0,2755074
2022-05-08,2022-05-15,0,3292634
2022-05-15,2022-05-22,0,2407969
