start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,27014,5484895
2019-06-02,2019-06-09,48575,11379298
2019-06-09,2019-06-16,33736,7980164
2019-06-16,2019-06-23,31610,8568926
2019-06-23,2019-06-30,33692,8581149
2019-06-30,2019-07-07,44043,7227162
2019-07-07,2019-07-14,45134,12705896
2019-07-14,2019-07-21,64128,16242392
2019-07-21,2019-07-28,59592,14481929
2019-07-28,2019-08-04,67100,14917194
2019-08-04,2019-08-11,53148,12216834
2019-08-11,2019-08-18,35509,7607692
2019-08-18,2019-08-25,27303,5698902
2019-08-25,2019-09-01,36543,7137514
2019-09-01,2019-09-08,111178,21159172
2019-09-08,2019-09-15,77351,16498759
2019-09-15,2019-09-22,11598,10141718
2019-09-22,2019-09-29,0,6775728
2019-09-29,2019-10-06,100000,5127349
2019-10-06,2019-10-13,0,4914249
2019-10-13,2019-10-20,0,7089079
2019-10-20,2019-10-27,100000,8827610
2019-10-27,2019-11-03,0,9497839
2019-11-03,2019-11-10,100000,6387741
2019-11-10,2019-11-17,0,5645994
2019-11-17,2019-11-24,0,5646453
2019-11-24,2019-12-01,100000,5553930
2019-12-01,2019-12-08,0,5479523
2019-12-08,2019-12-15,0,9443920
2019-12-15,2019-12-22,200000,33887256
2019-12-22,2019-12-29,100000,20908806
2019-12-29,2020-01-05,0,10439525
2020-01-05,2020-01-12,100000,10096995
2020-01-12,2020-01-19,0,12528159
2020-01-19,2020-01-26,100000,13444357
2020-01-26,2020-02-02,100000,7461158
2020-02-02,2020-02-09,0,8053180
2020-02-09,2020-02-16,0,10332172
2020-02-16,2020-02-23,0,10103858
2020-02-23,2020-03-01,100000,10840463
2020-03-01,2020-03-08,0,10724303
2020-03-08,2020-03-15,100000,10190049
2020-03-15,2020-03-22,0,11446524
2020-03-22,2020-03-29,0,11434022
2020-03-29,2020-04-05,100000,10876241
2020-04-05,2020-04-12,0,12889472
2020-04-12,2020-04-19,0,14596217
2020-04-19,2020-04-26,100000,12713880
2020-04-26,2020-05-03,100000,12097619
2020-05-03,2020-05-10,0,13348467
2020-05-10,2020-05-17,100000,11433325
2020-05-17,2020-05-24,100000,12120967
2020-05-24,2020-05-31,0,12893814
2020-05-31,2020-06-07,100000,12659346
2020-06-07,2020-06-14,100000,10668124
2020-06-14,2020-06-21,0,7004067
2020-06-21,2020-06-28,100000,6931501
2020-06-28,2020-07-05,0,6907417
2020-07-05,2020-07-12,0,7466121
2020-07-12,2020-07-19,100000,7752892
2020-07-19,2020-07-26,0,8320332
2020-07-26,2020-08-02,100000,8293585
2020-08-02,2020-08-09,0,8386392
2020-08-09,2020-08-16,100000,9515199
2020-08-16,2020-08-23,0,8324706
2020-08-23,2020-08-30,100000,11765375
2020-08-30,2020-09-06,100000,12081925
2020-09-06,2020-09-13,0,17291340
2020-09-13,2020-09-20,100000,15030613
2020-09-20,2020-09-27,100000,12936685
2020-09-27,2020-10-04,0,13429076
2020-10-04,2020-10-11,100000,16966752
2020-10-11,2020-10-18,100000,13024639
2020-10-18,2020-10-25,0,11318499
2020-10-25,2020-11-01,100000,10389380
2020-11-01,2020-11-08,0,9040496
2020-11-08,2020-11-15,100000,8502142
2020-11-15,2020-11-22,0,9309592
2020-11-22,2020-11-29,0,8277685
2020-11-29,2020-12-06,0,7962611
2020-12-06,2020-12-13,0,8786766
2020-12-13,2020-12-20,100000,13368971
2020-12-20,2020-12-27,100000,21501190
2020-12-27,2021-01-03,100000,20945603
2021-01-03,2021-01-10,100000,21877246
2021-01-10,2021-01-17,100000,19246557
2021-01-17,2021-01-24,100000,23729272
2021-01-24,2021-01-31,100000,29516392
2021-01-31,2021-02-07,100000,22313541
2021-02-07,2021-02-14,100000,20429288
2021-02-14,2021-02-21,100000,17469799
2021-02-21,2021-02-28,0,15514942
2021-02-28,2021-03-07,100000,13124216
2021-03-07,2021-03-14,100000,13259952
2021-03-14,2021-03-21,0,17008317
2021-03-21,2021-03-28,100000,16065659
2021-03-28,2021-04-04,100000,10414194
2021-04-04,2021-04-11,0,11440362
2021-04-11,2021-04-18,100000,12749703
2021-04-18,2021-04-25,100000,13426701
2021-04-25,2021-05-02,0,8362771
2021-05-02,2021-05-09,100000,10213440
2021-05-09,2021-05-16,0,8317686
2021-05-16,2021-05-23,100000,8031851
2021-05-23,2021-05-30,0,7788228
2021-05-30,2021-06-06,0,7411059
2021-06-06,2021-06-13,100000,7859267
2021-06-13,2021-06-20,0,9714500
2021-06-20,2021-06-27,100000,9954218
2021-06-27,2021-07-04,0,9817166
2021-07-04,2021-07-11,100000,8462724
2021-07-11,2021-07-18,0,7699727
2021-07-18,2021-07-25,0,9532300
2021-07-25,2021-08-01,0,9270216
2021-08-01,2021-08-08,0,5845929
2021-08-08,2021-08-15,0,12239340
2021-08-15,2021-08-22,0,598301
2021-08-22,2021-08-29,0,12047191
2021-08-29,2021-09-05,0,10255556
2021-09-05,2021-09-12,100000,9793187
2021-09-12,2021-09-19,0,7764557
2021-09-19,2021-09-26,100000,15464895
2021-09-26,2021-10-03,0,8950775
2021-10-03,2021-10-10,0,7757529
2021-10-10,2021-10-17,100000,13032525
2021-10-17,2021-10-24,200000,41528846
2021-10-24,2021-10-31,100000,31949128
2021-10-31,2021-11-07,100000,25428640
2021-11-07,2021-11-14,100000,13012380
2021-11-14,2021-11-21,0,9238923
2021-11-21,2021-11-28,100000,6710434
2021-11-28,2021-12-05,0,7236627
2021-12-05,2021-12-12,100000,6838103
2021-12-12,2021-12-19,0,5321036
2021-12-19,2021-12-26,0,5204483
2021-12-26,2022-01-02,0,5664921
2022-01-02,2022-01-09,100000,6000748
2022-01-09,2022-01-16,0,5218482
2022-01-16,2022-01-23,0,7058027
2022-01-23,2022-01-30,100000,6907575
2022-01-30,2022-02-06,0,7625401
2022-02-06,2022-02-13,0,7561643
2022-02-13,2022-02-20,0,6034563
2022-02-20,2022-02-27,0,7175192
2022-02-27,2022-03-06,0,5031860
2022-03-06,2022-03-13,100000,5840821
2022-03-13,2022-03-20,0,5183712
2022-03-20,2022-03-27,0,4897894
2022-03-27,2022-04-03,0,7113525
2022-04-03,2022-04-10,0,8519121
2022-04-10,2022-04-17,0,7281247
2022-04-17,2022-04-24,0,7650955
2022-04-24,2022-05-01,100000,7336837
2022-05-01,2022-05-08,100000,13017367
2022-05-08,2022-05-15,0,8500358
2022-05-15,2022-05-22,0,7787715
