start_date,end_date,weekly_subscribers,weekly_views
2019-05-28,2019-06-04,20794,4844958
2019-06-02,2019-06-09,31814,7158747
2019-06-09,2019-06-16,31837,7189776
2019-06-16,2019-06-23,34155,6846450
2019-06-23,2019-06-30,35516,7531723
2019-06-30,2019-07-07,32597,7102233
2019-07-07,2019-07-14,33646,6449952
2019-07-14,2019-07-21,53533,9155956
2019-07-21,2019-07-28,47113,8624313
2019-07-28,2019-08-04,51064,8889475
2019-08-04,2019-08-11,43012,7866295
2019-08-11,2019-08-18,38748,7406913
2019-08-18,2019-08-25,44781,8175168
2019-08-25,2019-09-01,70810,12959704
2019-09-01,2019-09-08,51978,9866414
2019-09-08,2019-09-15,27074,6779600
2019-09-15,2019-09-22,20000,5914341
2019-09-22,2019-09-29,20000,5765154
2019-09-29,2019-10-06,0,5337761
2019-10-06,2019-10-13,0,4890808
2019-10-13,2019-10-20,0,4944727
2019-10-20,2019-10-27,100000,5159354
2019-10-27,2019-11-03,0,5224680
2019-11-03,2019-11-10,0,5070540
2019-11-10,2019-11-17,0,5532038
2019-11-17,2019-11-24,100000,5907353
2019-11-24,2019-12-01,0,5459053
2019-12-01,2019-12-08,0,5810185
2019-12-08,2019-12-15,0,5564815
2019-12-15,2019-12-22,0,5832133
2019-12-22,2019-12-29,0,4538570
2019-12-29,2020-01-05,0,5364090
2020-01-05,2020-01-12,0,5790616
2020-01-12,2020-01-19,100000,7143390
2020-01-19,2020-01-26,0,12586935
2020-01-26,2020-02-02,100000,12866221
2020-02-02,2020-02-09,100000,14226889
2020-02-09,2020-02-16,100000,10879580
2020-02-16,2020-02-23,0,11897219
2020-02-23,2020-03-01,100000,10613454
2020-03-01,2020-03-08,0,10102573
2020-03-08,2020-03-15,100000,12236599
2020-03-15,2020-03-22,100000,13026034
2020-03-22,2020-03-29,0,11263503
2020-03-29,2020-04-05,100000,10958886
2020-04-05,2020-04-12,100000,12285110
2020-04-12,2020-04-19,0,11732293
2020-04-19,2020-04-26,100000,12111794
2020-04-26,2020-05-03,100000,12673814
2020-05-03,2020-05-10,100000,13740974
2020-05-10,2020-05-17,0,12198543
2020-05-17,2020-05-24,100000,11097615
2020-05-24,2020-05-31,0,9875578
2020-05-31,2020-06-07,100000,11340012
2020-06-07,2020-06-14,0,10251688
2020-06-14,2020-06-21,0,10050224
2020-06-21,2020-06-28,100000,8986359
2020-06-28,2020-07-05,0,8426156
2020-07-05,2020-07-12,0,9976213
2020-07-12,2020-07-19,100000,8540315
2020-07-19,2020-07-26,0,7050667
