start_date,end_date,weekly_subscribers,weekly_views
2019-05-28,2019-06-04,118258,10730054
2019-06-02,2019-06-09,74309,8676535
2019-06-09,2019-06-16,98196,15393794
2019-06-16,2019-06-23,40571,6954308
2019-06-23,2019-06-30,35009,5346040
2019-06-30,2019-07-07,60537,10937285
2019-07-07,2019-07-14,17806,3617177
2019-07-14,2019-07-21,18877,3975462
2019-07-21,2019-07-28,15370,3086467
2019-07-28,2019-08-04,13026,2997846
2019-08-04,2019-08-11,13720,2968136
2019-08-11,2019-08-18,17150,3520460
2019-08-18,2019-08-25,15066,2809778
2019-08-25,2019-09-01,16713,3927496
2019-09-01,2019-09-08,14347,2655220
2019-09-08,2019-09-15,16966,4419408
2019-09-15,2019-09-22,20000,6222516
2019-09-22,2019-09-29,30000,4286229
2019-09-29,2019-10-06,20000,3864102
2019-10-06,2019-10-13,10000,2492183
2019-10-13,2019-10-20,10000,1755149
2019-10-20,2019-10-27,10000,2074347
2019-10-27,2019-11-03,10000,1954981
2019-11-03,2019-11-10,10000,2593596
2019-11-10,2019-11-17,10000,1459160
2019-11-17,2019-11-24,10000,3183957
2019-11-24,2019-12-01,10000,3415500
2019-12-01,2019-12-08,0,2672010
2019-12-08,2019-12-15,10000,2561147
2019-12-15,2019-12-22,20000,2655399
2019-12-22,2019-12-29,10000,2820655
2019-12-29,2020-01-05,10000,2024411
2020-01-05,2020-01-12,10000,1764064
2020-01-12,2020-01-19,10000,1523695
2020-01-19,2020-01-26,10000,1339212
2020-01-26,2020-02-02,40000,4688553
2020-02-02,2020-02-09,30000,4068693
2020-02-09,2020-02-16,20000,2692501
2020-02-16,2020-02-23,10000,1768559
2020-02-23,2020-03-01,10000,1515212
2020-03-01,2020-03-08,30000,3859594
2020-03-08,2020-03-15,20000,3023797
2020-03-15,2020-03-22,20000,2363492
2020-03-22,2020-03-29,10000,2082010
2020-03-29,2020-04-05,10000,2102197
2020-04-05,2020-04-12,20000,1588617
2020-04-12,2020-04-19,10000,1508463
2020-04-19,2020-04-26,10000,1840460
2020-04-26,2020-05-03,20000,3792891
2020-05-03,2020-05-10,70000,10104325
2020-05-10,2020-05-17,40000,5477831
2020-05-17,2020-05-24,10000,2307514
