start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,9260,1395821
2019-06-02,2019-06-09,20244,2791341
2019-06-09,2019-06-16,23124,3543230
2019-06-16,2019-06-23,19387,3279803
2019-06-23,2019-06-30,16107,3014814
2019-06-30,2019-07-07,15853,2985085
2019-07-07,2019-07-14,18443,3204411
2019-07-14,2019-07-21,18940,3565688
2019-07-21,2019-07-28,15050,3092166
2019-07-28,2019-08-04,16474,2986428
2019-08-04,2019-08-11,20782,3360412
2019-08-11,2019-08-18,19296,3340599
2019-08-18,2019-08-25,11871,2518400
2019-08-25,2019-09-01,14248,2631535
2019-09-01,2019-09-08,14154,2611062
2019-09-08,2019-09-15,10875,2628121
2019-09-22,2019-09-29,0,2891825
2019-09-29,2019-10-06,100000,4490598
2019-10-06,2019-10-13,0,6982765
2019-10-13,2019-10-20,0,6066983
2019-10-20,2019-10-27,100000,4619560
2019-10-27,2019-11-03,0,5856349
2019-11-03,2019-11-10,0,4939783
2019-11-10,2019-11-17,100000,5017053
2019-11-17,2019-11-24,0,4984567
2019-11-24,2019-12-01,0,4648503
2019-12-01,2019-12-08,0,3628208
2019-12-08,2019-12-15,0,3311335
2019-12-15,2019-12-22,100000,3313423
2019-12-22,2019-12-29,0,3566033
2019-12-29,2020-01-05,0,3977877
2020-01-05,2020-01-12,100000,4128738
2020-01-12,2020-01-19,0,4047513
2020-01-19,2020-01-26,0,4639536
2020-01-26,2020-02-02,0,4830970
2020-02-02,2020-02-09,100000,3974862
2020-02-09,2020-02-16,0,4291733
2020-02-16,2020-02-23,100000,4706455
2020-02-23,2020-03-01,0,9992206
2020-03-01,2020-03-08,0,6609052
2020-03-08,2020-03-15,0,4996684
2020-03-15,2020-03-22,100000,3854477
2020-03-22,2020-03-29,0,3576530
2020-03-29,2020-04-05,0,2936522
2020-04-05,2020-04-12,0,2390302
2020-04-12,2020-04-19,0,2905374
2020-04-19,2020-04-26,100000,3251365
2020-04-26,2020-05-03,0,3319976
2020-05-03,2020-05-10,0,3666694
2020-05-10,2020-05-17,0,3832654
2020-05-17,2020-05-24,0,3953752
2020-05-24,2020-05-31,0,3552310
2020-05-31,2020-06-07,0,3257524
2020-06-07,2020-06-14,0,3716830
2020-06-14,2020-06-21,100000,3661741
2020-06-21,2020-06-28,0,3761525
2020-06-28,2020-07-05,0,3758033
2020-07-05,2020-07-12,0,2938311
2020-07-12,2020-07-19,0,3119458
2020-07-19,2020-07-26,100000,2832345
2020-07-26,2020-08-02,0,2769983
2020-08-02,2020-08-09,0,6389335
2020-08-09,2020-08-16,100000,6237360
2020-08-16,2020-08-23,0,4705411
2020-08-23,2020-08-30,0,3458425
2020-08-30,2020-09-06,0,3222287
2020-09-06,2020-09-13,100000,3262947
2020-09-13,2020-09-20,0,2916990
2020-09-20,2020-09-27,0,2791660
2020-09-27,2020-10-04,0,3149155
2020-10-04,2020-10-11,0,2790166
2020-10-11,2020-10-18,0,3000177
2020-10-18,2020-10-25,0,2876341
2020-10-25,2020-11-01,0,3111864
2020-11-01,2020-11-08,0,2706283
2020-11-08,2020-11-15,0,2435981
2020-11-15,2020-11-22,0,2579966
2020-11-22,2020-11-29,0,2829860
2020-11-29,2020-12-06,100000,2744064
2020-12-06,2020-12-13,0,3191643
2020-12-13,2020-12-20,0,3384150
2020-12-20,2020-12-27,0,3856252
2020-12-27,2021-01-03,100000,4379583
2021-01-03,2021-01-10,0,4105631
2021-01-10,2021-01-17,100000,5562400
2021-01-17,2021-01-24,0,6658160
2021-01-24,2021-01-31,0,5560712
2021-01-31,2021-02-07,100000,5181112
2021-02-07,2021-02-14,0,4277300
2021-02-14,2021-02-21,0,4135669
2021-02-21,2021-02-28,0,4145856
2021-02-28,2021-03-07,100000,3785275
2021-03-07,2021-03-14,0,2977814
2021-03-14,2021-03-21,0,2517157
2021-03-21,2021-03-28,0,2156439
2021-03-28,2021-04-04,0,5036410
2021-04-04,2021-04-11,0,4198645
2021-04-11,2021-04-18,100000,6607971
2021-04-18,2021-04-25,0,4515342
2021-04-25,2021-05-02,0,5175193
2021-05-02,2021-05-09,0,8284249
2021-05-09,2021-05-16,0,5393744
2021-05-16,2021-05-23,0,4264008
2021-05-23,2021-05-30,0,3985128
2021-05-30,2021-06-06,100000,3674367
2021-06-06,2021-06-13,0,3597772
2021-06-13,2021-06-20,0,2986977
2021-06-20,2021-06-27,0,5897618
2021-06-27,2021-07-04,0,3431269
2021-07-04,2021-07-11,0,2849592
2021-07-11,2021-07-18,0,2471382
2021-07-18,2021-07-25,0,2606387
2021-07-25,2021-08-01,0,2246624
2021-08-01,2021-08-08,0,2049129
2021-08-08,2021-08-15,0,2823874
2021-08-15,2021-08-22,0,4067069
2021-08-22,2021-08-29,0,4756091
2021-08-29,2021-09-05,0,4511739
2021-09-05,2021-09-12,0,2002799
2021-09-12,2021-09-19,100000,2076888
2021-09-19,2021-09-26,0,5764680
2021-09-26,2021-10-03,0,3637363
2021-10-03,2021-10-10,0,2829431
2021-10-10,2021-10-17,0,2877224
2021-10-17,2021-10-24,0,2907935
2021-10-24,2021-10-31,0,2372784
2021-10-31,2021-11-07,0,1915280
2021-11-07,2021-11-14,0,2034806
2021-11-14,2021-11-21,100000,1847045
2021-11-21,2021-11-28,0,2334868
2021-11-28,2021-12-05,0,1738560
2021-12-05,2021-12-12,0,1959066
2021-12-12,2021-12-19,0,1685053
2021-12-19,2021-12-26,0,2127086
2021-12-26,2022-01-02,0,5150022
2022-01-02,2022-01-09,0,6701052
2022-01-09,2022-01-16,100000,6538923
2022-01-16,2022-01-23,0,5256182
2022-01-23,2022-01-30,0,7017812
2022-01-30,2022-02-06,100000,10994233
2022-02-06,2022-02-13,0,9678296
2022-02-13,2022-02-20,0,10049545
2022-02-20,2022-02-27,100000,13606211
2022-02-27,2022-03-06,0,6332913
2022-03-06,2022-03-13,0,5855867
2022-03-13,2022-03-20,0,8000722
2022-03-20,2022-03-27,0,7893831
2022-03-27,2022-04-03,100000,9267737
2022-04-03,2022-04-10,0,4412227
2022-04-10,2022-04-17,0,3430490
2022-04-17,2022-04-24,0,2681561
2022-04-24,2022-05-01,0,3217865
2022-05-01,2022-05-08,0,3673635
2022-05-08,2022-05-15,0,4979549
2022-05-15,2022-05-22,0,3368870
