start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,49487,4081163
2019-06-02,2019-06-09,55240,5947952
2019-06-09,2019-06-16,34859,-51894907
2019-06-16,2019-06-23,64625,12790860
2019-06-23,2019-06-30,36267,10404153
2019-06-30,2019-07-07,35788,8058131
2019-07-07,2019-07-14,33221,6963872
2019-07-14,2019-07-21,67850,9744072
2019-07-21,2019-07-28,74140,15516483
2019-07-28,2019-08-04,28221,10027673
2019-08-04,2019-08-11,42741,9479856
2019-08-11,2019-08-18,46255,12871473
2019-08-18,2019-08-25,29424,8871535
2019-08-25,2019-09-01,23830,5668879
2019-09-01,2019-09-08,28154,6690996
2019-09-08,2019-09-15,17310,3336258
2019-09-15,2019-09-22,-40551,9039041
2019-09-22,2019-09-29,0,7108105
2019-09-29,2019-10-06,0,5883768
2019-10-06,2019-10-13,100000,8270213
2019-10-13,2019-10-20,0,4710624
2019-10-20,2019-10-27,0,5320432
2019-10-27,2019-11-03,0,6373151
2019-11-03,2019-11-10,100000,5058733
2019-11-10,2019-11-17,0,5434204
2019-11-17,2019-11-24,0,4259213
2019-11-24,2019-12-01,0,6308059
2019-12-01,2019-12-08,0,7884471
2019-12-08,2019-12-15,0,9345821
2019-12-15,2019-12-22,100000,8519502
2019-12-22,2019-12-29,0,10269793
2019-12-29,2020-01-05,100000,9693466
2020-01-05,2020-01-12,100000,10177610
2020-01-12,2020-01-19,0,7634555
2020-01-19,2020-01-26,0,6361342
2020-01-26,2020-02-02,100000,6082304
2020-02-02,2020-02-09,0,5461488
2020-02-09,2020-02-16,0,3829929
2020-02-16,2020-02-23,100000,9623287
2020-02-23,2020-03-01,100000,18451448
2020-03-01,2020-03-08,100000,10522571
2020-03-08,2020-03-15,0,9000244
2020-03-15,2020-03-22,200000,24025206
2020-03-22,2020-03-29,300000,30404084
2020-03-29,2020-04-05,200000,24602564
2020-04-05,2020-04-12,100000,12134028
2020-04-12,2020-04-19,200000,25029068
2020-04-19,2020-04-26,200000,19523922
2020-04-26,2020-05-03,200000,25582928
2020-05-03,2020-05-10,200000,28047173
2020-05-10,2020-05-17,200000,34269712
2020-05-17,2020-05-24,100000,16508731
2020-05-24,2020-05-31,100000,21107744
2020-05-31,2020-06-07,0,12465796
2020-06-07,2020-06-14,0,19905805
2020-06-14,2020-06-21,100000,21331703
2020-06-21,2020-06-28,100000,16055848
2020-06-28,2020-07-05,100000,7091785
2020-07-05,2020-07-12,200000,17735043
2020-07-12,2020-07-19,200000,28866067
2020-07-19,2020-07-26,300000,34332129
2020-07-26,2020-08-02,100000,22770341
2020-08-02,2020-08-09,100000,16777900
2020-08-09,2020-08-16,100000,23649332
2020-08-16,2020-08-23,200000,40445527
2020-08-23,2020-08-30,300000,33912846
2020-08-30,2020-09-06,200000,27925107
2020-09-06,2020-09-13,0,22503242
2020-09-13,2020-09-20,100000,15011685
2020-09-20,2020-09-27,600000,24094670
2020-09-27,2020-10-04,100000,16904585
2020-10-04,2020-10-11,100000,19173847
2020-10-11,2020-10-18,100000,22645914
2020-10-18,2020-10-25,100000,29498200
2020-10-25,2020-11-01,300000,45220562
2020-11-01,2020-11-08,200000,25508691
2020-11-08,2020-11-15,100000,27820189
2020-11-15,2020-11-22,200000,33828898
2020-11-22,2020-11-29,100000,32127729
2020-11-29,2020-12-06,100000,28648551
2020-12-06,2020-12-13,100000,25597435
2020-12-13,2020-12-20,100000,29258209
2020-12-20,2020-12-27,300000,40958745
2020-12-27,2021-01-03,100000,24629774
2021-01-03,2021-01-10,100000,27680146
2021-01-10,2021-01-17,100000,31420063
2021-01-17,2021-01-24,100000,25404706
2021-01-24,2021-01-31,0,10260683
2021-01-31,2021-02-07,100000,22431400
2021-02-07,2021-02-14,100000,22277969
2021-02-14,2021-02-21,0,18435796
2021-02-21,2021-02-28,100000,19120688
2021-02-28,2021-03-07,0,12328045
2021-03-07,2021-03-14,0,14719769
2021-03-14,2021-03-21,0,15294966
2021-03-21,2021-03-28,0,12196808
2021-03-28,2021-04-04,-100000,12455966
2021-04-04,2021-04-11,-100000,6672038
2021-04-11,2021-04-18,0,5706294
2021-04-18,2021-04-25,0,5232595
2021-04-25,2021-05-02,-100000,4379134
2021-05-02,2021-05-09,0,3682946
2021-05-09,2021-05-16,-100000,2894957
2021-05-16,2021-05-23,0,2592293
2021-05-23,2021-05-30,0,3156438
2021-05-30,2021-06-06,-100000,4177488
2021-06-06,2021-06-13,0,3010877
