start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,39508,6885870
2019-06-02,2019-06-09,114073,24343696
2019-06-09,2019-06-16,73435,24789041
2019-06-16,2019-06-23,35526,6872049
2019-06-23,2019-06-30,30851,5128506
2019-06-30,2019-07-07,41848,11015063
2019-07-07,2019-07-14,35383,7378342
2019-07-14,2019-07-21,76995,16178966
2019-07-21,2019-07-28,46796,13002220
2019-07-28,2019-08-04,29486,5361540
2019-08-04,2019-08-11,38824,11986226
2019-08-11,2019-08-18,36393,7992531
2019-08-18,2019-08-25,32436,5174915
2019-08-25,2019-09-01,29867,7596534
2019-09-01,2019-09-08,28163,8111823
2019-09-08,2019-09-15,72173,11288716
2019-09-15,2019-09-22,63016,26524198
2019-09-22,2019-09-29,100000,6683643
2019-09-29,2019-10-06,0,6067486
2019-10-06,2019-10-13,0,8308697
2019-10-13,2019-10-20,100000,8137676
2019-10-20,2019-10-27,0,6097337
2019-10-27,2019-11-03,100000,7100073
2019-11-03,2019-11-10,100000,9241118
2019-11-10,2019-11-17,100000,14754948
2019-11-17,2019-11-24,100000,11636939
2019-11-24,2019-12-01,0,7430295
2019-12-01,2019-12-08,0,4962396
2019-12-08,2019-12-15,0,9223477
2019-12-15,2019-12-22,100000,11337018
2019-12-22,2019-12-29,0,5871156
2019-12-29,2020-01-05,100000,25760202
2020-01-05,2020-01-12,200000,34689778
2020-01-12,2020-01-19,100000,7943771
2020-01-19,2020-01-26,0,4644151
2020-01-26,2020-02-02,0,3708695
2020-02-02,2020-02-09,100000,10164169
2020-02-09,2020-02-16,0,17042803
2020-02-16,2020-02-23,100000,5784657
2020-02-23,2020-03-01,0,7363009
2020-03-01,2020-03-08,0,4435513
2020-03-08,2020-03-15,0,3513224
2020-03-15,2020-03-22,100000,10728617
2020-03-22,2020-03-29,0,14046113
2020-03-29,2020-04-05,0,10678394
2020-04-05,2020-04-12,100000,16362300
2020-04-12,2020-04-19,100000,13509709
2020-04-19,2020-04-26,100000,13601577
2020-04-26,2020-05-03,0,7632083
2020-05-03,2020-05-10,0,5305811
2020-05-10,2020-05-17,100000,10185303
2020-05-17,2020-05-24,0,12339982
2020-05-24,2020-05-31,0,5341611
2020-05-31,2020-06-07,0,3524894
2020-06-07,2020-06-14,0,2723361
2020-07-26,2020-08-02,0,3903300
2020-08-02,2020-08-09,0,4600544
2020-08-09,2020-08-16,0,2595104
2020-08-16,2020-08-23,0,2198870
2020-08-30,2020-09-06,0,8814133
2020-09-06,2020-09-13,0,3827709
2020-09-13,2020-09-20,0,1528014
2020-09-20,2020-09-27,0,2231240
2020-09-27,2020-10-04,0,5984356
2020-10-11,2020-10-18,0,2070363
2020-10-18,2020-10-25,0,1667629
2020-10-25,2020-11-01,0,1337264
2020-11-08,2020-11-15,0,1138692
2020-11-15,2020-11-22,0,1099757
2020-11-29,2020-12-06,0,982667
2020-12-06,2020-12-13,0,1017808
2020-12-13,2020-12-20,0,3341228
2020-12-20,2020-12-27,0,4701996
2020-12-27,2021-01-03,0,1289166
2021-01-03,2021-01-10,0,1086704
2021-01-17,2021-01-24,0,2332668
2021-01-31,2021-02-07,0,6102676
2021-02-07,2021-02-14,0,1858605
2021-02-21,2021-02-28,0,1113719
2021-02-28,2021-03-07,0,2701877
2021-03-07,2021-03-14,0,1498878
2021-03-14,2021-03-21,0,998487
2021-03-28,2021-04-04,0,978407
2021-04-04,2021-04-11,0,1191218
2021-04-11,2021-04-18,0,10553501
2021-04-18,2021-04-25,0,4608480
2021-04-25,2021-05-02,0,3875384
2021-05-02,2021-05-09,0,5051175
2021-05-09,2021-05-16,0,1831921
2021-05-23,2021-05-30,0,1495595
2021-05-30,2021-06-06,0,3163075
2021-06-06,2021-06-13,0,1325227
2021-06-13,2021-06-20,0,947025
2021-06-20,2021-06-27,0,4452137
2021-06-27,2021-07-04,0,2599640
2021-07-04,2021-07-11,0,2213115
2021-07-11,2021-07-18,0,12778976
2021-07-18,2021-07-25,0,880464
2021-07-25,2021-08-01,0,1468751
2021-08-01,2021-08-08,0,942192
2021-08-08,2021-08-15,0,848156
2021-08-15,2021-08-22,0,662026
2021-08-22,2021-08-29,0,941277
2021-08-29,2021-09-05,0,2713773
2021-09-05,2021-09-12,0,1950089
2021-09-12,2021-09-19,0,1273661
2021-09-19,2021-09-26,0,812786
2021-09-26,2021-10-03,0,3461436
2021-10-03,2021-10-10,0,1232091
2021-10-10,2021-10-17,0,836432
2021-10-17,2021-10-24,0,769283
2021-10-31,2021-11-07,0,727406
2021-11-07,2021-11-14,0,47242
2021-11-14,2021-11-21,0,1175388
2021-11-21,2021-11-28,0,751009
2021-11-28,2021-12-05,0,929066
2021-12-05,2021-12-12,0,550291
2021-12-12,2021-12-19,0,471384
2021-12-19,2021-12-26,0,455858
2021-12-26,2022-01-02,0,417582
2022-01-02,2022-01-09,0,1041081
2022-01-09,2022-01-16,0,797701
2022-01-23,2022-01-30,0,1482206
2022-01-30,2022-02-06,0,1689920
2022-02-06,2022-02-13,0,1046840
2022-02-13,2022-02-20,0,742845
2022-02-20,2022-02-27,0,1116997
2022-02-27,2022-03-06,0,1000649
2022-03-06,2022-03-13,0,992528
2022-03-13,2022-03-20,0,1062832
2022-03-20,2022-03-27,0,988448
2022-03-27,2022-04-03,0,482947
2022-04-03,2022-04-10,0,533330
2022-04-10,2022-04-17,0,422126
2022-04-17,2022-04-24,0,404104
2022-04-24,2022-05-01,0,381301
2022-05-01,2022-05-08,0,475832
2022-05-08,2022-05-15,0,719596
2022-05-15,2022-05-22,0,2243765
