start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,913,653133
2019-06-02,2019-06-09,659,1336760
2019-06-09,2019-06-16,2305,1506329
2019-06-16,2019-06-23,2449,1733674
2019-06-23,2019-06-30,3718,961137
2019-06-30,2019-07-07,4248,1703669
2019-07-07,2019-07-14,1340,1541311
2019-07-14,2019-07-21,2487,1285658
2019-07-21,2019-07-28,4644,1293717
2019-07-28,2019-08-04,4273,1553621
2019-08-04,2019-08-11,897,1303870
2019-08-11,2019-08-18,407,1524102
2019-08-18,2019-08-25,1815,1328149
2019-08-25,2019-09-01,3020,1264292
2019-09-01,2019-09-08,2597,1424437
2019-09-08,2019-09-15,349,884547
2019-09-15,2019-09-22,-4340,1025517
2019-09-22,2019-09-29,0,1116283
2019-09-29,2019-10-06,0,1354308
2019-10-06,2019-10-13,0,904666
2019-10-13,2019-10-20,0,1015341
2019-10-20,2019-10-27,0,1005737
2019-10-27,2019-11-03,10000,867126
2019-11-03,2019-11-10,0,1043770
2019-11-10,2019-11-17,0,690224
2019-11-17,2019-11-24,10000,1712530
2019-11-24,2019-12-01,0,1263565
2019-12-01,2019-12-08,-10000,1500809
2019-12-08,2019-12-15,10000,1439585
2019-12-15,2019-12-22,0,1205757
2019-12-22,2019-12-29,10000,863119
2019-12-29,2020-01-05,0,1874504
2020-01-05,2020-01-12,0,738564
2020-01-12,2020-01-19,10000,723632
2020-01-19,2020-01-26,0,673472
2020-01-26,2020-02-02,0,642315
2020-02-02,2020-02-09,0,1179083
2020-02-09,2020-02-16,0,1240244
2020-02-16,2020-02-23,0,925696
2020-02-23,2020-03-01,0,1137002
2020-03-01,2020-03-08,0,1256705
2020-03-08,2020-03-15,0,882359
2020-03-15,2020-03-22,0,1030775
2020-03-22,2020-03-29,0,1161919
2020-03-29,2020-04-05,0,989761
2020-04-05,2020-04-12,0,930095
2020-04-12,2020-04-19,10000,959822
2020-04-19,2020-04-26,-10000,1103200
2020-04-26,2020-05-03,10000,1173860
2020-05-03,2020-05-10,0,636306
2020-05-10,2020-05-17,0,1005311
2020-05-17,2020-05-24,-10000,802987
2020-05-24,2020-05-31,10000,350662
2020-05-31,2020-06-07,-10000,469879
2020-06-07,2020-06-14,0,733053
2020-06-14,2020-06-21,0,495018
2020-06-21,2020-06-28,0,648322
2020-06-28,2020-07-05,0,1062154
2020-07-05,2020-07-12,0,48333
2020-07-12,2020-07-19,0,874421
2020-07-19,2020-07-26,0,631934
2020-07-26,2020-08-02,0,970279
2020-08-02,2020-08-09,0,818316
2020-08-09,2020-08-16,0,390412
2020-08-16,2020-08-23,0,502842
2020-08-23,2020-08-30,0,562012
2020-08-30,2020-09-06,0,770323
2020-09-06,2020-09-13,0,706569
2020-09-13,2020-09-20,0,611705
2020-09-20,2020-09-27,0,298676
2020-09-27,2020-10-04,0,433124
2020-10-04,2020-10-11,-10000,707648
2020-10-11,2020-10-18,0,587695
2020-10-18,2020-10-25,0,650411
2020-10-25,2020-11-01,0,393095
2020-11-01,2020-11-08,0,536478
2020-11-08,2020-11-15,0,498437
2020-11-15,2020-11-22,0,704265
2020-11-22,2020-11-29,0,291970
2020-11-29,2020-12-06,0,563197
2020-12-06,2020-12-13,0,418945
2020-12-13,2020-12-20,0,464830
2020-12-20,2020-12-27,-10000,319099
2020-12-27,2021-01-03,0,541234
2021-01-03,2021-01-10,0,673811
2021-01-10,2021-01-17,0,559580
2021-01-17,2021-01-24,0,304670
2021-01-24,2021-01-31,0,439326
2021-01-31,2021-02-07,0,321513
2021-02-07,2021-02-14,0,529696
2021-02-14,2021-02-21,0,440823
2021-02-21,2021-02-28,0,619433
2021-02-28,2021-03-07,0,394581
2021-03-07,2021-03-14,0,464279
2021-03-14,2021-03-21,0,370980
2021-03-21,2021-03-28,0,192174
2021-03-28,2021-04-04,0,291884
2021-04-04,2021-04-11,0,519387
2021-04-11,2021-04-18,0,511927
2021-04-18,2021-04-25,0,389633
2021-04-25,2021-05-02,0,408107
2021-05-02,2021-05-09,0,376164
2021-05-09,2021-05-16,0,245999
2021-05-16,2021-05-23,0,383102
2021-05-23,2021-05-30,0,293043
2021-05-30,2021-06-06,0,256297
2021-06-06,2021-06-13,0,157852
2021-06-13,2021-06-20,0,199147
2021-06-20,2021-06-27,0,138499
2021-06-27,2021-07-04,0,275526
2021-07-04,2021-07-11,0,492166
2021-07-11,2021-07-18,0,581563
2021-07-18,2021-07-25,0,378059
2021-07-25,2021-08-01,0,185615
2021-08-01,2021-08-08,0,346659
2021-08-08,2021-08-15,0,181999
2021-08-15,2021-08-22,0,456798
2021-08-22,2021-08-29,0,398300
2021-08-29,2021-09-05,0,162644
2021-09-05,2021-09-12,0,387464
2021-09-12,2021-09-19,0,392222
2021-09-19,2021-09-26,0,144504
2021-09-26,2021-10-03,0,464432
2021-10-03,2021-10-10,0,389645
2021-10-10,2021-10-17,0,300014
2021-10-17,2021-10-24,0,223948
2021-10-24,2021-10-31,0,228830
2021-10-31,2021-11-07,0,149156
2021-11-07,2021-11-14,0,384061
2021-11-14,2021-11-21,0,447425
2021-11-21,2021-11-28,0,155814
2021-11-28,2021-12-05,0,211963
2021-12-05,2021-12-12,0,119534
2021-12-12,2021-12-19,0,196242
2021-12-19,2021-12-26,0,115776
2021-12-26,2022-01-02,0,334301
2022-01-02,2022-01-09,0,224859
2022-01-09,2022-01-16,0,340934
2022-01-16,2022-01-23,0,325824
2022-01-23,2022-01-30,0,163843
2022-01-30,2022-02-06,0,308204
2022-02-06,2022-02-13,0,161166
2022-02-13,2022-02-20,0,104431
2022-02-20,2022-02-27,-10000,439083
2022-02-27,2022-03-06,0,324761
2022-03-06,2022-03-13,0,147400
2022-03-13,2022-03-20,0,220831
