start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,4236,1023090
2019-06-02,2019-06-09,10830,2555838
2019-06-09,2019-06-16,10863,2688112
2019-06-16,2019-06-23,14997,3975914
2019-06-23,2019-06-30,14357,3106163
2019-06-30,2019-07-07,11498,1879539
2019-07-07,2019-07-14,8098,1380370
2019-07-14,2019-07-21,36635,6737416
2019-07-21,2019-07-28,50014,6545428
2019-07-28,2019-08-04,17487,3829706
2019-08-04,2019-08-11,13725,1912147
2019-08-11,2019-08-18,19312,5541357
2019-08-18,2019-08-25,8227,2817606
2019-08-25,2019-09-01,16872,4205016
2019-09-01,2019-09-08,9683,2842359
2019-09-08,2019-09-15,1229,1876572
2019-09-15,2019-09-22,-68449,2652312
2019-09-22,2019-09-29,0,3585777
2019-09-29,2019-10-06,0,2094373
2019-10-06,2019-10-13,0,882652
2019-10-13,2019-10-20,0,2033596
2019-10-20,2019-10-27,0,4484978
2019-10-27,2019-11-03,100000,6650316
2019-11-03,2019-11-10,0,2777318
2019-11-10,2019-11-17,0,1807346
2019-11-17,2019-11-24,0,987190
2019-11-24,2019-12-01,0,1702475
2019-12-01,2019-12-08,0,3715291
2019-12-08,2019-12-15,0,2346508
2019-12-15,2019-12-22,0,3365466
2019-12-22,2019-12-29,100000,6876604
2019-12-29,2020-01-05,0,4965964
2020-01-05,2020-01-12,0,1526300
2020-01-12,2020-01-19,400000,42391467
2020-01-19,2020-01-26,0,5942551
2020-01-26,2020-02-02,100000,8792727
2020-02-02,2020-02-09,0,2296571
2020-02-09,2020-02-16,0,3368997
2020-02-16,2020-02-23,0,6537568
2020-02-23,2020-03-01,100000,5140284
2020-03-01,2020-03-08,0,2357418
2020-03-08,2020-03-15,0,1719276
2020-03-15,2020-03-22,0,4904494
2020-03-22,2020-03-29,0,3930229
2020-03-29,2020-04-05,0,2582594
2020-04-05,2020-04-12,0,5797723
2020-04-12,2020-04-19,0,2212111
2020-04-19,2020-04-26,0,2127103
2020-04-26,2020-05-03,0,1741658
2020-05-03,2020-05-10,100000,2559527
2020-05-10,2020-05-17,0,2638799
2020-05-17,2020-05-24,0,5791809
2020-05-24,2020-05-31,0,1575048
2020-05-31,2020-06-07,0,897888
2020-06-07,2020-06-14,0,2392957
2020-06-14,2020-06-21,0,3944612
2020-06-21,2020-06-28,0,2781913
2020-06-28,2020-07-05,0,2310293
2020-07-05,2020-07-12,0,1707374
2020-07-12,2020-07-19,100000,1427619
2020-07-19,2020-07-26,0,2456937
2020-07-26,2020-08-02,0,2371826
2020-08-02,2020-08-09,0,2428113
2020-08-09,2020-08-16,0,1977730
2020-08-16,2020-08-23,0,1857159
2020-08-23,2020-08-30,0,3911292
2020-08-30,2020-09-06,0,2478957
2020-09-06,2020-09-13,100000,7082319
2020-09-13,2020-09-20,0,4987126
2020-09-20,2020-09-27,0,2602183
2020-09-27,2020-10-04,0,1372202
2020-10-04,2020-10-11,0,1659567
2020-10-11,2020-10-18,0,1751527
2020-10-18,2020-10-25,0,1931087
2020-10-25,2020-11-01,0,1252419
2020-11-01,2020-11-08,100000,3165971
2020-11-08,2020-11-15,0,3213960
2020-11-15,2020-11-22,0,1460132
2020-11-22,2020-11-29,0,1788348
2020-11-29,2020-12-06,0,4262783
2020-12-06,2020-12-13,0,2664642
2020-12-13,2020-12-20,0,1090188
2020-12-20,2020-12-27,0,4964515
2020-12-27,2021-01-03,0,4122734
2021-01-03,2021-01-10,0,4559338
2021-01-10,2021-01-17,100000,4656380
2021-01-17,2021-01-24,0,4445454
2021-01-24,2021-01-31,0,1091425
2021-01-31,2021-02-07,0,1353176
2021-02-07,2021-02-14,0,2448340
2021-02-14,2021-02-21,0,1755006
2021-02-21,2021-02-28,0,2146631
2021-02-28,2021-03-07,0,1220521
2021-03-07,2021-03-14,0,916512
2021-03-14,2021-03-21,0,862084
2021-03-21,2021-03-28,0,2909831
2021-03-28,2021-04-04,0,2496042
2021-04-04,2021-04-11,0,1272930
2021-04-11,2021-04-18,0,1396720
2021-04-18,2021-04-25,0,688303
2021-04-25,2021-05-02,0,935695
2021-05-02,2021-05-09,0,600795
2021-05-09,2021-05-16,0,519121
2021-05-16,2021-05-23,0,1022101
2021-05-23,2021-05-30,0,825322
2021-05-30,2021-06-06,0,1794527
2021-06-06,2021-06-13,0,915167
2021-06-13,2021-06-20,0,656726
2021-06-20,2021-06-27,0,3292338
2021-06-27,2021-07-04,0,1451517
2021-07-04,2021-07-11,0,667343
2021-07-11,2021-07-18,0,688577
2021-07-18,2021-07-25,0,1026463
2021-07-25,2021-08-01,0,2132248
2021-08-01,2021-08-08,0,2157710
2021-08-08,2021-08-15,0,2635596
2021-08-15,2021-08-22,0,858671
2021-08-22,2021-08-29,0,974161
2021-08-29,2021-09-05,0,598168
2021-09-05,2021-09-12,0,1422098
2021-09-12,2021-09-19,0,1577709
2021-09-19,2021-09-26,0,1737530
2021-09-26,2021-10-03,0,787476
2021-10-03,2021-10-10,0,491411
2021-10-10,2021-10-17,0,445565
2021-10-17,2021-10-24,0,1556190
2021-10-24,2021-10-31,0,1269773
2021-10-31,2021-11-07,0,-1179979
2021-11-07,2021-11-14,0,638486
2021-11-14,2021-11-21,0,1633208
2021-11-21,2021-11-28,0,2670282
2021-11-28,2021-12-05,0,5173667
2021-12-05,2021-12-12,100000,6133368
2021-12-12,2021-12-19,0,3092619
2021-12-19,2021-12-26,0,1087665
2021-12-26,2022-01-02,0,2355935
2022-01-02,2022-01-09,0,908530
2022-01-09,2022-01-16,0,873912
2022-01-16,2022-01-23,0,1054520
2022-01-23,2022-01-30,0,745642
2022-01-30,2022-02-06,0,1122659
2022-02-06,2022-02-13,0,1293127
2022-02-13,2022-02-20,0,870490
2022-02-20,2022-02-27,0,1156216
2022-02-27,2022-03-06,0,1239184
2022-03-06,2022-03-13,0,880556
2022-03-13,2022-03-20,0,1171448
2022-03-20,2022-03-27,0,1795197
2022-03-27,2022-04-03,0,1322227
2022-04-03,2022-04-10,0,755181
2022-04-10,2022-04-17,0,1428229
2022-04-17,2022-04-24,0,1175304
2022-04-24,2022-05-01,0,841246
2022-05-01,2022-05-08,0,815392
2022-05-08,2022-05-15,0,572847
2022-05-15,2022-05-22,0,537575
