start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,11257,1415045
2019-06-02,2019-06-09,9703,2034570
2019-06-09,2019-06-16,4768,970224
2019-06-16,2019-06-23,1968,551286
2019-06-23,2019-06-30,14289,1723483
2019-06-30,2019-07-07,6969,865267
2019-07-07,2019-07-14,4953,855384
2019-08-11,2019-08-18,927,641466
2019-08-18,2019-08-25,580,399050
2019-09-22,2019-09-29,0,433531
2019-09-29,2019-10-06,0,346420
2019-10-06,2019-10-13,0,526885
2019-10-13,2019-10-20,0,472888
2019-10-20,2019-10-27,0,469104
2019-10-27,2019-11-03,0,329663
2019-11-03,2019-11-10,10000,494372
2019-11-10,2019-11-17,0,455472
2019-11-17,2019-11-24,0,299302
2019-11-24,2019-12-01,0,263971
2019-12-08,2019-12-15,0,350938
2019-12-15,2019-12-22,0,558994
2019-12-22,2019-12-29,0,547692
2019-12-29,2020-01-05,0,1021709
2020-01-05,2020-01-12,0,1276922
2020-01-12,2020-01-19,0,1032327
2020-01-19,2020-01-26,0,1410665
2020-01-26,2020-02-02,0,618564
2020-02-02,2020-02-09,0,450598
2020-02-09,2020-02-16,0,526826
2020-02-16,2020-02-23,0,360568
2020-03-01,2020-03-08,0,461111
2020-03-08,2020-03-15,0,455596
2020-03-15,2020-03-22,0,217942
2020-03-22,2020-03-29,10000,202092
2020-03-29,2020-04-05,0,583631
2020-04-05,2020-04-12,0,636132
2020-04-12,2020-04-19,0,297366
2020-04-19,2020-04-26,0,411463
2020-04-26,2020-05-03,0,224905
2020-05-10,2020-05-17,10000,196370
2020-05-17,2020-05-24,0,170555
2020-05-24,2020-05-31,0,373320
2020-05-31,2020-06-07,0,328616
2020-06-07,2020-06-14,0,869515
2020-06-14,2020-06-21,0,621746
2020-06-21,2020-06-28,0,583361
2020-07-05,2020-07-12,0,362605
2020-07-12,2020-07-19,0,236290
2020-07-19,2020-07-26,0,303743
2020-07-26,2020-08-02,0,431777
2020-08-02,2020-08-09,0,409849
2020-08-09,2020-08-16,0,358043
2020-08-16,2020-08-23,0,229985
2020-08-23,2020-08-30,0,200747
2020-09-06,2020-09-13,0,201709
2020-09-13,2020-09-20,0,132114
2020-09-27,2020-10-04,0,106347
2020-10-04,2020-10-11,0,165619
2020-10-18,2020-10-25,0,230574
2020-10-25,2020-11-01,0,570574
2020-11-01,2020-11-08,0,511989
2020-11-08,2020-11-15,0,318817
2020-11-15,2020-11-22,0,271597
2020-11-22,2020-11-29,0,319766
2020-11-29,2020-12-06,0,221451
2020-12-06,2020-12-13,0,278251
2020-12-13,2020-12-20,0,196345
2020-12-27,2021-01-03,0,478028
2021-01-03,2021-01-10,10000,260722
2021-01-10,2021-01-17,10000,137412
2021-01-17,2021-01-24,0,218095
2021-01-24,2021-01-31,0,147719
2021-01-31,2021-02-07,0,128158
2021-02-14,2021-02-21,0,230623
2021-02-21,2021-02-28,0,341906
2021-02-28,2021-03-07,0,195730
2021-03-07,2021-03-14,0,247626
2021-03-14,2021-03-21,0,179311
2021-03-21,2021-03-28,0,157776
2021-04-04,2021-04-11,0,235985
2021-04-11,2021-04-18,0,281897
2021-04-18,2021-04-25,0,232549
2021-05-02,2021-05-09,0,135605
2021-05-09,2021-05-16,0,211500
2021-05-16,2021-05-23,0,555672
2021-05-23,2021-05-30,0,856434
2021-05-30,2021-06-06,0,322669
2021-06-13,2021-06-20,0,232502
2021-06-20,2021-06-27,0,127340
2021-07-04,2021-07-11,0,121076
2021-07-11,2021-07-18,0,116890
2021-07-18,2021-07-25,0,136090
2021-07-25,2021-08-01,0,151729
2021-08-01,2021-08-08,0,106535
2021-08-08,2021-08-15,0,82937
2021-08-15,2021-08-22,0,192577
2021-08-29,2021-09-05,0,215243
2021-09-05,2021-09-12,0,98871
2021-09-12,2021-09-19,0,70434
2021-09-19,2021-09-26,0,277127
2021-09-26,2021-10-03,0,301434
2021-10-10,2021-10-17,0,129153
2021-10-17,2021-10-24,0,101872
2021-10-24,2021-10-31,0,520790
2021-11-07,2021-11-14,0,184876
2021-11-14,2021-11-21,0,143159
2021-11-21,2021-11-28,0,181361
2021-11-28,2021-12-05,0,153673
2021-12-12,2021-12-19,0,167832
2021-12-19,2021-12-26,0,339270
2021-12-26,2022-01-02,0,638718
2022-01-02,2022-01-09,0,588474
2022-01-09,2022-01-16,0,258688
2022-01-23,2022-01-30,0,143483
2022-01-30,2022-02-06,10000,103295
2022-02-06,2022-02-13,0,64132
2022-02-13,2022-02-20,0,63200
2022-02-20,2022-02-27,0,88370
2022-02-27,2022-03-06,0,121993
2022-03-06,2022-03-13,0,95627
2022-03-13,2022-03-20,0,102835
2022-03-20,2022-03-27,0,61301
2022-03-27,2022-04-03,0,242671
2022-04-03,2022-04-10,0,313021
2022-04-10,2022-04-17,0,181831
2022-04-24,2022-05-01,0,120930
2022-05-01,2022-05-08,0,89384
2022-05-08,2022-05-15,0,226599
2022-05-15,2022-05-22,0,194737
