start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,8634,2082453
2019-06-02,2019-06-09,16733,3879267
2019-06-09,2019-06-16,19860,4973514
2019-06-16,2019-06-23,18263,4722561
2019-06-23,2019-06-30,35566,6780917
2019-06-30,2019-07-07,36355,9293220
2019-07-07,2019-07-14,61665,9666525
2019-07-14,2019-07-21,33008,7972137
2019-07-21,2019-07-28,37202,9184611
2019-07-28,2019-08-04,39096,7310563
2019-08-04,2019-08-11,44944,8735015
2019-08-11,2019-08-18,33695,6796159
2019-08-18,2019-08-25,20847,4917948
2019-08-25,2019-09-01,34535,6373696
2019-09-01,2019-09-08,21256,4709799
2019-09-08,2019-09-15,25121,5412570
2019-09-22,2019-09-29,0,4997506
2019-09-29,2019-10-06,0,3785532
2019-10-06,2019-10-13,100000,5653764
2019-10-13,2019-10-20,0,8132140
2019-10-20,2019-10-27,0,5349671
2019-10-27,2019-11-03,100000,6597742
2019-11-03,2019-11-10,0,7498201
2019-11-10,2019-11-17,0,6989902
2019-11-17,2019-11-24,0,8413435
2019-11-24,2019-12-01,0,6830048
2019-12-01,2019-12-08,0,5796467
2019-12-08,2019-12-15,100000,5709847
2019-12-15,2019-12-22,0,8954010
2019-12-22,2019-12-29,100000,12392442
2019-12-29,2020-01-05,0,5220466
2020-01-05,2020-01-12,0,5236958
2020-01-12,2020-01-19,0,4790551
2020-01-19,2020-01-26,100000,4185667
2020-01-26,2020-02-02,0,8742628
2020-02-02,2020-02-09,0,6227415
2020-02-09,2020-02-16,100000,7431507
2020-02-16,2020-02-23,0,8136584
2020-02-23,2020-03-01,0,8567381
2020-03-01,2020-03-08,100000,8497644
2020-03-08,2020-03-15,0,4563641
2020-03-15,2020-03-22,0,6295382
2020-03-22,2020-03-29,0,6028440
2020-03-29,2020-04-05,100000,5345693
2020-04-05,2020-04-12,0,6200175
2020-04-12,2020-04-19,0,6141059
2020-04-19,2020-04-26,100000,5870136
2020-04-26,2020-05-03,0,7369500
2020-05-03,2020-05-10,0,6393710
2020-05-10,2020-05-17,100000,6095736
2020-05-17,2020-05-24,0,6583564
2020-05-24,2020-05-31,0,5954066
2020-05-31,2020-06-07,0,6943831
2020-06-07,2020-06-14,100000,4540555
2020-06-14,2020-06-21,0,7276316
2020-06-21,2020-06-28,100000,6186160
2020-06-28,2020-07-05,0,6138156
2020-07-05,2020-07-12,0,4380326
2020-07-12,2020-07-19,100000,7899900
2020-07-19,2020-07-26,0,5170288
2020-07-26,2020-08-02,0,5001984
2020-08-02,2020-08-09,0,4666770
2020-08-09,2020-08-16,0,5613890
2020-08-16,2020-08-23,0,4144361
2020-08-23,2020-08-30,100000,3730570
2020-08-30,2020-09-06,0,3272653
2020-09-06,2020-09-13,0,2879666
2020-09-13,2020-09-20,0,2603496
2020-09-20,2020-09-27,0,2370739
2020-09-27,2020-10-04,0,2111388
2020-10-04,2020-10-11,0,2135172
2020-10-11,2020-10-18,0,2437618
2020-10-18,2020-10-25,0,2928180
2020-10-25,2020-11-01,0,3784955
2020-11-01,2020-11-08,0,3520623
2020-11-08,2020-11-15,0,2837543
2020-11-15,2020-11-22,100000,4869245
2020-11-22,2020-11-29,0,5015216
2020-11-29,2020-12-06,0,2030005
2020-12-06,2020-12-13,0,2057285
2020-12-13,2020-12-20,0,2222702
2020-12-20,2020-12-27,0,3447253
2020-12-27,2021-01-03,0,2469139
2021-01-03,2021-01-10,0,1795449
2021-01-10,2021-01-17,0,1980098
2021-01-17,2021-01-24,0,2025728
2021-01-24,2021-01-31,0,3125061
2021-01-31,2021-02-07,0,3069113
2021-02-07,2021-02-14,0,4177663
2021-02-14,2021-02-21,0,2509727
2021-02-21,2021-02-28,0,1931285
2021-02-28,2021-03-07,0,1764145
2021-03-07,2021-03-14,0,1698377
2021-03-14,2021-03-21,0,1603349
2021-03-21,2021-03-28,100000,3526091
2021-03-28,2021-04-04,0,7507774
2021-04-04,2021-04-11,0,3302573
2021-04-11,2021-04-18,0,2165683
2021-04-18,2021-04-25,0,1888832
2021-04-25,2021-05-02,0,1931228
2021-05-02,2021-05-09,0,2883459
2021-05-09,2021-05-16,0,4846884
2021-05-16,2021-05-23,0,1844375
2021-05-23,2021-05-30,0,1582835
2021-05-30,2021-06-06,0,1389211
2021-06-06,2021-06-13,0,1238145
2021-06-13,2021-06-20,0,1184252
2021-06-20,2021-06-27,0,1351006
2021-06-27,2021-07-04,0,3333082
2021-07-04,2021-07-11,100000,1809872
2021-07-11,2021-07-18,0,3600588
2021-07-18,2021-07-25,0,2279212
2021-07-25,2021-08-01,0,1883262
2021-08-01,2021-08-08,0,1851670
2021-08-08,2021-08-15,0,1650067
2021-08-15,2021-08-22,0,1781533
2021-08-22,2021-08-29,0,2182837
2021-08-29,2021-09-05,0,4132957
2021-09-05,2021-09-12,0,2158901
2021-09-12,2021-09-19,0,1702670
2021-09-19,2021-09-26,0,2386296
2021-09-26,2021-10-03,0,3958985
2021-10-03,2021-10-10,0,2988261
2021-10-10,2021-10-17,0,3079702
2021-10-17,2021-10-24,0,1461309
2021-10-24,2021-10-31,0,1312196
2021-10-31,2021-11-07,0,1224878
2021-11-07,2021-11-14,0,1132874
2021-11-14,2021-11-21,0,1231986
2021-11-21,2021-11-28,0,1203138
2021-11-28,2021-12-05,0,1374479
2021-12-05,2021-12-12,0,1080475
2021-12-12,2021-12-19,0,1212138
2021-12-19,2021-12-26,0,1440547
2021-12-26,2022-01-02,0,1493383
2022-01-02,2022-01-09,0,1118471
2022-01-09,2022-01-16,0,1624647
2022-01-16,2022-01-23,0,1645117
2022-01-23,2022-01-30,0,1605608
2022-01-30,2022-02-06,0,2201001
2022-02-06,2022-02-13,0,1898811
2022-02-13,2022-02-20,0,2076024
2022-02-20,2022-02-27,0,2110503
2022-02-27,2022-03-06,0,1569646
2022-03-06,2022-03-13,0,1584870
2022-03-13,2022-03-20,0,1392915
2022-03-20,2022-03-27,0,1068234
2022-03-27,2022-04-03,0,1525908
2022-04-03,2022-04-10,0,1081685
2022-04-10,2022-04-17,0,2037974
2022-04-17,2022-04-24,0,1311611
2022-04-24,2022-05-01,0,1024052
2022-05-01,2022-05-08,0,1068807
2022-05-08,2022-05-15,0,3280185
2022-05-15,2022-05-22,0,1902965
