start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,3642,2410273
2019-06-02,2019-06-09,1445,4785518
2019-06-09,2019-06-16,10283,5991574
2019-06-16,2019-06-23,17341,7178707
2019-06-23,2019-06-30,7167,6364881
2019-06-30,2019-07-07,6471,4541881
2019-07-07,2019-07-14,5137,4232454
2019-07-14,2019-07-21,4694,5778933
2019-07-21,2019-07-28,16483,7380307
2019-07-28,2019-08-04,5527,5397460
2019-08-04,2019-08-11,186,5090867
2019-08-11,2019-08-18,19533,8781610
2019-08-18,2019-08-25,51700,12083732
2019-08-25,2019-09-01,14982,6242811
2019-09-01,2019-09-08,14201,5926499
2019-09-08,2019-09-15,9638,4774549
2019-09-22,2019-09-29,0,6275872
2019-09-29,2019-10-06,0,4949512
2019-10-06,2019-10-13,0,4100720
2019-10-13,2019-10-20,0,4449741
2019-10-20,2019-10-27,0,4527275
2019-10-27,2019-11-03,0,3726693
2019-11-03,2019-11-10,0,3812433
2019-11-10,2019-11-17,0,3638441
2019-11-17,2019-11-24,0,3396202
2019-11-24,2019-12-01,0,3197958
2019-12-08,2019-12-15,0,3871983
2019-12-15,2019-12-22,100000,6632930
2019-12-22,2019-12-29,0,5935828
2019-12-29,2020-01-05,0,5834801
2020-01-05,2020-01-12,0,4548172
2020-01-12,2020-01-19,0,4719008
2020-01-19,2020-01-26,0,3076804
2020-01-26,2020-02-02,0,3246894
2020-02-02,2020-02-09,0,2583908
2020-02-09,2020-02-16,0,3602569
2020-02-16,2020-02-23,0,4503428
2020-02-23,2020-03-01,0,5679926
2020-03-01,2020-03-08,0,3358647
2020-03-08,2020-03-15,0,4189630
2020-03-15,2020-03-22,0,4342689
2020-03-22,2020-03-29,0,7026789
2020-03-29,2020-04-05,0,10839829
2020-04-05,2020-04-12,0,4155329
2020-04-12,2020-04-19,0,3294202
2020-04-19,2020-04-26,100000,4219926
2020-04-26,2020-05-03,0,6896903
2020-05-03,2020-05-10,0,4961125
2020-05-10,2020-05-17,0,5707020
2020-05-17,2020-05-24,0,6786205
2020-05-24,2020-05-31,0,6591378
2020-05-31,2020-06-07,0,4773281
2020-06-07,2020-06-14,0,3296284
2020-06-14,2020-06-21,0,2919378
2020-06-21,2020-06-28,0,3219006
2020-06-28,2020-07-05,0,4110178
2020-07-05,2020-07-12,0,4800530
2020-07-12,2020-07-19,0,4119845
2020-07-19,2020-07-26,0,6996387
2020-07-26,2020-08-02,100000,9025248
2020-08-02,2020-08-09,0,5972920
2020-08-09,2020-08-16,0,7073583
2020-08-16,2020-08-23,0,4661847
2020-08-23,2020-08-30,0,4627887
2020-08-30,2020-09-06,0,4486379
2020-09-06,2020-09-13,0,4949755
2020-09-13,2020-09-20,0,3321046
2020-09-20,2020-09-27,0,4314791
2020-09-27,2020-10-04,0,3814404
2020-10-04,2020-10-11,0,3632123
2020-10-11,2020-10-18,0,4642202
2020-10-18,2020-10-25,0,4945829
2020-10-25,2020-11-01,0,4336019
2020-11-01,2020-11-08,0,3009811
2020-11-08,2020-11-15,0,2470281
2020-11-15,2020-11-22,0,2672151
2020-11-22,2020-11-29,0,4222216
2020-11-29,2020-12-06,0,2978647
2020-12-06,2020-12-13,0,2135798
2020-12-13,2020-12-20,0,1849343
2020-12-20,2020-12-27,0,1851484
2020-12-27,2021-01-03,0,1715852
2021-01-03,2021-01-10,0,1328602
2021-01-10,2021-01-17,0,1361192
2021-01-17,2021-01-24,0,1573510
2021-01-24,2021-01-31,0,2003402
2021-01-31,2021-02-07,0,2307737
2021-02-07,2021-02-14,0,2139953
2021-02-14,2021-02-21,0,2003343
2021-02-21,2021-02-28,0,2034907
2021-02-28,2021-03-07,0,2190209
2021-03-07,2021-03-14,0,2488898
2021-03-14,2021-03-21,0,3766651
2021-03-21,2021-03-28,0,4919064
2021-03-28,2021-04-04,0,3329209
2021-04-04,2021-04-11,0,1835521
2021-04-11,2021-04-18,0,1728979
2021-04-18,2021-04-25,0,1409284
2021-04-25,2021-05-02,0,1961398
2021-05-02,2021-05-09,0,1563684
2021-05-09,2021-05-16,0,1416179
2021-05-16,2021-05-23,0,1185259
2021-05-23,2021-05-30,0,1445381
2021-05-30,2021-06-06,0,1490197
2021-06-06,2021-06-13,0,2162522
2021-06-13,2021-06-20,0,1256013
2021-06-20,2021-06-27,0,828165
2021-06-27,2021-07-04,0,961158
2021-07-04,2021-07-11,0,924896
2021-07-11,2021-07-18,0,863415
2021-07-18,2021-07-25,0,1111167
2021-07-25,2021-08-01,0,1230104
2021-08-01,2021-08-08,0,1260488
2021-08-08,2021-08-15,0,977692
2021-08-15,2021-08-22,0,1385407
2021-08-22,2021-08-29,0,1724537
2021-08-29,2021-09-05,0,1288014
2021-09-12,2021-09-19,0,1082304
2021-09-19,2021-09-26,0,925402
2021-09-26,2021-10-03,0,915903
2021-10-03,2021-10-10,0,823929
2021-10-10,2021-10-17,0,947407
2021-10-17,2021-10-24,0,876857
2021-10-24,2021-10-31,0,1295341
2021-10-31,2021-11-07,0,953999
2021-11-07,2021-11-14,0,721529
2021-11-14,2021-11-21,0,572014
2021-11-21,2021-11-28,0,531230
2021-11-28,2021-12-05,0,583555
2021-12-05,2021-12-12,0,790241
2021-12-12,2021-12-19,0,1055201
2021-12-19,2021-12-26,0,949224
2021-12-26,2022-01-02,0,1092270
2022-01-02,2022-01-09,0,1836606
2022-01-09,2022-01-16,0,1503791
2022-01-16,2022-01-23,0,987222
2022-01-23,2022-01-30,0,973580
2022-01-30,2022-02-06,0,713348
2022-02-06,2022-02-13,0,1135183
2022-02-13,2022-02-20,0,635655
2022-02-20,2022-02-27,0,618938
2022-02-27,2022-03-06,0,604906
2022-03-06,2022-03-13,0,549375
2022-03-13,2022-03-20,0,606679
2022-03-20,2022-03-27,0,530958
2022-03-27,2022-04-03,0,602205
2022-04-03,2022-04-10,0,329647
2022-04-10,2022-04-17,0,655036
2022-04-17,2022-04-24,0,916928
2022-04-24,2022-05-01,0,1310998
2022-05-01,2022-05-08,0,1153926
2022-05-08,2022-05-15,0,692301
2022-05-15,2022-05-22,0,740435
