start_date,end_date,weekly_subscribers,weekly_views
2019-10-06,2019-10-13,0,3410699
2019-10-13,2019-10-20,0,6367518
2019-10-20,2019-10-27,0,6314531
2019-10-27,2019-11-03,0,6665449
2019-11-03,2019-11-10,0,5071053
2019-11-17,2019-11-24,0,4725268
2019-11-24,2019-12-01,0,4797975
2019-12-08,2019-12-15,0,3410896
2019-12-15,2019-12-22,0,3212340
2019-12-22,2019-12-29,0,4287375
2019-12-29,2020-01-05,0,4485807
2020-01-12,2020-01-19,0,6270277
2020-01-19,2020-01-26,0,4957320
2020-01-26,2020-02-02,0,4839927
2020-02-02,2020-02-09,0,4590958
2020-02-09,2020-02-16,0,3466856
2020-02-16,2020-02-23,0,3105704
2020-03-01,2020-03-08,0,3793532
2020-03-15,2020-03-22,0,3845398
2020-03-22,2020-03-29,0,3655788
2020-05-24,2020-05-31,0,5691970
2020-05-31,2020-06-07,0,5574823
2020-10-04,2020-10-11,0,2224238
2020-11-08,2020-11-15,0,2745460
2020-11-15,2020-11-22,0,2794313
2021-02-07,2021-02-14,0,3057692
2021-02-14,2021-02-21,0,2770728
2021-02-21,2021-02-28,0,3608958
2021-02-28,2021-03-07,0,2139727
2021-04-11,2021-04-18,0,2687706
2021-05-02,2021-05-09,0,2518177
2021-05-09,2021-05-16,0,3229859
2021-05-23,2021-05-30,0,4074200
2021-05-30,2021-06-06,0,2616518
2021-06-13,2021-06-20,10000,3120734
2021-06-20,2021-06-27,0,2526028
2021-07-25,2021-08-01,0,3277847
2021-08-01,2021-08-08,0,2431724
2021-09-05,2021-09-12,0,2376601
2021-09-26,2021-10-03,0,2016529
2021-10-10,2021-10-17,0,2053839
2021-10-24,2021-10-31,0,1958805
2021-11-14,2021-11-21,0,1692844
2021-11-21,2021-11-28,0,1679415
2021-11-28,2021-12-05,0,1850150
2021-12-05,2021-12-12,0,2438970
2021-12-19,2021-12-26,0,1879751
2022-01-02,2022-01-09,0,1826553
2022-01-16,2022-01-23,0,1823722
2022-01-30,2022-02-06,0,1400629
2022-02-20,2022-02-27,0,846939
2022-03-06,2022-03-13,0,711833
2022-03-13,2022-03-20,0,614267
2022-03-20,2022-03-27,0,538098
2022-03-27,2022-04-03,0,544010
2022-04-10,2022-04-17,0,520898
2022-04-17,2022-04-24,0,505216
2022-04-24,2022-05-01,0,10394231
2022-05-01,2022-05-08,0,760627
2022-05-15,2022-05-22,0,581591
