start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,232,209333
2019-06-02,2019-06-09,61,391145
2019-06-09,2019-06-16,1181,425571
2019-06-16,2019-06-23,18,428579
2019-06-23,2019-06-30,3350,503040
2019-06-30,2019-07-07,4133,621667
2019-07-07,2019-07-14,2351,523929
2019-07-14,2019-07-21,4105,642656
2019-07-21,2019-07-28,7220,779846
2019-07-28,2019-08-04,10862,958171
2019-08-04,2019-08-11,6169,697871
2019-08-11,2019-08-18,5839,601960
2019-08-18,2019-08-25,13253,796984
2019-08-25,2019-09-01,5837,607009
2019-09-01,2019-09-08,1042,379071
2019-09-08,2019-09-15,3239,627663
2019-09-15,2019-09-22,3107,729544
2019-09-22,2019-09-29,0,608925
2019-09-29,2019-10-06,0,493680
2019-10-06,2019-10-13,0,451668
2019-10-13,2019-10-20,0,397453
2019-10-20,2019-10-27,0,364961
2019-10-27,2019-11-03,30000,1585317
2019-11-03,2019-11-10,20000,1473134
2019-11-10,2019-11-17,10000,714279
2019-11-17,2019-11-24,0,437985
2019-11-24,2019-12-01,0,378123
2019-12-01,2019-12-08,0,555187
2019-12-08,2019-12-15,0,760581
2019-12-15,2019-12-22,10000,550736
2019-12-22,2019-12-29,0,494713
2019-12-29,2020-01-05,0,491432
2020-01-05,2020-01-12,0,671111
2020-01-12,2020-01-19,10000,690792
2020-01-19,2020-01-26,0,527529
2020-01-26,2020-02-02,0,492156
2020-02-02,2020-02-09,10000,633460
2020-02-09,2020-02-16,0,680823
2020-02-16,2020-02-23,0,606816
2020-02-23,2020-03-01,10000,455719
2020-03-01,2020-03-08,0,630914
2020-03-08,2020-03-15,0,410201
2020-03-15,2020-03-22,0,339058
2020-03-22,2020-03-29,0,378187
2020-03-29,2020-04-05,0,368115
2020-04-05,2020-04-12,0,325022
2020-04-12,2020-04-19,0,374097
2020-04-19,2020-04-26,0,397561
2020-04-26,2020-05-03,0,465730
2020-05-03,2020-05-10,0,446970
2020-05-10,2020-05-17,0,457234
2020-05-17,2020-05-24,0,350617
2020-05-24,2020-05-31,0,380478
2020-05-31,2020-06-07,0,361820
2020-06-07,2020-06-14,0,384096
2020-06-14,2020-06-21,0,325636
2020-06-21,2020-06-28,0,276943
2020-06-28,2020-07-05,10000,668497
2020-07-05,2020-07-12,0,414774
2020-07-12,2020-07-19,0,351594
2020-07-19,2020-07-26,0,327555
