start_date,end_date,weekly_subscribers,weekly_views
2019-05-28,2019-06-04,-552,215418
2019-06-02,2019-06-09,-1227,276672
2019-06-09,2019-06-16,-1254,282033
2019-06-16,2019-06-23,-868,281914
2019-06-23,2019-06-30,-2445,794867
2019-06-30,2019-07-07,-313,362704
2019-07-07,2019-07-14,-605,338446
2019-07-14,2019-07-21,-331,359349
2019-07-21,2019-07-28,-612,362806
2019-07-28,2019-08-04,-1079,398854
2019-08-04,2019-08-11,-704,454207
2019-08-11,2019-08-18,-749,1681764
2019-08-18,2019-08-25,20,1765531
2019-08-25,2019-09-01,461,1489671
2019-09-01,2019-09-08,1901,1817409
2019-09-08,2019-09-15,1276,853864
2019-09-15,2019-09-22,0,1205151
2019-09-22,2019-09-29,0,812160
2019-09-29,2019-10-06,0,1816484
2019-10-06,2019-10-13,0,1021805
2019-10-13,2019-10-20,0,586207
2019-10-20,2019-10-27,0,552555
2019-10-27,2019-11-03,0,1306051
2019-11-03,2019-11-10,0,1070581
2019-11-10,2019-11-17,0,593431
2019-11-17,2019-11-24,0,754697
2019-11-24,2019-12-01,0,610446
2019-12-01,2019-12-08,-20000,2428056
2019-12-08,2019-12-15,0,2736670
2019-12-15,2019-12-22,0,2500407
2019-12-22,2019-12-29,-10000,1465389
2019-12-29,2020-01-05,0,447089
2020-01-05,2020-01-12,0,354036
2020-01-12,2020-01-19,0,270540
2020-01-19,2020-01-26,0,243922
2020-01-26,2020-02-02,0,241707
2020-02-02,2020-02-09,-10000,1131964
2020-02-09,2020-02-16,0,812655
2020-02-16,2020-02-23,0,485982
2020-02-23,2020-03-01,0,1427557
2020-03-01,2020-03-08,0,987444
2020-03-08,2020-03-15,0,952941
2020-03-15,2020-03-22,0,517125
2020-03-22,2020-03-29,0,480024
2020-03-29,2020-04-05,0,548588
2020-04-05,2020-04-12,0,2215521
2020-04-12,2020-04-19,0,925754
2020-04-19,2020-04-26,0,973599
2020-04-26,2020-05-03,0,1731129
2020-05-03,2020-05-10,0,846554
2020-05-10,2020-05-17,0,775381
2020-05-17,2020-05-24,0,556423
2020-05-24,2020-05-31,0,438472
2020-05-31,2020-06-07,0,418427
2020-06-07,2020-06-14,0,440036
2020-06-14,2020-06-21,0,417579
2020-06-21,2020-06-28,0,369600
2020-06-28,2020-07-05,0,1648800
2020-07-05,2020-07-12,0,1020507
2020-07-12,2020-07-19,0,1236275
2020-07-19,2020-07-26,0,740471
2020-07-26,2020-08-02,0,575320
2020-08-02,2020-08-09,0,1526848
2020-08-09,2020-08-16,-10000,1215135
2020-08-16,2020-08-23,0,913263
2020-08-23,2020-08-30,0,1050891
2020-08-30,2020-09-06,0,1312926
2020-09-06,2020-09-13,0,926878
2020-09-13,2020-09-20,0,1226897
2020-09-20,2020-09-27,0,691642
2020-09-27,2020-10-04,0,753832
2020-10-04,2020-10-11,0,909460
2020-10-11,2020-10-18,0,821422
