start_date,end_date,weekly_subscribers,weekly_views
2019-05-28,2019-06-04,5754,843131
2019-06-02,2019-06-09,8771,1935007
2019-06-09,2019-06-16,6966,1377444
2019-06-16,2019-06-23,5483,1226048
2019-06-23,2019-06-30,6664,1115723
2019-06-30,2019-07-07,4476,1244649
2019-07-07,2019-07-14,4707,1218938
2019-07-14,2019-07-21,4346,1183224
2019-07-21,2019-07-28,5080,1191461
2019-07-28,2019-08-04,6850,1329466
2019-08-04,2019-08-11,5463,1732783
2019-08-11,2019-08-18,1324,1446939
2019-08-18,2019-08-25,1239,1369585
2019-08-25,2019-09-01,1243,1252196
2019-09-01,2019-09-08,2196,1096009
2019-09-08,2019-09-15,2017,1044769
2019-09-15,2019-09-22,0,1124208
2019-09-22,2019-09-29,0,945478
2019-09-29,2019-10-06,0,1027243
2019-10-06,2019-10-13,0,861320
2019-10-13,2019-10-20,10000,906643
2019-10-20,2019-10-27,0,929760
2019-10-27,2019-11-03,0,992016
2019-11-03,2019-11-10,0,1170242
2019-11-10,2019-11-17,10000,1318737
2019-11-17,2019-11-24,10000,1719299
2019-11-24,2019-12-01,0,1438902
2019-12-01,2019-12-08,0,1045662
2019-12-08,2019-12-15,0,878037
2019-12-15,2019-12-22,0,858169
2019-12-22,2019-12-29,10000,1145635
2019-12-29,2020-01-05,10000,1814606
2020-01-05,2020-01-12,0,1419267
2020-01-12,2020-01-19,0,1256069
2020-01-19,2020-01-26,10000,1159533
2020-01-26,2020-02-02,10000,1119534
2020-02-02,2020-02-09,0,1271450
2020-02-09,2020-02-16,10000,1042439
2020-02-16,2020-02-23,10000,1221262
2020-02-23,2020-03-01,0,1231403
2020-03-01,2020-03-08,10000,1269826
2020-03-08,2020-03-15,10000,1312939
2020-03-15,2020-03-22,30000,2449686
2020-03-22,2020-03-29,40000,3035913
2020-03-29,2020-04-05,40000,3802836
2020-04-05,2020-04-12,30000,3725955
2020-04-12,2020-04-19,30000,3744691
2020-04-19,2020-04-26,20000,3591350
2020-04-26,2020-05-03,30000,3374234
2020-05-03,2020-05-10,20000,3385872
2020-05-10,2020-05-17,20000,3505921
2020-05-17,2020-05-24,20000,3012738
2020-05-24,2020-05-31,20000,2913174
2020-05-31,2020-06-07,10000,2651978
2020-06-07,2020-06-14,10000,2449384
2020-06-14,2020-06-21,10000,2317357
2020-06-21,2020-06-28,10000,2198389
2020-06-28,2020-07-05,10000,2124415
2020-07-05,2020-07-12,20000,2241871
2020-07-12,2020-07-19,10000,2022361
2020-07-19,2020-07-26,10000,1906590
2020-07-26,2020-08-02,10000,1842595
2020-08-02,2020-08-09,0,1799289
2020-08-09,2020-08-16,10000,1762975
2020-08-16,2020-08-23,0,1698767
2020-08-23,2020-08-30,0,1780115
2020-08-30,2020-09-06,0,1697631
2020-09-06,2020-09-13,10000,1567829
2020-09-13,2020-09-20,0,1531546
2020-09-20,2020-09-27,10000,1524030
2020-09-27,2020-10-04,0,1531651
2020-10-04,2020-10-11,10000,1856093
2020-10-11,2020-10-18,10000,1726683
2020-10-18,2020-10-25,0,1503161
2020-10-25,2020-11-01,10000,1565981
2020-11-01,2020-11-08,0,1540489
2020-11-08,2020-11-15,0,1420579
2020-11-15,2020-11-22,0,1304667
2020-11-22,2020-11-29,0,1378926
2020-11-29,2020-12-06,0,1309216
2020-12-06,2020-12-13,0,1224574
2020-12-13,2020-12-20,0,1048872
2020-12-20,2020-12-27,10000,1521332
2020-12-27,2021-01-03,0,1805839
2021-01-03,2021-01-10,0,1581615
2021-01-10,2021-01-17,0,1488111
2021-01-17,2021-01-24,10000,1432554
2021-01-24,2021-01-31,10000,1845076
2021-01-31,2021-02-07,10000,1700686
2021-02-07,2021-02-14,10000,1708518
2021-02-14,2021-02-21,10000,1660800
2021-02-21,2021-02-28,0,1364505
2021-02-28,2021-03-07,10000,1509060
2021-03-07,2021-03-14,0,1363945
2021-03-14,2021-03-21,0,1306838
