start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,12904,852333
2019-06-02,2019-06-09,41639,2081477
2019-06-09,2019-06-16,45650,2476491
2019-06-16,2019-06-23,50808,2848058
2019-06-23,2019-06-30,27766,2296768
2019-06-30,2019-07-07,30674,2689879
2019-07-07,2019-07-14,18659,1913519
2019-07-14,2019-07-21,20462,2031752
2019-07-21,2019-07-28,32212,2406705
2019-07-28,2019-08-04,27960,2476421
2019-08-04,2019-08-11,25691,2334112
2019-08-11,2019-08-18,28754,2575155
2019-08-18,2019-08-25,21708,2228958
2019-08-25,2019-09-01,23756,2250398
2019-09-01,2019-09-08,20930,2001609
2019-09-08,2019-09-15,14297,1792237
2019-09-15,2019-09-22,-270,1548120
2019-09-22,2019-09-29,20000,1590831
2019-09-29,2019-10-06,20000,2012695
2019-10-06,2019-10-13,10000,1711127
2019-10-13,2019-10-20,20000,1688506
2019-10-20,2019-10-27,20000,1849083
2019-10-27,2019-11-03,20000,1834050
2019-11-03,2019-11-10,20000,2141964
2019-11-10,2019-11-17,20000,2126273
2019-11-17,2019-11-24,30000,2480298
2019-11-24,2019-12-01,40000,2420994
2019-12-01,2019-12-08,20000,2262038
2019-12-08,2019-12-15,30000,2513509
2019-12-15,2019-12-22,20000,2630156
2019-12-22,2019-12-29,20000,2292233
2019-12-29,2020-01-05,40000,3361712
2020-01-05,2020-01-12,50000,3968548
2020-01-12,2020-01-19,40000,3793822
2020-01-19,2020-01-26,40000,3509193
2020-01-26,2020-02-02,40000,3360294
2020-02-02,2020-02-09,40000,3769987
2020-02-09,2020-02-16,40000,3829207
2020-02-16,2020-02-23,40000,4089126
2020-02-23,2020-03-01,50000,4266654
2020-03-01,2020-03-08,50000,4234983
2020-03-08,2020-03-15,70000,5212957
2020-03-15,2020-03-22,180000,10962270
2020-03-22,2020-03-29,280000,18457578
2020-03-29,2020-04-05,330000,23770416
2020-04-05,2020-04-12,460000,31211969
2020-04-12,2020-04-19,540000,36513834
2020-04-19,2020-04-26,580000,42298284
2020-04-26,2020-05-03,570000,46639958
2020-05-03,2020-05-10,590000,47507278
2020-05-10,2020-05-17,530000,46747977
2020-05-17,2020-05-24,580000,45605238
2020-05-24,2020-05-31,620000,47480066
2020-05-31,2020-06-07,520000,47273842
2020-06-07,2020-06-14,440000,42301001
2020-06-14,2020-06-21,300000,40684324
2020-06-21,2020-06-28,400000,36725360
2020-06-28,2020-07-05,300000,35730285
2020-07-05,2020-07-12,300000,34757109
2020-07-12,2020-07-19,300000,28602371
2020-07-19,2020-07-26,300000,32204681
2020-07-26,2020-08-02,400000,30776934
2020-08-02,2020-08-09,300000,28867944
2020-08-09,2020-08-16,200000,24580060
2020-08-16,2020-08-23,300000,26447105
2020-08-23,2020-08-30,200000,24749028
2020-08-30,2020-09-06,100000,23876077
2020-09-06,2020-09-13,100000,20996709
2020-09-13,2020-09-20,100000,18954820
2020-09-20,2020-09-27,100000,17732958
2020-09-27,2020-10-04,100000,18066549
2020-10-04,2020-10-11,100000,17059694
2020-10-11,2020-10-18,100000,16383520
2020-10-18,2020-10-25,100000,15122383
2020-10-25,2020-11-01,100000,15594710
2020-11-01,2020-11-08,100000,16417868
2020-11-08,2020-11-15,100000,15970569
2020-11-15,2020-11-22,100000,16340172
2020-11-22,2020-11-29,100000,14753506
2020-11-29,2020-12-06,100000,14464099
2020-12-06,2020-12-13,100000,13780560
2020-12-13,2020-12-20,100000,13618159
2020-12-20,2020-12-27,100000,11178542
2020-12-27,2021-01-03,100000,12602645
2021-01-03,2021-01-10,100000,21055760
2021-01-10,2021-01-17,100000,19456713
2021-01-17,2021-01-24,100000,20124850
2021-01-24,2021-01-31,200000,19784830
2021-01-31,2021-02-07,200000,19732965
2021-02-07,2021-02-14,100000,19154605
2021-02-14,2021-02-21,100000,20415046
2021-02-21,2021-02-28,100000,19240206
2021-02-28,2021-03-07,100000,18378447
2021-03-07,2021-03-14,200000,18098156
2021-03-14,2021-03-21,200000,20177510
2021-03-21,2021-03-28,200000,20666004
2021-03-28,2021-04-04,200000,20606911
2021-04-04,2021-04-11,200000,20799383
2021-04-11,2021-04-18,100000,20563575
2021-04-18,2021-04-25,200000,21551503
2021-04-25,2021-05-02,200000,19448776
2021-05-02,2021-05-09,100000,19614531
2021-05-09,2021-05-16,100000,18022569
2021-05-16,2021-05-23,100000,17763053
2021-05-23,2021-05-30,100000,16466827
2021-05-30,2021-06-06,100000,17476802
2021-06-06,2021-06-13,100000,17397680
2021-06-13,2021-06-20,100000,16904272
2021-06-20,2021-06-27,100000,15952288
2021-06-27,2021-07-04,100000,14860506
2021-07-04,2021-07-11,100000,14303954
2021-07-11,2021-07-18,100000,14592717
2021-07-18,2021-07-25,100000,13781944
2021-07-25,2021-08-01,100000,14396670
2021-08-01,2021-08-08,100000,17389046
