start_date,end_date,weekly_subscribers,weekly_views
2019-05-28,2019-06-04,4158,1072731
2019-06-02,2019-06-09,6324,1721782
2019-06-09,2019-06-16,6932,1795164
2019-06-16,2019-06-23,6833,1840137
2019-06-23,2019-06-30,6113,1789033
2019-06-30,2019-07-07,6700,1799857
2019-07-07,2019-07-14,6577,1737056
2019-07-14,2019-07-21,6221,1706843
2019-07-21,2019-07-28,7233,1713190
2019-07-28,2019-08-04,6820,1701018
2019-08-04,2019-08-11,6164,1636196
2019-08-11,2019-08-18,5843,1588201
2019-08-18,2019-08-25,5391,1557729
2019-08-25,2019-09-01,5049,1470818
2019-09-01,2019-09-08,5173,1485151
2019-09-08,2019-09-15,4620,1476421
2019-09-15,2019-09-22,0,1391789
2019-09-22,2019-09-29,10000,1372375
2019-09-29,2019-10-06,0,1369822
2019-10-06,2019-10-13,10000,1325551
2019-10-13,2019-10-20,0,1334164
2019-10-20,2019-10-27,10000,1349079
2019-10-27,2019-11-03,0,1317973
2019-11-03,2019-11-10,10000,1382008
2019-11-10,2019-11-17,0,1413512
2019-11-17,2019-11-24,10000,1385220
2019-11-24,2019-12-01,0,1238279
2019-12-01,2019-12-08,0,1251131
2019-12-08,2019-12-15,0,1413467
2019-12-15,2019-12-22,0,1160882
2019-12-22,2019-12-29,0,1065907
2019-12-29,2020-01-05,0,1383586
2020-01-05,2020-01-12,10000,1571389
2020-01-12,2020-01-19,0,1537382
2020-01-19,2020-01-26,0,1494326
2020-01-26,2020-02-02,0,1454736
2020-02-02,2020-02-09,0,1490856
2020-02-09,2020-02-16,0,1407736
2020-02-16,2020-02-23,0,1469660
2020-02-23,2020-03-01,10000,1504709
2020-03-01,2020-03-08,0,1490232
2020-03-08,2020-03-15,0,1717293
2020-03-15,2020-03-22,30000,3631001
2020-03-22,2020-03-29,40000,5161121
2020-03-29,2020-04-05,30000,5337119
2020-04-05,2020-04-12,30000,5173229
2020-04-12,2020-04-19,30000,5384785
2020-04-19,2020-04-26,30000,5252715
2020-04-26,2020-05-03,30000,4895363
2020-05-03,2020-05-10,20000,4280286
2020-05-10,2020-05-17,20000,3991155
2020-05-17,2020-05-24,20000,3453767
2020-05-24,2020-05-31,10000,3188081
2020-05-31,2020-06-07,20000,2998830
2020-06-07,2020-06-14,10000,2893182
2020-06-14,2020-06-21,10000,2608825
2020-06-21,2020-06-28,0,2445597
2020-06-28,2020-07-05,10000,2331775
2020-07-05,2020-07-12,10000,2498187
2020-07-12,2020-07-19,10000,2255722
2020-07-19,2020-07-26,10000,2179358
2020-07-26,2020-08-02,10000,2037546
2020-08-02,2020-08-09,0,1964324
2020-08-09,2020-08-16,0,1956519
2020-08-16,2020-08-23,0,1942711
2020-08-23,2020-08-30,10000,1950565
2020-08-30,2020-09-06,10000,1912852
2020-09-06,2020-09-13,10000,1943983
2020-09-13,2020-09-20,10000,1922190
2020-09-20,2020-09-27,0,1915685
2020-09-27,2020-10-04,0,1852711
2020-10-04,2020-10-11,10000,1845013
2020-10-11,2020-10-18,10000,1788014
2020-10-18,2020-10-25,0,1732070
2020-10-25,2020-11-01,10000,1686733
2020-11-01,2020-11-08,0,1659734
2020-11-08,2020-11-15,10000,1651122
2020-11-15,2020-11-22,0,1674768
2020-11-22,2020-11-29,10000,1479925
2020-11-29,2020-12-06,0,1643743
2020-12-06,2020-12-13,10000,1666414
2020-12-13,2020-12-20,0,1463501
2020-12-20,2020-12-27,10000,1165411
2020-12-27,2021-01-03,0,1336144
2021-01-03,2021-01-10,0,1762580
2021-01-10,2021-01-17,10000,1756507
2021-01-17,2021-01-24,0,1673436
2021-01-24,2021-01-31,10000,1760851
2021-01-31,2021-02-07,0,1721913
2021-02-07,2021-02-14,10000,1631280
2021-02-14,2021-02-21,0,1558059
2021-02-21,2021-02-28,0,1518573
2021-02-28,2021-03-07,0,1464609
2021-03-07,2021-03-14,0,1491314
2021-03-14,2021-03-21,10000,1496894
2021-03-21,2021-03-28,0,1413736
2021-03-28,2021-04-04,0,1022039
2021-04-04,2021-04-11,0,1340971
2021-04-11,2021-04-18,10000,1329788
2021-04-18,2021-04-25,0,1272701
2021-04-25,2021-05-02,0,1263988
2021-05-02,2021-05-09,0,1227187
2021-05-09,2021-05-16,0,1188253
2021-05-16,2021-05-23,0,1223839
2021-05-23,2021-05-30,0,1150946
2021-05-30,2021-06-06,10000,1161488
2021-06-06,2021-06-13,0,1177591
2021-06-13,2021-06-20,0,1075172
2021-06-20,2021-06-27,0,1051532
2021-06-27,2021-07-04,0,948301
2021-07-04,2021-07-11,0,948574
2021-07-11,2021-07-18,0,1008303
2021-07-18,2021-07-25,0,989345
2021-07-25,2021-08-01,0,953779
2021-08-01,2021-08-08,0,965490
2021-08-08,2021-08-15,0,1027043
2021-08-15,2021-08-22,10000,924576
2021-08-22,2021-08-29,0,860770
2021-08-29,2021-09-05,0,911498
2021-09-05,2021-09-12,0,891401
2021-09-12,2021-09-19,0,932728
2021-09-19,2021-09-26,0,926136
2021-09-26,2021-10-03,0,985734
2021-10-03,2021-10-10,0,832376
2021-10-10,2021-10-17,10000,837954
2021-10-17,2021-10-24,0,839778
2021-10-24,2021-10-31,0,822694
2021-10-31,2021-11-07,0,818811
2021-11-07,2021-11-14,0,861547
2021-11-14,2021-11-21,0,861689
2021-11-21,2021-11-28,0,835608
2021-11-28,2021-12-05,0,838266
2021-12-05,2021-12-12,10000,793882
2021-12-12,2021-12-19,0,917035
2021-12-19,2021-12-26,0,645634
2021-12-26,2022-01-02,0,737695
2022-01-02,2022-01-09,0,982207
2022-01-09,2022-01-16,0,1176784
2022-01-16,2022-01-23,0,871237
2022-01-23,2022-01-30,10000,1020547
2022-01-30,2022-02-06,0,1216783
2022-02-06,2022-02-13,0,1162954
2022-02-13,2022-02-20,0,876487
2022-02-20,2022-02-27,0,959649
2022-02-27,2022-03-06,0,930006
2022-03-06,2022-03-13,0,1050309
2022-03-13,2022-03-20,0,836753
2022-03-20,2022-03-27,0,806228
2022-03-27,2022-04-03,0,658672
2022-04-03,2022-04-10,10000,660230
2022-04-10,2022-04-17,0,589396
2022-04-17,2022-04-24,0,692054
2022-04-24,2022-05-01,0,676029
2022-05-01,2022-05-08,0,639743
2022-05-08,2022-05-15,0,744293
2022-05-15,2022-05-22,0,567900
