start_date,end_date,weekly_subscribers,weekly_views
2019-05-28,2019-06-04,30186,5023654
2019-06-02,2019-06-09,36497,6534455
2019-06-09,2019-06-16,41548,6803841
2019-06-16,2019-06-23,39726,6435876
2019-06-23,2019-06-30,36330,6523816
2019-06-30,2019-07-07,36563,6391489
2019-07-07,2019-07-14,41459,7174866
2019-07-14,2019-07-21,38335,7168578
2019-07-21,2019-07-28,33199,6405694
2019-07-28,2019-08-04,33613,6322434
2019-08-04,2019-08-11,34016,6169687
2019-08-11,2019-08-18,36888,6772857
2019-08-18,2019-08-25,46166,8113563
2019-08-25,2019-09-01,48595,7283640
2019-09-01,2019-09-08,39489,6339600
2019-09-08,2019-09-15,26692,5154642
2019-09-15,2019-09-22,20000,4561460
2019-09-22,2019-09-29,20000,4867198
2019-09-29,2019-10-06,20000,4813361
2019-10-06,2019-10-13,20000,4974277
2019-10-13,2019-10-20,20000,4557968
2019-10-20,2019-10-27,20000,4214996
2019-10-27,2019-11-03,30000,4361989
2019-11-03,2019-11-10,20000,4473908
2019-11-10,2019-11-17,20000,4754474
2019-11-17,2019-11-24,30000,4712272
2019-11-24,2019-12-01,20000,3890227
2019-12-01,2019-12-08,20000,4296607
2019-12-08,2019-12-15,20000,4012694
2019-12-15,2019-12-22,20000,4541357
2019-12-22,2019-12-29,30000,4380839
2019-12-29,2020-01-05,30000,5332143
2020-01-05,2020-01-12,60000,7903844
2020-01-12,2020-01-19,40000,6262609
2020-01-19,2020-01-26,40000,5499540
2020-01-26,2020-02-02,30000,5061343
2020-02-02,2020-02-09,20000,5502328
2020-02-09,2020-02-16,30000,6060508
2020-02-16,2020-02-23,40000,7339299
2020-02-23,2020-03-01,50000,7529003
2020-03-01,2020-03-08,40000,6900997
2020-03-08,2020-03-15,40000,7318943
2020-03-15,2020-03-22,80000,11147412
2020-03-22,2020-03-29,60000,9708303
2020-03-29,2020-04-05,60000,9656038
2020-04-05,2020-04-12,80000,10669287
2020-04-12,2020-04-19,60000,9316818
2020-04-19,2020-04-26,60000,9984054
2020-04-26,2020-05-03,70000,10317502
2020-05-03,2020-05-10,0,9337662
2020-05-10,2020-05-17,100000,8295217
2020-05-17,2020-05-24,0,7455219
2020-05-24,2020-05-31,0,7961117
2020-05-31,2020-06-07,0,7186650
2020-06-07,2020-06-14,100000,6959173
2020-06-14,2020-06-21,0,7332305
2020-06-21,2020-06-28,100000,7470482
2020-06-28,2020-07-05,0,7109588
2020-07-05,2020-07-12,100000,7186157
2020-07-12,2020-07-19,0,6688363
2020-07-19,2020-07-26,0,6704770
2020-07-26,2020-08-02,100000,6138598
2020-08-02,2020-08-09,0,5906253
2020-08-09,2020-08-16,0,5040702
2020-08-16,2020-08-23,100000,4972821
2020-08-23,2020-08-30,0,5298044
2020-08-30,2020-09-06,0,5087111
2020-09-06,2020-09-13,0,4499728
2020-09-13,2020-09-20,100000,4618019
2020-09-20,2020-09-27,0,4373287
2020-09-27,2020-10-04,0,4324767
2020-10-04,2020-10-11,0,4678289
2020-10-11,2020-10-18,100000,5122813
2020-10-18,2020-10-25,0,4225394
2020-10-25,2020-11-01,0,3774296
2020-11-01,2020-11-08,0,3832025
2020-11-08,2020-11-15,0,4084107
2020-11-15,2020-11-22,100000,4113351
2020-11-22,2020-11-29,0,3787987
2020-11-29,2020-12-06,0,4214939
2020-12-06,2020-12-13,0,4650163
2020-12-13,2020-12-20,100000,4272237
2020-12-20,2020-12-27,0,3802030
2020-12-27,2021-01-03,0,4302231
2021-01-03,2021-01-10,0,4714606
2021-01-10,2021-01-17,0,4176746
2021-01-17,2021-01-24,100000,4032943
2021-01-24,2021-01-31,0,3728695
2021-01-31,2021-02-07,0,4146019
2021-02-07,2021-02-14,0,4177466
2021-02-14,2021-02-21,0,5447784
2021-02-21,2021-02-28,0,5793945
2021-02-28,2021-03-07,0,5352947
2021-03-07,2021-03-14,100000,5893261
2021-03-14,2021-03-21,0,5809057
2021-03-21,2021-03-28,0,4914524
2021-03-28,2021-04-04,100000,4955749
2021-04-04,2021-04-11,0,5264379
2021-04-11,2021-04-18,0,5441016
2021-04-18,2021-04-25,0,5204634
2021-04-25,2021-05-02,100000,4443964
2021-05-02,2021-05-09,0,4044698
2021-05-09,2021-05-16,0,4592168
2021-05-16,2021-05-23,0,4540770
2021-05-23,2021-05-30,100000,5401417
2021-05-30,2021-06-06,0,4994310
2021-06-06,2021-06-13,0,4725722
2021-06-13,2021-06-20,0,4520647
2021-06-20,2021-06-27,100000,5218061
2021-06-27,2021-07-04,0,5115092
2021-07-04,2021-07-11,0,4499496
2021-07-11,2021-07-18,0,5497894
2021-07-18,2021-07-25,100000,4597938
2021-07-25,2021-08-01,0,4508196
2021-08-01,2021-08-08,0,4334565
2021-08-08,2021-08-15,0,5406395
2021-08-15,2021-08-22,0,4081593
2021-08-22,2021-08-29,100000,4553870
2021-08-29,2021-09-05,0,4217906
2021-09-05,2021-09-12,0,4461134
2021-09-12,2021-09-19,0,4927452
2021-09-19,2021-09-26,0,4280660
2021-09-26,2021-10-03,100000,4177782
2021-10-03,2021-10-10,0,3094355
2021-10-10,2021-10-17,0,3695279
2021-10-17,2021-10-24,0,4975212
2021-10-24,2021-10-31,0,3670420
2021-10-31,2021-11-07,0,3295343
2021-11-07,2021-11-14,100000,3617514
2021-11-14,2021-11-21,0,3268305
2021-11-21,2021-11-28,0,3061771
2021-11-28,2021-12-05,0,2983891
2021-12-05,2021-12-12,0,2986583
2021-12-12,2021-12-19,0,3373883
2021-12-19,2021-12-26,100000,4518149
2021-12-26,2022-01-02,0,4618063
2022-01-02,2022-01-09,0,4614647
2022-01-09,2022-01-16,0,4705214
2022-01-16,2022-01-23,0,5292433
2022-01-23,2022-01-30,100000,4890277
2022-01-30,2022-02-06,0,4400578
2022-02-06,2022-02-13,0,4658927
2022-02-13,2022-02-20,0,3712704
2022-02-20,2022-02-27,0,4244009
2022-02-27,2022-03-06,100000,4125864
2022-03-06,2022-03-13,0,4078867
2022-03-13,2022-03-20,0,5101257
2022-03-20,2022-03-27,0,3664147
2022-03-27,2022-04-03,0,4392077
2022-04-03,2022-04-10,100000,4539223
2022-04-10,2022-04-17,0,4029179
2022-04-17,2022-04-24,0,3965253
2022-04-24,2022-05-01,0,4469178
2022-05-01,2022-05-08,0,4090762
2022-05-08,2022-05-15,100000,3519366
2022-05-15,2022-05-22,0,4740581
