start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,3516,216317
2019-06-02,2019-06-09,13942,734953
2019-06-09,2019-06-16,80768,2231417
2019-06-16,2019-06-23,235827,5831425
2019-06-23,2019-06-30,62040,2662841
2019-06-30,2019-07-07,51067,2059385
2019-07-07,2019-07-14,56775,2173110
2019-07-14,2019-07-21,56128,2205724
2019-07-21,2019-07-28,43082,2096193
2019-07-28,2019-08-04,17120,1236291
2019-08-04,2019-08-11,18171,1237301
2019-08-11,2019-08-18,35502,1653000
2019-08-18,2019-08-25,28529,1660306
2019-08-25,2019-09-01,11281,1090739
2019-09-01,2019-09-08,8300,838201
2019-09-08,2019-09-15,8660,799738
2019-09-15,2019-09-22,924,795451
2019-09-22,2019-09-29,10000,772139
2019-09-29,2019-10-06,10000,709991
2019-10-06,2019-10-13,0,749894
2019-10-13,2019-10-20,10000,731997
2019-10-20,2019-10-27,10000,701934
2019-10-27,2019-11-03,0,594536
2019-11-03,2019-11-10,10000,711457
2019-11-10,2019-11-17,10000,788824
2019-11-17,2019-11-24,0,742585
2019-11-24,2019-12-01,0,545240
2019-12-01,2019-12-08,10000,689756
2019-12-08,2019-12-15,10000,946463
2019-12-15,2019-12-22,20000,1364046
2019-12-22,2019-12-29,20000,1073234
2019-12-29,2020-01-05,30000,1445936
2020-01-05,2020-01-12,40000,2162800
2020-01-12,2020-01-19,30000,1901803
2020-01-19,2020-01-26,20000,1358037
2020-01-26,2020-02-02,20000,1383682
2020-02-02,2020-02-09,20000,1558027
2020-02-09,2020-02-16,20000,1641404
2020-02-16,2020-02-23,20000,1734581
2020-02-23,2020-03-01,20000,1683432
2020-03-01,2020-03-08,20000,1573745
2020-03-08,2020-03-15,20000,1855005
2020-03-15,2020-03-22,130000,5994797
2020-03-22,2020-03-29,330000,14969697
2020-03-29,2020-04-05,240000,14058230
2020-04-05,2020-04-12,200000,13221838
2020-04-12,2020-04-19,220000,14330164
2020-04-19,2020-04-26,160000,12196564
2020-04-26,2020-05-03,160000,12553664
2020-05-03,2020-05-10,110000,10211735
2020-05-10,2020-05-17,120000,10366511
2020-05-17,2020-05-24,90000,9176799
2020-05-24,2020-05-31,70000,7624198
2020-05-31,2020-06-07,80000,8366358
2020-06-07,2020-06-14,80000,7478981
2020-06-14,2020-06-21,60000,6551011
2020-06-21,2020-06-28,60000,6570368
2020-06-28,2020-07-05,60000,6284114
2020-07-05,2020-07-12,50000,6254407
2020-07-12,2020-07-19,50000,5535742
2020-07-19,2020-07-26,40000,5271157
2020-07-26,2020-08-02,50000,5389744
2020-08-02,2020-08-09,50000,5618017
2020-08-09,2020-08-16,40000,5296078
2020-08-16,2020-08-23,50000,5250203
2020-08-23,2020-08-30,50000,4899482
2020-08-30,2020-09-06,30000,4929501
2020-09-06,2020-09-13,40000,4576555
2020-09-13,2020-09-20,30000,4320279
2020-09-20,2020-09-27,20000,4286905
2020-09-27,2020-10-04,30000,3992770
2020-10-04,2020-10-11,30000,3858764
2020-10-11,2020-10-18,20000,3843142
2020-10-18,2020-10-25,20000,3775047
2020-10-25,2020-11-01,20000,3739981
2020-11-01,2020-11-08,20000,3940002
2020-11-08,2020-11-15,20000,4075478
2020-11-15,2020-11-22,30000,4006999
2020-11-22,2020-11-29,30000,3776449
2020-11-29,2020-12-06,40000,4298288
2020-12-06,2020-12-13,30000,4044377
2020-12-13,2020-12-20,30000,3957008
2020-12-20,2020-12-27,20000,3195702
2020-12-27,2021-01-03,40000,4537041
2021-01-03,2021-01-10,50000,6052263
2021-01-10,2021-01-17,40000,5807258
2021-01-17,2021-01-24,40000,5718136
2021-01-24,2021-01-31,50000,5975690
2021-01-31,2021-02-07,40000,5976399
2021-02-07,2021-02-14,40000,5491017
2021-02-14,2021-02-21,40000,5493231
2021-02-21,2021-02-28,30000,5367143
2021-02-28,2021-03-07,30000,4863068
2021-03-07,2021-03-14,30000,4972565
2021-03-14,2021-03-21,30000,5165844
2021-03-21,2021-03-28,30000,4832557
2021-03-28,2021-04-04,20000,4465168
2021-04-04,2021-04-11,20000,4915434
2021-04-11,2021-04-18,30000,4812100
2021-04-18,2021-04-25,30000,4581607
2021-04-25,2021-05-02,40000,4497291
2021-05-02,2021-05-09,30000,4300861
2021-05-09,2021-05-16,30000,4154847
2021-05-16,2021-05-23,30000,4019235
2021-05-23,2021-05-30,20000,3613675
2021-05-30,2021-06-06,10000,3505965
2021-06-06,2021-06-13,20000,3297332
2021-06-13,2021-06-20,20000,3359716
2021-06-20,2021-06-27,20000,3342518
2021-06-27,2021-07-04,20000,3437014
2021-07-04,2021-07-11,20000,3618013
2021-07-11,2021-07-18,30000,3624385
2021-07-18,2021-07-25,20000,3625045
2021-07-25,2021-08-01,20000,3429481
2021-08-01,2021-08-08,20000,3251075
2021-08-08,2021-08-15,20000,3595565
2021-08-15,2021-08-22,20000,3184176
2021-08-22,2021-08-29,20000,2878188
2021-08-29,2021-09-05,10000,2819423
2021-09-05,2021-09-12,10000,2843317
2021-09-12,2021-09-19,20000,2951711
2021-09-19,2021-09-26,10000,2863034
2021-09-26,2021-10-03,10000,2931519
2021-10-03,2021-10-10,20000,2645002
2021-10-10,2021-10-17,10000,2583918
2021-10-17,2021-10-24,20000,2677750
2021-10-24,2021-10-31,10000,2552882
2021-10-31,2021-11-07,10000,2654627
2021-11-07,2021-11-14,20000,2848367
2021-11-14,2021-11-21,10000,3023074
2021-11-21,2021-11-28,10000,2924682
2021-11-28,2021-12-05,20000,2939545
2021-12-05,2021-12-12,20000,2929855
2021-12-12,2021-12-19,10000,2681970
2021-12-19,2021-12-26,10000,2353740
2021-12-26,2022-01-02,20000,2287585
2022-01-02,2022-01-09,20000,3782722
2022-01-09,2022-01-16,20000,3190260
2022-01-16,2022-01-23,20000,4292273
2022-01-23,2022-01-30,10000,3515705
2022-01-30,2022-02-06,10000,3721375
2022-02-06,2022-02-13,20000,3542434
2022-02-13,2022-02-20,20000,3996277
2022-02-20,2022-02-27,20000,3371606
2022-02-27,2022-03-06,20000,3465229
2022-03-06,2022-03-13,20000,4058157
2022-03-13,2022-03-20,10000,3102519
2022-03-20,2022-03-27,20000,3443913
2022-03-27,2022-04-03,20000,3931774
2022-04-03,2022-04-10,20000,4119338
2022-04-10,2022-04-17,20000,2698126
2022-04-17,2022-04-24,20000,3758664
2022-04-24,2022-05-01,20000,3354798
2022-05-01,2022-05-08,20000,3101327
2022-05-08,2022-05-15,20000,2791276
2022-05-15,2022-05-22,20000,3164774
