start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,4817,442380
2019-06-02,2019-06-09,9402,884603
2019-06-09,2019-06-16,10998,1041914
2019-06-16,2019-06-23,14427,1171331
2019-06-23,2019-06-30,11907,972545
2019-06-30,2019-07-07,9267,910366
2019-07-07,2019-07-14,8507,924275
2019-07-14,2019-07-21,9904,1058087
2019-07-21,2019-07-28,16150,1206059
2019-07-28,2019-08-04,17822,1275609
2019-08-04,2019-08-11,15517,1212934
2019-08-11,2019-08-18,13403,1203158
2019-08-18,2019-08-25,11838,1110270
2019-08-25,2019-09-01,10680,1053467
2019-09-01,2019-09-08,11704,1128173
2019-09-08,2019-09-15,8454,957893
2019-09-15,2019-09-22,3288,829076
2019-09-22,2019-09-29,10000,809658
2019-09-29,2019-10-06,10000,912868
2019-10-06,2019-10-13,10000,963713
2019-10-13,2019-10-20,10000,975068
2019-10-20,2019-10-27,10000,1093070
2019-10-27,2019-11-03,10000,1107339
2019-11-03,2019-11-10,10000,1117978
2019-11-10,2019-11-17,10000,1048673
2019-11-17,2019-11-24,10000,1109609
2019-11-24,2019-12-01,10000,1099186
2019-12-01,2019-12-08,10000,1047128
2019-12-08,2019-12-15,10000,1005892
2019-12-15,2019-12-22,10000,907445
2019-12-22,2019-12-29,10000,916033
2019-12-29,2020-01-05,10000,1301244
2020-01-05,2020-01-12,20000,1597405
2020-01-12,2020-01-19,10000,1661905
2020-01-19,2020-01-26,20000,2066901
2020-01-26,2020-02-02,20000,1821255
2020-02-02,2020-02-09,20000,1750366
2020-02-09,2020-02-16,20000,1673500
2020-02-16,2020-02-23,20000,1750497
2020-02-23,2020-03-01,20000,1907639
2020-03-01,2020-03-08,20000,2022920
2020-03-08,2020-03-15,30000,2699991
2020-03-15,2020-03-22,120000,8157819
2020-03-22,2020-03-29,150000,12720737
2020-03-29,2020-04-05,150000,13669549
2020-04-05,2020-04-12,150000,14988348
2020-04-12,2020-04-19,180000,14882644
2020-04-19,2020-04-26,180000,17940469
2020-04-26,2020-05-03,150000,18009656
2020-05-03,2020-05-10,120000,16331010
2020-05-10,2020-05-17,110000,15160929
2020-05-17,2020-05-24,100000,13649396
2020-05-24,2020-05-31,100000,13031677
2020-05-31,2020-06-07,80000,12461455
2020-06-07,2020-06-14,90000,11614763
2020-06-14,2020-06-21,80000,11046070
2020-06-21,2020-06-28,70000,10382001
2020-06-28,2020-07-05,60000,9627376
2020-07-05,2020-07-12,60000,10690167
2020-07-12,2020-07-19,60000,9389474
2020-07-19,2020-07-26,60000,9162160
2020-07-26,2020-08-02,60000,9209325
2020-08-02,2020-08-09,60000,8786933
2020-08-09,2020-08-16,60000,8370617
2020-08-16,2020-08-23,50000,8898209
2020-08-23,2020-08-30,60000,8515453
2020-08-30,2020-09-06,50000,8025871
2020-09-06,2020-09-13,40000,7764394
2020-09-13,2020-09-20,40000,7111684
2020-09-20,2020-09-27,40000,7203259
2020-09-27,2020-10-04,40000,6885297
2020-10-04,2020-10-11,40000,7622869
2020-10-11,2020-10-18,40000,7850558
2020-10-18,2020-10-25,40000,7966853
2020-10-25,2020-11-01,40000,7961675
2020-11-01,2020-11-08,50000,8907558
2020-11-08,2020-11-15,60000,10170766
2020-11-15,2020-11-22,50000,10217993
2020-11-22,2020-11-29,40000,8881586
2020-11-29,2020-12-06,50000,9455962
