start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,5096,394904
2019-06-02,2019-06-09,12782,1989026
2019-06-09,2019-06-16,12169,281877
2019-06-16,2019-06-23,15090,2079501
2019-06-23,2019-06-30,14328,2100456
2019-06-30,2019-07-07,14234,2232560
2019-07-07,2019-07-14,13723,1971516
2019-07-14,2019-07-21,14155,1979251
2019-07-21,2019-07-28,13300,1943641
2019-07-28,2019-08-04,11537,1875207
2019-08-04,2019-08-11,12985,936091
2019-08-11,2019-08-18,11619,1959396
2019-08-18,2019-08-25,11383,2069938
2019-08-25,2019-09-01,10686,1847452
2019-09-01,2019-09-08,10088,1536232
2019-09-08,2019-09-15,11709,-767936
2019-09-15,2019-09-22,10431,289130
2019-09-22,2019-09-29,10000,1237341
2019-09-29,2019-10-06,10000,1637972
2019-10-06,2019-10-13,10000,1595637
2019-10-13,2019-10-20,10000,1648895
2019-10-20,2019-10-27,10000,1568543
2019-10-27,2019-11-03,10000,1553207
2019-11-03,2019-11-10,10000,2070881
2019-11-10,2019-11-17,10000,7073698
2019-11-17,2019-11-24,10000,1609513
2019-11-24,2019-12-01,10000,1410757
2019-12-01,2019-12-08,0,1491812
2019-12-08,2019-12-15,10000,1575405
2019-12-15,2019-12-22,10000,1453122
2019-12-22,2019-12-29,10000,1385641
2019-12-29,2020-01-05,20000,1687895
2020-01-05,2020-01-12,10000,2142534
2020-01-12,2020-01-19,10000,2160650
2020-01-19,2020-01-26,20000,2119060
2020-01-26,2020-02-02,10000,2124753
2020-02-02,2020-02-09,10000,2301405
2020-02-09,2020-02-16,10000,2150777
2020-02-16,2020-02-23,20000,2124426
2020-02-23,2020-03-01,10000,2171281
2020-03-01,2020-03-08,10000,2166048
2020-03-08,2020-03-15,30000,2821285
2020-03-15,2020-03-22,90000,8472548
2020-03-22,2020-03-29,150000,13916587
2020-03-29,2020-04-05,130000,13519109
2020-04-05,2020-04-12,120000,13008709
2020-04-12,2020-04-19,100000,12491224
2020-04-19,2020-04-26,80000,11057063
2020-04-26,2020-05-03,70000,9923698
2020-05-03,2020-05-10,60000,7974538
2020-05-10,2020-05-17,60000,7690189
2020-05-17,2020-05-24,40000,6568630
2020-05-24,2020-05-31,40000,5886964
2020-05-31,2020-06-07,30000,5405114
2020-06-07,2020-06-14,30000,5112336
2020-06-14,2020-06-21,20000,4672072
2020-06-21,2020-06-28,20000,4281255
2020-06-28,2020-07-05,20000,4023769
2020-07-05,2020-07-12,30000,4291055
2020-07-12,2020-07-19,20000,3870702
2020-07-19,2020-07-26,20000,3693057
2020-07-26,2020-08-02,20000,3647716
2020-08-02,2020-08-09,20000,3537040
2020-08-09,2020-08-16,20000,3600317
2020-08-16,2020-08-23,20000,3402254
2020-08-23,2020-08-30,20000,3232204
2020-08-30,2020-09-06,10000,3100617
2020-09-06,2020-09-13,20000,3218403
2020-09-13,2020-09-20,20000,3092566
2020-09-20,2020-09-27,10000,2989109
2020-09-27,2020-10-04,20000,2884561
2020-10-04,2020-10-11,10000,2558977
2020-10-11,2020-10-18,10000,2850533
2020-10-18,2020-10-25,20000,2845774
2020-10-25,2020-11-01,10000,2902055
2020-11-01,2020-11-08,20000,3560403
2020-11-08,2020-11-15,20000,3068889
2020-11-15,2020-11-22,20000,3128972
2020-11-22,2020-11-29,10000,2619676
2020-11-29,2020-12-06,10000,2932053
2020-12-06,2020-12-13,20000,2849942
2020-12-13,2020-12-20,10000,2616163
2020-12-20,2020-12-27,10000,2117793
2020-12-27,2021-01-03,20000,2599974
2021-01-03,2021-01-10,20000,3610905
2021-01-10,2021-01-17,20000,3626660
2021-01-17,2021-01-24,20000,3481141
2021-01-24,2021-01-31,20000,3495070
2021-01-31,2021-02-07,20000,3390584
2021-02-07,2021-02-14,20000,3197234
2021-02-14,2021-02-21,20000,3178088
2021-02-21,2021-02-28,10000,2902770
2021-02-28,2021-03-07,10000,2824468
2021-03-07,2021-03-14,10000,2886765
2021-03-14,2021-03-21,10000,2926077
2021-03-21,2021-03-28,10000,2673510
2021-03-28,2021-04-04,10000,2288497
2021-04-04,2021-04-11,0,2468802
2021-04-11,2021-04-18,10000,2482320
2021-04-18,2021-04-25,10000,2289986
2021-04-25,2021-05-02,20000,2889459
2021-05-02,2021-05-09,10000,2114752
2021-05-09,2021-05-16,0,2036499
2021-05-16,2021-05-23,0,2036777
2021-05-23,2021-05-30,0,1920442
2021-05-30,2021-06-06,0,2015125
2021-06-06,2021-06-13,10000,1940908
2021-06-13,2021-06-20,10000,1889847
2021-06-20,2021-06-27,10000,1965338
2021-06-27,2021-07-04,0,1794843
2021-07-04,2021-07-11,10000,1706320
2021-07-11,2021-07-18,10000,1761973
2021-07-18,2021-07-25,0,1795440
2021-07-25,2021-08-01,10000,2003072
2021-08-01,2021-08-08,10000,1610001
2021-08-08,2021-08-15,0,1773382
2021-08-15,2021-08-22,10000,1579109
2021-08-22,2021-08-29,10000,1518700
2021-08-29,2021-09-05,0,1538301
2021-09-05,2021-09-12,10000,1492863
2021-09-12,2021-09-19,0,1518944
2021-09-19,2021-09-26,10000,1506274
2021-09-26,2021-10-03,0,1535389
2021-10-03,2021-10-10,10000,1293606
2021-10-10,2021-10-17,0,1239174
2021-10-17,2021-10-24,10000,1296922
2021-10-24,2021-10-31,0,1300990
2021-10-31,2021-11-07,0,1363248
2021-11-07,2021-11-14,10000,1531696
2021-11-14,2021-11-21,0,1531632
2021-11-21,2021-11-28,10000,1435471
2021-11-28,2021-12-05,0,1277052
2021-12-05,2021-12-12,0,1195321
2021-12-12,2021-12-19,0,1313938
2021-12-19,2021-12-26,10000,1183208
2021-12-26,2022-01-02,0,1373260
2022-01-02,2022-01-09,10000,1789005
2022-01-09,2022-01-16,0,2060768
2022-01-16,2022-01-23,10000,1726162
2022-01-23,2022-01-30,10000,1458789
2022-01-30,2022-02-06,0,1430804
2022-02-06,2022-02-13,10000,1529766
2022-02-13,2022-02-20,0,1696605
2022-02-20,2022-02-27,10000,1194936
2022-02-27,2022-03-06,0,1588458
2022-03-06,2022-03-13,10000,1657114
2022-03-13,2022-03-20,0,1531161
2022-03-20,2022-03-27,0,1324932
2022-03-27,2022-04-03,0,1357018
2022-04-03,2022-04-10,0,1043650
2022-04-10,2022-04-17,10000,1095471
2022-04-17,2022-04-24,0,1160430
2022-04-24,2022-05-01,0,971915
2022-05-01,2022-05-08,10000,1124084
2022-05-08,2022-05-15,0,1226181
2022-05-15,2022-05-22,10000,1379899
