start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,9858,1619490
2019-06-02,2019-06-09,20573,3342349
2019-06-09,2019-06-16,17077,2713843
2019-06-16,2019-06-23,18026,3015738
2019-06-23,2019-06-30,14608,2551020
2019-06-30,2019-07-07,11756,2904045
2019-07-07,2019-07-14,10494,2501075
2019-07-14,2019-07-21,9887,1812712
2019-07-21,2019-07-28,15495,2176715
2019-07-28,2019-08-04,20293,3569235
2019-08-04,2019-08-11,17843,3618513
2019-08-11,2019-08-18,17418,3742026
2019-08-18,2019-08-25,15584,3320091
2019-08-25,2019-09-01,13648,3957092
2019-09-01,2019-09-08,11175,2583312
2019-09-08,2019-09-15,11684,2766004
2019-09-15,2019-09-22,9274,2087204
2019-09-22,2019-09-29,0,1483863
2019-09-29,2019-10-06,0,2084728
2019-10-06,2019-10-13,10000,1353222
2019-10-13,2019-10-20,0,1210972
2019-10-20,2019-10-27,10000,985194
2019-10-27,2019-11-03,0,898067
2019-11-03,2019-11-10,0,702350
2019-11-10,2019-11-17,10000,961172
2019-11-17,2019-11-24,0,891540
2019-11-24,2019-12-01,0,752136
2019-12-01,2019-12-08,10000,666142
2019-12-08,2019-12-15,0,808607
2019-12-15,2019-12-22,0,882040
2019-12-22,2019-12-29,10000,928227
2019-12-29,2020-01-05,0,1199410
2020-01-05,2020-01-12,0,1322427
2020-01-12,2020-01-19,0,1983776
2020-01-19,2020-01-26,10000,130140740
2020-01-26,2020-02-02,10000,1738285
2020-02-02,2020-02-09,20000,1338286
2020-02-09,2020-02-16,20000,1208228
2020-02-16,2020-02-23,10000,1379480
2020-02-23,2020-03-01,10000,2323485
2020-03-01,2020-03-08,10000,3708207
2020-03-08,2020-03-15,10000,3767048
2020-03-15,2020-03-22,20000,3605805
2020-03-22,2020-03-29,40000,3593833
2020-03-29,2020-04-05,40000,3446255
2020-04-05,2020-04-12,30000,3060400
2020-04-12,2020-04-19,30000,11314296
2020-04-19,2020-04-26,30000,3006789
2020-04-26,2020-05-03,20000,2914418
2020-05-03,2020-05-10,20000,2590320
2020-05-10,2020-05-17,30000,2412905
2020-05-17,2020-05-24,20000,2331673
2020-05-24,2020-05-31,20000,2091174
2020-05-31,2020-06-07,20000,2188835
2020-06-07,2020-06-14,10000,1793760
2020-06-14,2020-06-21,10000,2142013
2020-06-21,2020-06-28,20000,1878312
2020-06-28,2020-07-05,10000,1833462
2020-07-05,2020-07-12,20000,1731574
2020-07-12,2020-07-19,10000,2090217
2020-07-19,2020-07-26,10000,2272872
2020-07-26,2020-08-02,10000,2144830
2020-08-02,2020-08-09,10000,1988317
2020-08-09,2020-08-16,20000,2313730
2020-08-16,2020-08-23,10000,2036361
2020-08-23,2020-08-30,10000,1963827
2020-08-30,2020-09-06,10000,1750145
2020-09-06,2020-09-13,10000,1664188
2020-09-13,2020-09-20,20000,1672748
2020-09-20,2020-09-27,10000,1516836
2020-09-27,2020-10-04,10000,1507996
2020-10-04,2020-10-11,10000,1580496
2020-10-11,2020-10-18,10000,1588575
2020-10-18,2020-10-25,10000,1640195
2020-10-25,2020-11-01,10000,1650771
2020-11-01,2020-11-08,10000,1447024
2020-11-08,2020-11-15,0,1500958
2020-11-15,2020-11-22,0,1481250
2020-11-22,2020-11-29,10000,1202713
2020-11-29,2020-12-06,10000,1486769
2020-12-06,2020-12-13,10000,2189305
2020-12-13,2020-12-20,10000,2184131
2020-12-20,2020-12-27,0,2035820
2020-12-27,2021-01-03,10000,2046889
2021-01-03,2021-01-10,10000,2089920
2021-01-10,2021-01-17,20000,1887187
2021-01-17,2021-01-24,10000,1846391
2021-01-24,2021-01-31,20000,1689595
2021-01-31,2021-02-07,10000,1670426
2021-02-07,2021-02-14,10000,1663334
2021-02-14,2021-02-21,10000,1689208
2021-02-21,2021-02-28,10000,1549770
2021-02-28,2021-03-07,10000,1445105
2021-03-07,2021-03-14,10000,1411528
2021-03-14,2021-03-21,10000,1470975
2021-03-21,2021-03-28,10000,1428786
2021-03-28,2021-04-04,10000,1377601
2021-04-04,2021-04-11,0,1283625
2021-04-11,2021-04-18,10000,1305197
2021-04-18,2021-04-25,10000,1205316
2021-04-25,2021-05-02,10000,1131849
2021-05-02,2021-05-09,10000,1252580
2021-05-09,2021-05-16,0,1237490
2021-05-16,2021-05-23,10000,1183407
2021-05-23,2021-05-30,0,1124291
2021-05-30,2021-06-06,10000,1161348
2021-06-06,2021-06-13,0,1386210
2021-06-13,2021-06-20,0,1204995
2021-06-20,2021-06-27,0,1363848
2021-06-27,2021-07-04,0,1104954
2021-07-04,2021-07-11,10000,1170367
2021-07-11,2021-07-18,0,1164326
2021-07-18,2021-07-25,0,1188109
2021-07-25,2021-08-01,10000,1557550
2021-08-01,2021-08-08,0,1430469
2021-08-08,2021-08-15,0,1023684
2021-08-15,2021-08-22,10000,1000359
2021-08-22,2021-08-29,0,1085897
2021-08-29,2021-09-05,10000,1967506
2021-09-05,2021-09-12,0,3696761
2021-09-12,2021-09-19,0,1021745
2021-09-19,2021-09-26,0,946009
2021-09-26,2021-10-03,20000,959815
2021-10-03,2021-10-10,20000,1008963
2021-10-10,2021-10-17,0,1026462
2021-10-17,2021-10-24,0,1011617
2021-10-24,2021-10-31,10000,936315
2021-10-31,2021-11-07,0,1396406
2021-11-07,2021-11-14,10000,9633667
2021-11-14,2021-11-21,10000,4508193
2021-11-21,2021-11-28,10000,2124265
2021-11-28,2021-12-05,10000,6369182
2021-12-05,2021-12-12,40000,2946663
2021-12-12,2021-12-19,20000,3635449
2021-12-19,2021-12-26,10000,5315069
2021-12-26,2022-01-02,30000,4259302
2022-01-02,2022-01-09,10000,7615906
2022-01-09,2022-01-16,20000,4593797
2022-01-16,2022-01-23,20000,4726299
2022-01-23,2022-01-30,20000,3987061
2022-01-30,2022-02-06,20000,7403079
2022-02-06,2022-02-13,20000,7286258
2022-02-13,2022-02-20,10000,11387418
2022-02-20,2022-02-27,10000,9160237
2022-02-27,2022-03-06,30000,2763496
2022-03-06,2022-03-13,20000,4839911
2022-03-13,2022-03-20,40000,6028253
2022-03-20,2022-03-27,20000,5024065
2022-03-27,2022-04-03,10000,6726394
2022-04-03,2022-04-10,10000,7124456
2022-04-10,2022-04-17,10000,4814079
2022-04-17,2022-04-24,10000,3753047
