start_date,end_date,weekly_subscribers,weekly_views
2019-05-28,2019-06-04,1499,365244
2019-06-02,2019-06-09,1992,596339
2019-06-09,2019-06-16,1750,581715
2019-06-16,2019-06-23,2015,600105
2019-06-23,2019-06-30,1382,568858
2019-06-30,2019-07-07,1430,569650
2019-07-07,2019-07-14,1680,572790
2019-07-14,2019-07-21,1341,544504
2019-07-21,2019-07-28,1844,572725
2019-07-28,2019-08-04,1540,555972
2019-08-04,2019-08-11,1408,535120
2019-08-11,2019-08-18,967,490521
2019-08-18,2019-08-25,716,469463
2019-08-25,2019-09-01,884,435361
2019-09-01,2019-09-08,691,417813
2019-09-08,2019-09-15,388,410732
2019-09-15,2019-09-22,0,392796
2019-09-22,2019-09-29,0,383363
2019-09-29,2019-10-06,0,384583
2019-10-06,2019-10-13,0,370163
2019-10-13,2019-10-20,0,361748
2019-10-20,2019-10-27,0,352188
2019-10-27,2019-11-03,0,343452
2019-11-03,2019-11-10,0,358370
2019-11-10,2019-11-17,0,359559
2019-11-17,2019-11-24,0,351679
2019-11-24,2019-12-01,0,321590
2019-12-01,2019-12-08,0,327574
2019-12-08,2019-12-15,0,313422
2019-12-15,2019-12-22,0,297717
2019-12-22,2019-12-29,0,271915
2019-12-29,2020-01-05,0,339946
2020-01-05,2020-01-12,0,410716
2020-01-12,2020-01-19,0,387277
2020-01-19,2020-01-26,0,363684
2020-01-26,2020-02-02,0,373336
2020-02-02,2020-02-09,0,411181
2020-02-09,2020-02-16,0,387873
2020-02-16,2020-02-23,0,408745
2020-02-23,2020-03-01,0,436206
2020-03-01,2020-03-08,0,456639
2020-03-08,2020-03-15,0,493681
2020-03-15,2020-03-22,0,825300
2020-03-22,2020-03-29,10000,1077986
2020-03-29,2020-04-05,0,1118786
2020-04-05,2020-04-12,10000,1142961
2020-04-12,2020-04-19,0,1144608
2020-04-19,2020-04-26,10000,1099347
2020-04-26,2020-05-03,0,1011675
2020-05-03,2020-05-10,0,936122
2020-05-10,2020-05-17,0,874397
2020-05-17,2020-05-24,10000,775689
2020-05-24,2020-05-31,0,738135
2020-05-31,2020-06-07,0,713504
2020-06-07,2020-06-14,0,667976
2020-06-14,2020-06-21,0,626276
