start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,9884,891626
2019-06-02,2019-06-09,20825,1986028
2019-06-09,2019-06-16,21117,1959558
2019-06-16,2019-06-23,24152,2067886
2019-06-23,2019-06-30,21150,1924569
2019-06-30,2019-07-07,20620,2010750
2019-07-07,2019-07-14,21784,2054605
2019-07-14,2019-07-21,20743,1982370
2019-07-21,2019-07-28,20696,1940034
2019-07-28,2019-08-04,21816,2032550
2019-08-04,2019-08-11,22336,2065572
2019-08-11,2019-08-18,21946,2038666
2019-08-18,2019-08-25,21146,1991076
2019-08-25,2019-09-01,20949,1960061
2019-09-01,2019-09-08,22330,2064908
2019-09-08,2019-09-15,21144,2083969
2019-09-15,2019-09-22,18612,1979158
2019-09-22,2019-09-29,20000,2305492
2019-09-29,2019-10-06,20000,1984824
2019-10-06,2019-10-13,20000,1913701
2019-10-13,2019-10-20,20000,1887603
2019-10-20,2019-10-27,20000,1895778
2019-10-27,2019-11-03,20000,1949755
2019-11-03,2019-11-10,20000,2071302
2019-11-10,2019-11-17,20000,2069864
2019-11-17,2019-11-24,20000,2042105
2019-11-24,2019-12-01,20000,1844869
2019-12-01,2019-12-08,10000,1993082
2019-12-08,2019-12-15,10000,1870394
2019-12-15,2019-12-22,10000,1834051
2019-12-22,2019-12-29,20000,1738703
2019-12-29,2020-01-05,100000,4423920
2020-01-05,2020-01-12,40000,4485205
2020-01-12,2020-01-19,30000,3926080
2020-01-19,2020-01-26,30000,3660925
2020-01-26,2020-02-02,30000,3517840
2020-02-02,2020-02-09,30000,3151914
2020-02-09,2020-02-16,20000,2831297
2020-02-16,2020-02-23,30000,2788588
2020-02-23,2020-03-01,30000,2752852
2020-03-01,2020-03-08,30000,2695961
2020-03-08,2020-03-15,40000,2934991
2020-03-15,2020-03-22,130000,6957069
2020-03-22,2020-03-29,160000,9214126
2020-03-29,2020-04-05,150000,9806559
2020-04-05,2020-04-12,120000,9314004
2020-04-12,2020-04-19,110000,9605349
2020-04-19,2020-04-26,110000,9054485
2020-04-26,2020-05-03,100000,8928929
2020-05-03,2020-05-10,90000,8185977
2020-05-10,2020-05-17,80000,7834210
2020-05-17,2020-05-24,70000,6997467
2020-05-24,2020-05-31,50000,6323937
2020-05-31,2020-06-07,50000,6030747
2020-06-07,2020-06-14,40000,5624435
2020-06-14,2020-06-21,40000,5493625
2020-06-21,2020-06-28,50000,5030551
2020-06-28,2020-07-05,40000,4965741
2020-07-05,2020-07-12,40000,5174502
2020-07-12,2020-07-19,40000,4624927
2020-07-19,2020-07-26,40000,4535985
2020-07-26,2020-08-02,40000,4513821
2020-08-02,2020-08-09,30000,4344382
2020-08-09,2020-08-16,40000,4277498
2020-08-16,2020-08-23,40000,4267445
2020-08-23,2020-08-30,40000,4173104
2020-08-30,2020-09-06,40000,4288195
2020-09-06,2020-09-13,40000,4263399
2020-09-13,2020-09-20,30000,4286550
2020-09-20,2020-09-27,30000,4087366
2020-09-27,2020-10-04,30000,4099620
2020-10-04,2020-10-11,30000,4177858
2020-10-11,2020-10-18,30000,4121001
2020-10-18,2020-10-25,30000,4298259
2020-10-25,2020-11-01,30000,4362327
2020-11-01,2020-11-08,30000,4403740
2020-11-08,2020-11-15,40000,4621451
2020-11-15,2020-11-22,40000,4555115
2020-11-22,2020-11-29,40000,4163544
2020-11-29,2020-12-06,30000,4564837
2020-12-06,2020-12-13,30000,4337649
2020-12-13,2020-12-20,30000,4157182
2020-12-20,2020-12-27,40000,3481487
2020-12-27,2021-01-03,120000,7900234
2021-01-03,2021-01-10,70000,9299333
2021-01-10,2021-01-17,60000,8607449
2021-01-17,2021-01-24,50000,8268231
2021-01-24,2021-01-31,50000,8111802
2021-01-31,2021-02-07,50000,7362601
2021-02-07,2021-02-14,40000,6396895
2021-02-14,2021-02-21,40000,6166580
2021-02-21,2021-02-28,40000,5660689
2021-02-28,2021-03-07,40000,5374838
2021-03-07,2021-03-14,30000,5246859
2021-03-14,2021-03-21,30000,5072497
2021-03-21,2021-03-28,30000,4924308
2021-03-28,2021-04-04,30000,4303812
2021-04-04,2021-04-11,20000,4520926
2021-04-11,2021-04-18,30000,4358483
2021-04-18,2021-04-25,20000,4104417
2021-04-25,2021-05-02,30000,3995840
2021-05-02,2021-05-09,20000,4169097
2021-05-09,2021-05-16,30000,3834026
2021-05-16,2021-05-23,20000,3603396
2021-05-23,2021-05-30,30000,3433970
2021-05-30,2021-06-06,20000,3461114
2021-06-06,2021-06-13,20000,3480646
2021-06-13,2021-06-20,20000,3271247
2021-06-20,2021-06-27,20000,3298960
2021-06-27,2021-07-04,0,3119232
2021-07-04,2021-07-11,0,3109473
2021-07-11,2021-07-18,0,3062219
2021-07-18,2021-07-25,0,2966892
2021-07-25,2021-08-01,0,3034240
2021-08-01,2021-08-08,0,3227821
2021-08-08,2021-08-15,0,3478265
2021-08-15,2021-08-22,0,3130216
2021-08-22,2021-08-29,100000,2923380
2021-08-29,2021-09-05,0,3189554
2021-09-05,2021-09-12,0,3466706
2021-09-12,2021-09-19,0,3256397
2021-09-19,2021-09-26,100000,3054588
2021-09-26,2021-10-03,0,3238759
2021-10-03,2021-10-10,0,2942592
2021-10-10,2021-10-17,0,2769285
2021-10-17,2021-10-24,0,2894824
2021-10-24,2021-10-31,0,2822879
2021-10-31,2021-11-07,100000,3222710
2021-11-07,2021-11-14,0,3044650
2021-11-14,2021-11-21,0,2963975
2021-11-21,2021-11-28,0,2710128
2021-11-28,2021-12-05,0,3029448
2021-12-05,2021-12-12,100000,3031027
2021-12-12,2021-12-19,0,2998411
2021-12-19,2021-12-26,0,2384869
2021-12-26,2022-01-02,100000,2671310
2022-01-02,2022-01-09,100000,7762948
2022-01-09,2022-01-16,0,7024935
2022-01-16,2022-01-23,0,7907980
2022-01-23,2022-01-30,100000,6405106
2022-01-30,2022-02-06,0,4800527
2022-02-06,2022-02-13,0,5217785
2022-02-13,2022-02-20,100000,3801170
2022-02-20,2022-02-27,0,4105454
2022-02-27,2022-03-06,0,4546479
2022-03-06,2022-03-13,0,4528637
2022-03-13,2022-03-20,100000,3504296
2022-03-20,2022-03-27,0,2884059
2022-03-27,2022-04-03,0,3387290
2022-04-03,2022-04-10,0,4081227
2022-04-10,2022-04-17,0,2982538
2022-04-17,2022-04-24,0,3709188
2022-04-24,2022-05-01,0,3072283
2022-05-01,2022-05-08,0,3469813
2022-05-08,2022-05-15,0,2866977
2022-05-15,2022-05-22,0,3256392
