start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,20472,4073089
2019-06-02,2019-06-09,36625,10007328
2019-06-09,2019-06-16,39112,9478667
2019-06-16,2019-06-23,27344,7310686
2019-06-23,2019-06-30,44203,10315205
2019-06-30,2019-07-07,36552,10303345
2019-07-07,2019-07-14,23137,8319648
2019-07-14,2019-07-21,69882,12736714
2019-07-21,2019-07-28,62877,13106856
2019-07-28,2019-08-04,53206,12060781
2019-08-04,2019-08-11,54925,13204959
2019-08-11,2019-08-18,82455,17742210
2019-08-18,2019-08-25,55041,13084331
2019-08-25,2019-09-01,51802,13057352
2019-09-01,2019-09-08,33274,10813501
2019-09-08,2019-09-15,25828,8704705
2019-09-15,2019-09-22,23129,7165823
2019-09-22,2019-09-29,30000,9688879
2019-09-29,2019-10-06,50000,10501856
2019-10-06,2019-10-13,40000,12169667
2019-10-13,2019-10-20,50000,11813822
2019-10-20,2019-10-27,40000,10247706
2019-10-27,2019-11-03,40000,9255257
2019-11-03,2019-11-10,40000,9851859
2019-11-10,2019-11-17,30000,9928856
2019-11-17,2019-11-24,30000,8942296
2019-11-24,2019-12-01,40000,11574857
2019-12-01,2019-12-08,20000,8144966
2019-12-08,2019-12-15,30000,9466224
2019-12-15,2019-12-22,40000,11788990
2019-12-22,2019-12-29,30000,8154774
2019-12-29,2020-01-05,30000,7857601
2020-01-05,2020-01-12,50000,12522469
2020-01-12,2020-01-19,50000,11037013
2020-01-19,2020-01-26,50000,12023143
2020-01-26,2020-02-02,20000,9971832
2020-02-02,2020-02-09,30000,9404789
2020-02-09,2020-02-16,40000,12255543
2020-02-16,2020-02-23,60000,14113424
2020-02-23,2020-03-01,80000,14941580
2020-03-01,2020-03-08,40000,10851528
2020-03-08,2020-03-15,50000,13783994
2020-03-15,2020-03-22,70000,15947726
2020-03-22,2020-03-29,60000,12929049
2020-03-29,2020-04-05,50000,12653070
2020-04-05,2020-04-12,50000,13309351
2020-04-12,2020-04-19,40000,11163128
2020-04-19,2020-04-26,30000,9667961
2020-04-26,2020-05-03,40000,11792429
2020-05-03,2020-05-10,40000,11299969
2020-05-10,2020-05-17,50000,13235766
2020-05-17,2020-05-24,50000,12312800
2020-05-24,2020-05-31,50000,12376290
2020-05-31,2020-06-07,60000,12772011
2020-06-07,2020-06-14,50000,14789353
2020-06-14,2020-06-21,80000,17021110
2020-06-21,2020-06-28,50000,13283081
2020-06-28,2020-07-05,50000,11367607
2020-07-05,2020-07-12,40000,10707398
2020-07-12,2020-07-19,60000,15577264
2020-07-19,2020-07-26,50000,13801902
2020-07-26,2020-08-02,40000,12617353
2020-08-02,2020-08-09,40000,11954076
2020-08-09,2020-08-16,40000,14054799
2020-08-16,2020-08-23,40000,11231058
2020-08-23,2020-08-30,50000,14294077
2020-08-30,2020-09-06,40000,10733454
2020-09-06,2020-09-13,40000,10937107
2020-09-13,2020-09-20,40000,13077656
2020-09-20,2020-09-27,70000,13576476
2020-09-27,2020-10-04,40000,8982346
2020-10-04,2020-10-11,40000,11260862
2020-10-11,2020-10-18,50000,11013107
2020-10-18,2020-10-25,40000,10879252
2020-10-25,2020-11-01,20000,10330043
2020-11-01,2020-11-08,20000,9706310
2020-11-08,2020-11-15,20000,11029181
2020-11-15,2020-11-22,20000,10515255
2020-11-22,2020-11-29,10000,8902733
2020-11-29,2020-12-06,20000,8561348
2020-12-06,2020-12-13,30000,9950405
2020-12-13,2020-12-20,20000,8844385
2020-12-20,2020-12-27,30000,9237361
2020-12-27,2021-01-03,20000,8227802
2021-01-03,2021-01-10,20000,11135497
2021-01-10,2021-01-17,30000,9046281
2021-01-17,2021-01-24,20000,9473704
2021-01-24,2021-01-31,20000,9851004
2021-01-31,2021-02-07,20000,9776616
2021-02-07,2021-02-14,30000,11420996
2021-02-14,2021-02-21,30000,10964509
2021-02-21,2021-02-28,20000,10768186
2021-02-28,2021-03-07,20000,8125156
2021-03-07,2021-03-14,10000,8764777
2021-03-14,2021-03-21,10000,7380627
2021-03-21,2021-03-28,10000,6901408
2021-03-28,2021-04-04,30000,9638940
2021-04-04,2021-04-11,20000,9374599
2021-04-11,2021-04-18,20000,9450614
2021-04-18,2021-04-25,20000,8695984
2021-04-25,2021-05-02,20000,7144906
2021-05-02,2021-05-09,80000,15115520
2021-05-09,2021-05-16,50000,12485903
2021-05-16,2021-05-23,20000,8296425
