start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,888,240221
2019-06-02,2019-06-09,4156,712337
2019-06-09,2019-06-16,2985,568815
2019-06-16,2019-06-23,2993,591767
2019-06-23,2019-06-30,2872,543018
2019-06-30,2019-07-07,3135,642549
2019-07-07,2019-07-14,3399,610326
2019-07-14,2019-07-21,2965,550968
2019-07-21,2019-07-28,2540,606444
2019-07-28,2019-08-04,2387,563095
2019-08-04,2019-08-11,3076,649350
2019-08-11,2019-08-18,3233,679873
2019-08-18,2019-08-25,8108,783586
2019-08-25,2019-09-01,3341,640404
2019-09-01,2019-09-08,3164,475610
2019-09-08,2019-09-15,3145,479623
2019-09-15,2019-09-22,3274,662695
2019-09-22,2019-09-29,5000,625426
2019-09-29,2019-10-06,3000,564545
2019-10-06,2019-10-13,4000,505170
2019-10-13,2019-10-20,4000,613615
2019-10-20,2019-10-27,4000,544847
2019-10-27,2019-11-03,4000,645976
2019-11-03,2019-11-10,4000,782559
2019-11-10,2019-11-17,4000,898696
2019-11-17,2019-11-24,4000,875214
2019-11-24,2019-12-01,4000,991656
2019-12-01,2019-12-08,3000,850743
2019-12-08,2019-12-15,4000,953537
2019-12-15,2019-12-22,4000,990433
2019-12-22,2019-12-29,5000,932384
2019-12-29,2020-01-05,10000,1121875
2020-01-05,2020-01-12,7000,1123289
2020-01-12,2020-01-19,5000,1172502
2020-01-19,2020-01-26,4000,1040518
2020-01-26,2020-02-02,3000,846393
2020-02-02,2020-02-09,3000,652404
2020-02-09,2020-02-16,3000,679987
2020-02-16,2020-02-23,4000,677143
2020-02-23,2020-03-01,4000,676225
2020-03-01,2020-03-08,4000,678259
2020-03-08,2020-03-15,4000,715057
2020-03-15,2020-03-22,4000,779907
2020-03-22,2020-03-29,5000,1005777
2020-03-29,2020-04-05,5000,993773
2020-04-05,2020-04-12,6000,1221781
2020-04-12,2020-04-19,8000,1288451
2020-04-19,2020-04-26,9000,1464503
2020-04-26,2020-05-03,7000,1487511
2020-05-03,2020-05-10,6000,1586800
2020-05-10,2020-05-17,7000,1513783
2020-05-17,2020-05-24,8000,1527991
2020-05-24,2020-05-31,6000,1396656
2020-05-31,2020-06-07,6000,1238936
2020-06-07,2020-06-14,5000,1277182
2020-06-14,2020-06-21,6000,1581287
2020-06-21,2020-06-28,6000,1239029
2020-06-28,2020-07-05,5000,1102295
2020-07-05,2020-07-12,7000,1533388
2020-07-12,2020-07-19,0,1067902
2020-07-19,2020-07-26,10000,986832
2020-07-26,2020-08-02,0,1009827
2020-08-02,2020-08-09,10000,973441
2020-08-09,2020-08-16,0,916615
2020-08-16,2020-08-23,10000,1078371
2020-08-23,2020-08-30,10000,1125780
2020-08-30,2020-09-06,0,1200605
2020-09-06,2020-09-13,10000,1348918
2020-09-13,2020-09-20,0,1098601
2020-09-20,2020-09-27,10000,1051630
2020-09-27,2020-10-04,0,816174
2020-10-04,2020-10-11,10000,955783
2020-10-11,2020-10-18,10000,1286703
2020-10-18,2020-10-25,0,887550
2020-10-25,2020-11-01,10000,738862
2020-11-01,2020-11-08,0,694495
2020-11-08,2020-11-15,10000,896560
2020-11-15,2020-11-22,0,981270
2020-11-22,2020-11-29,10000,1202987
2020-11-29,2020-12-06,0,769149
2020-12-06,2020-12-13,10000,990820
2020-12-13,2020-12-20,0,1157877
2020-12-20,2020-12-27,10000,1242633
2020-12-27,2021-01-03,0,1042461
2021-01-03,2021-01-10,0,887190
2021-01-10,2021-01-17,0,1026310
2021-01-17,2021-01-24,10000,989646
2021-01-24,2021-01-31,10000,1247357
2021-01-31,2021-02-07,0,1124411
2021-02-07,2021-02-14,10000,1245323
2021-02-14,2021-02-21,0,1270741
2021-02-21,2021-02-28,10000,996550
2021-02-28,2021-03-07,0,863780
2021-03-07,2021-03-14,10000,811993
2021-03-14,2021-03-21,0,803614
2021-03-21,2021-03-28,0,736371
2021-03-28,2021-04-04,10000,846886
2021-04-04,2021-04-11,0,674930
2021-04-11,2021-04-18,0,872904
2021-04-18,2021-04-25,0,809291
2021-04-25,2021-05-02,10000,853757
2021-05-02,2021-05-09,0,831229
2021-05-09,2021-05-16,0,780951
2021-05-16,2021-05-23,10000,1017485
2021-05-23,2021-05-30,0,1210438
2021-05-30,2021-06-06,0,1330379
2021-06-06,2021-06-13,10000,1280186
2021-06-13,2021-06-20,10000,1309619
2021-06-20,2021-06-27,0,1333334
2021-06-27,2021-07-04,10000,1184196
2021-07-04,2021-07-11,10000,1367149
2021-07-11,2021-07-18,10000,1386241
2021-07-18,2021-07-25,10000,1154027
2021-07-25,2021-08-01,0,1110705
2021-08-01,2021-08-08,0,1053403
2021-08-08,2021-08-15,0,1477746
2021-08-15,2021-08-22,10000,1282802
2021-08-22,2021-08-29,0,1201181
2021-08-29,2021-09-05,10000,1257985
2021-09-05,2021-09-12,0,1128467
