start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,91617,22506013
2019-06-02,2019-06-09,90802,26350034
2019-06-09,2019-06-16,105209,31099728
2019-06-16,2019-06-23,79227,25933802
2019-06-23,2019-06-30,75900,26133888
2019-06-30,2019-07-07,157515,38951576
2019-07-07,2019-07-14,120243,36869571
2019-07-14,2019-07-21,72511,28081887
2019-07-21,2019-07-28,68173,25704130
2019-07-28,2019-08-04,65116,25777529
2019-08-04,2019-08-11,70732,27487121
2019-08-11,2019-08-18,83684,29056795
2019-08-18,2019-08-25,59486,26194647
2019-08-25,2019-09-01,59148,25861119
2019-09-01,2019-09-08,71814,28631006
2019-09-08,2019-09-15,47424,24529488
2019-09-15,2019-09-22,48836,21559144
2019-09-22,2019-09-29,0,24882304
2019-09-29,2019-10-06,100000,22054566
2019-10-06,2019-10-13,100000,26917096
2019-10-13,2019-10-20,100000,33445577
2019-10-20,2019-10-27,100000,26262359
2019-10-27,2019-11-03,0,24404830
2019-11-03,2019-11-10,100000,26451224
2019-11-10,2019-11-17,100000,25735290
2019-11-17,2019-11-24,0,20209347
2019-11-24,2019-12-01,100000,19022424
2019-12-01,2019-12-08,0,21925076
2019-12-08,2019-12-15,0,20230267
2019-12-15,2019-12-22,100000,19662838
2019-12-22,2019-12-29,0,20219527
2019-12-29,2020-01-05,100000,26969859
2020-01-05,2020-01-12,100000,22401489
2020-01-12,2020-01-19,0,19834951
2020-01-19,2020-01-26,100000,18746514
2020-01-26,2020-02-02,100000,19302675
2020-02-02,2020-02-09,0,23799678
2020-02-09,2020-02-16,100000,25534980
2020-02-16,2020-02-23,100000,21970259
2020-02-23,2020-03-01,0,18066318
2020-03-01,2020-03-08,100000,16139090
2020-03-08,2020-03-15,0,18042595
2020-03-15,2020-03-22,100000,27849537
2020-03-22,2020-03-29,200000,36199265
2020-03-29,2020-04-05,100000,36211720
2020-04-05,2020-04-12,200000,36151420
2020-04-12,2020-04-19,100000,29447646
2020-04-19,2020-04-26,100000,26929682
2020-04-26,2020-05-03,100000,27595885
2020-05-03,2020-05-10,0,24538738
2020-05-10,2020-05-17,0,24053166
2020-05-17,2020-05-24,100000,21139405
2020-05-24,2020-05-31,0,18067819
2020-05-31,2020-06-07,0,17179793
2020-06-07,2020-06-14,100000,17439806
2020-06-14,2020-06-21,0,17255586
2020-06-21,2020-06-28,0,15611443
2020-06-28,2020-07-05,100000,13627513
2020-07-05,2020-07-12,0,14771316
2020-07-12,2020-07-19,100000,14730622
2020-07-19,2020-07-26,0,14817921
2020-07-26,2020-08-02,0,13108130
2020-08-02,2020-08-09,100000,11927958
2020-08-09,2020-08-16,0,12051954
2020-08-16,2020-08-23,0,11089052
2020-08-23,2020-08-30,100000,12624057
2020-08-30,2020-09-06,0,15117312
2020-09-06,2020-09-13,0,11523963
2020-09-13,2020-09-20,100000,11049362
2020-09-20,2020-09-27,0,10982906
2020-09-27,2020-10-04,0,10420186
2020-10-04,2020-10-11,0,9393551
2020-10-11,2020-10-18,100000,9443621
2020-10-18,2020-10-25,0,11391593
2020-10-25,2020-11-01,0,11915738
2020-11-01,2020-11-08,100000,12276519
2020-11-08,2020-11-15,0,12375169
2020-11-15,2020-11-22,100000,13699086
2020-11-22,2020-11-29,0,14890912
2020-11-29,2020-12-06,0,14095629
2020-12-06,2020-12-13,0,13794065
2020-12-13,2020-12-20,0,13463597
2020-12-20,2020-12-27,100000,11850742
2020-12-27,2021-01-03,0,10891359
2021-01-03,2021-01-10,0,10696074
2021-01-10,2021-01-17,100000,10669980
2021-01-17,2021-01-24,0,10184487
2021-01-24,2021-01-31,0,12510084
2021-01-31,2021-02-07,100000,12391780
2021-02-07,2021-02-14,0,11386461
2021-02-14,2021-02-21,0,10204677
2021-02-21,2021-02-28,0,9287496
2021-02-28,2021-03-07,100000,9763516
2021-03-07,2021-03-14,0,10541358
2021-03-14,2021-03-21,0,9596071
2021-03-21,2021-03-28,0,9894363
2021-03-28,2021-04-04,100000,10375924
2021-04-04,2021-04-11,0,10091263
2021-04-11,2021-04-18,0,10638983
2021-04-18,2021-04-25,0,9698193
2021-04-25,2021-05-02,0,8392993
2021-05-02,2021-05-09,0,7906571
2021-05-09,2021-05-16,0,6887188
2021-05-16,2021-05-23,0,7761338
2021-05-23,2021-05-30,0,8215511
2021-05-30,2021-06-06,0,11022747
2021-06-06,2021-06-13,100000,11488955
2021-06-13,2021-06-20,0,10811586
2021-06-20,2021-06-27,0,10501489
2021-06-27,2021-07-04,0,9057204
2021-07-04,2021-07-11,0,8216635
2021-07-11,2021-07-18,0,7312503
2021-07-18,2021-07-25,0,7105112
2021-07-25,2021-08-01,0,6448075
2021-08-01,2021-08-08,0,5560093
2021-08-08,2021-08-15,0,6177476
2021-08-15,2021-08-22,0,5641309
2021-08-22,2021-08-29,0,5193213
2021-08-29,2021-09-05,0,5520029
2021-09-05,2021-09-12,0,5489092
2021-09-12,2021-09-19,0,6076984
2021-09-19,2021-09-26,0,6307404
2021-09-26,2021-10-03,0,6376786
2021-10-03,2021-10-10,0,5340248
2021-10-10,2021-10-17,0,4513083
2021-10-17,2021-10-24,0,5507075
2021-10-24,2021-10-31,0,6085499
2021-10-31,2021-11-07,100000,7536664
2021-11-07,2021-11-14,0,7218903
2021-11-14,2021-11-21,0,6540035
2021-11-21,2021-11-28,0,5868479
2021-11-28,2021-12-05,0,4572365
2021-12-05,2021-12-12,0,5562589
2021-12-12,2021-12-19,0,5354583
2021-12-19,2021-12-26,0,6370427
2021-12-26,2022-01-02,0,7657240
2022-01-02,2022-01-09,100000,6027665
2022-01-09,2022-01-16,0,9650136
2022-01-16,2022-01-23,0,8648585
2022-01-23,2022-01-30,0,8483295
2022-01-30,2022-02-06,0,4859619
2022-02-06,2022-02-13,0,4859445
2022-02-13,2022-02-20,0,4609933
2022-02-20,2022-02-27,0,3533108
2022-02-27,2022-03-06,0,4710347
2022-03-06,2022-03-13,0,5292175
2022-03-13,2022-03-20,100000,3813764
2022-03-20,2022-03-27,0,4920590
2022-03-27,2022-04-03,0,4230748
2022-04-03,2022-04-10,0,4759670
2022-04-10,2022-04-17,0,4812852
2022-04-17,2022-04-24,0,4766199
2022-04-24,2022-05-01,0,4884799
2022-05-01,2022-05-08,0,4556439
2022-05-08,2022-05-15,0,4222217
2022-05-15,2022-05-22,0,4131009
