start_date,end_date,weekly_subscribers,weekly_views
2019-06-02,2019-06-09,189,71950
2019-06-09,2019-06-16,32,126287
2019-06-16,2019-06-23,5,57912
2019-06-30,2019-07-07,82,53334
2019-07-07,2019-07-14,153,93689
2019-07-14,2019-07-21,369,69340
2019-07-21,2019-07-28,386,62366
2019-07-28,2019-08-04,119,77616
2019-08-04,2019-08-11,12,78688
2019-08-25,2019-09-01,71,69642
2019-09-08,2019-09-15,21,58876
2019-09-22,2019-09-29,0,90431
2019-09-29,2019-10-06,0,60904
2019-10-06,2019-10-13,0,53376
2019-10-13,2019-10-20,0,78459
2019-10-20,2019-10-27,0,53232
2019-10-27,2019-11-03,0,83281
2019-11-03,2019-11-10,0,87708
2019-11-10,2019-11-17,0,120637
2019-11-17,2019-11-24,0,75993
2019-11-24,2019-12-01,0,53568
2019-12-01,2019-12-08,0,52118
2019-12-08,2019-12-15,0,50096
2019-12-15,2019-12-22,0,52781
2019-12-22,2019-12-29,0,66773
2019-12-29,2020-01-05,0,53149
2020-01-05,2020-01-12,0,52319
2020-01-12,2020-01-19,0,41936
2020-01-19,2020-01-26,0,67370
2020-01-26,2020-02-02,0,110358
2020-02-02,2020-02-09,0,65342
2020-02-09,2020-02-16,0,48854
2020-02-16,2020-02-23,0,43504
2020-02-23,2020-03-01,0,44573
2020-03-01,2020-03-08,0,42756
2020-03-08,2020-03-15,0,40484
2020-03-15,2020-03-22,0,42453
2020-03-22,2020-03-29,0,44487
2020-03-29,2020-04-05,0,41789
2020-04-05,2020-04-12,0,40441
2020-04-12,2020-04-19,0,39124
2020-04-19,2020-04-26,0,87602
2020-04-26,2020-05-03,0,59214
2020-05-03,2020-05-10,0,63932
2020-05-10,2020-05-17,0,70883
2020-05-17,2020-05-24,0,72230
2020-05-24,2020-05-31,0,63692
2020-05-31,2020-06-07,0,64646
2020-06-07,2020-06-14,0,67117
2020-06-14,2020-06-21,0,85529
2020-06-21,2020-06-28,0,66403
2020-06-28,2020-07-05,0,60462
2020-07-05,2020-07-12,0,86158
2020-07-12,2020-07-19,0,96999
2020-07-19,2020-07-26,0,115968
2020-07-26,2020-08-02,0,65927
2020-08-02,2020-08-09,0,103042
2020-08-09,2020-08-16,0,57926
2020-08-16,2020-08-23,0,52798
2020-08-23,2020-08-30,0,78217
2020-08-30,2020-09-06,0,86811
2020-09-06,2020-09-13,0,49617
2020-09-13,2020-09-20,0,46079
2020-09-20,2020-09-27,0,49365
2020-10-04,2020-10-11,0,46097
2020-10-11,2020-10-18,0,65927
2020-10-18,2020-10-25,0,43416
2020-10-25,2020-11-01,0,41711
2020-11-01,2020-11-08,0,40556
2020-11-08,2020-11-15,0,40172
2020-11-15,2020-11-22,0,39672
2020-11-22,2020-11-29,0,68423
2020-11-29,2020-12-06,0,63292
2020-12-06,2020-12-13,0,38786
2020-12-13,2020-12-20,0,36743
2020-12-20,2020-12-27,0,57567
2020-12-27,2021-01-03,0,38204
2021-01-03,2021-01-10,0,42758
2021-01-10,2021-01-17,0,58438
2021-01-17,2021-01-24,0,82784
2021-01-24,2021-01-31,10000,71595
2021-01-31,2021-02-07,0,101618
2021-02-07,2021-02-14,0,115137
2021-02-14,2021-02-21,0,85212
2021-02-21,2021-02-28,0,37644
2021-02-28,2021-03-07,0,41760
2021-03-07,2021-03-14,0,146371
2021-03-14,2021-03-21,0,144741
2021-03-21,2021-03-28,0,62944
2021-03-28,2021-04-04,0,51935
2021-04-04,2021-04-11,0,73298
2021-04-11,2021-04-18,0,43948
2021-04-18,2021-04-25,0,31632
2021-04-25,2021-05-02,0,30408
2021-05-02,2021-05-09,0,30975
2021-05-09,2021-05-16,0,30897
2021-05-16,2021-05-23,0,30201
2021-05-23,2021-05-30,0,28906
2021-05-30,2021-06-06,0,28352
2021-06-06,2021-06-13,0,26949
2021-06-13,2021-06-20,0,27877
2021-06-20,2021-06-27,0,29558
2021-07-04,2021-07-11,0,25321
2021-07-11,2021-07-18,0,23875
2021-07-18,2021-07-25,0,22805
2021-07-25,2021-08-01,0,23851
2021-08-01,2021-08-08,0,22576
2021-08-08,2021-08-15,0,21954
2021-08-15,2021-08-22,0,21455
2021-08-22,2021-08-29,0,20777
2021-08-29,2021-09-05,0,22495
2021-09-05,2021-09-12,0,35163
2021-09-12,2021-09-19,0,27817
2021-09-19,2021-09-26,0,23573
2021-09-26,2021-10-03,0,24593
2021-10-03,2021-10-10,0,27108
2021-10-10,2021-10-17,0,21896
2021-10-17,2021-10-24,0,19873
2021-10-24,2021-10-31,0,21357
2021-10-31,2021-11-07,0,21609
2021-11-07,2021-11-14,0,39167
2021-11-14,2021-11-21,0,28949
2021-11-21,2021-11-28,0,28964
2021-11-28,2021-12-05,0,23457
2021-12-05,2021-12-12,0,23303
2021-12-12,2021-12-19,0,26517
2021-12-19,2021-12-26,0,20679
2021-12-26,2022-01-02,0,20594
2022-01-02,2022-01-09,0,21719
2022-01-09,2022-01-16,0,21750
2022-01-16,2022-01-23,0,33476
2022-01-23,2022-01-30,0,21431
2022-01-30,2022-02-06,0,16479
2022-02-06,2022-02-13,0,58086
2022-02-13,2022-02-20,0,30592
2022-02-20,2022-02-27,0,23176
2022-02-27,2022-03-06,0,28065
2022-03-06,2022-03-13,0,27245
2022-03-13,2022-03-20,0,27590
2022-03-20,2022-03-27,0,17606
2022-03-27,2022-04-03,0,23251
2022-04-03,2022-04-10,0,17835
2022-04-10,2022-04-17,0,19597
2022-04-17,2022-04-24,0,18120
2022-04-24,2022-05-01,0,17764
2022-05-01,2022-05-08,0,18496
2022-05-08,2022-05-15,0,18431
2022-05-15,2022-05-22,0,14946
