start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,3349,918529
2019-06-02,2019-06-09,6106,1663810
2019-06-09,2019-06-16,8073,1926274
2019-06-16,2019-06-23,7974,1882860
2019-06-23,2019-06-30,6402,1698473
2019-06-30,2019-07-07,6620,1720463
2019-07-07,2019-07-14,6301,1808889
2019-07-14,2019-07-21,7433,2111901
2019-07-21,2019-07-28,8009,1919412
2019-07-28,2019-08-04,7397,1943645
2019-08-04,2019-08-11,8903,2226154
2019-08-11,2019-08-18,8071,2157667
2019-08-18,2019-08-25,8812,2043936
2019-08-25,2019-09-01,8341,1754604
2019-09-01,2019-09-08,8459,2144591
2019-09-08,2019-09-15,7712,2129500
2019-09-15,2019-09-22,1587,2053573
2019-09-22,2019-09-29,10000,2289691
2019-09-29,2019-10-06,0,2104340
2019-10-06,2019-10-13,0,2164076
2019-10-13,2019-10-20,10000,2097650
2019-10-20,2019-10-27,10000,2059254
2019-10-27,2019-11-03,10000,2204947
2019-11-03,2019-11-10,10000,1855994
2019-11-10,2019-11-17,10000,2389235
2019-11-17,2019-11-24,10000,2758653
2019-11-24,2019-12-01,10000,2532970
2019-12-01,2019-12-08,10000,2232845
2019-12-08,2019-12-15,10000,2273635
2019-12-15,2019-12-22,20000,2227089
2019-12-22,2019-12-29,10000,2432240
2019-12-29,2020-01-05,10000,2682570
2020-01-05,2020-01-12,20000,2525403
2020-01-12,2020-01-19,10000,2672252
2020-01-19,2020-01-26,20000,2759577
2020-01-26,2020-02-02,0,2331859
2020-02-02,2020-02-09,10000,2221725
2020-02-09,2020-02-16,10000,2170517
2020-02-16,2020-02-23,10000,2228253
2020-02-23,2020-03-01,10000,2095580
2020-03-01,2020-03-08,10000,1852615
2020-03-08,2020-03-15,0,2272722
2020-03-15,2020-03-22,10000,2900643
2020-03-22,2020-03-29,30000,3655085
2020-03-29,2020-04-05,20000,3531169
2020-04-05,2020-04-12,20000,3707385
2020-04-12,2020-04-19,20000,3422410
2020-04-19,2020-04-26,20000,2903051
2020-04-26,2020-05-03,10000,2860610
2020-05-03,2020-05-10,20000,2935744
2020-05-10,2020-05-17,10000,2764368
2020-05-17,2020-05-24,10000,2534839
2020-05-24,2020-05-31,10000,1969088
2020-05-31,2020-06-07,10000,2029160
2020-06-07,2020-06-14,10000,2214214
2020-06-14,2020-06-21,10000,2194114
2020-06-21,2020-06-28,10000,2028200
2020-06-28,2020-07-05,10000,2127878
2020-07-05,2020-07-12,0,2008514
2020-07-12,2020-07-19,10000,2148812
2020-07-19,2020-07-26,10000,2178380
2020-07-26,2020-08-02,10000,2128428
2020-08-02,2020-08-09,10000,2016619
2020-08-09,2020-08-16,10000,2216106
2020-08-16,2020-08-23,10000,2490552
2020-08-23,2020-08-30,10000,2293962
2020-08-30,2020-09-06,10000,1913894
2020-09-06,2020-09-13,10000,2170206
2020-09-13,2020-09-20,10000,2034741
2020-09-20,2020-09-27,10000,2338313
2020-09-27,2020-10-04,10000,2251426
2020-10-04,2020-10-11,10000,2274245
2020-10-11,2020-10-18,10000,2200433
2020-10-18,2020-10-25,10000,2086857
2020-10-25,2020-11-01,10000,2075441
2020-11-01,2020-11-08,10000,1937675
2020-11-08,2020-11-15,10000,2105608
2020-11-15,2020-11-22,10000,2360262
2020-11-22,2020-11-29,10000,2857665
2020-11-29,2020-12-06,10000,2256776
2020-12-06,2020-12-13,0,2312172
2020-12-13,2020-12-20,0,2337677
2020-12-20,2020-12-27,10000,2597780
2020-12-27,2021-01-03,10000,1982594
2021-01-03,2021-01-10,10000,2084599
2021-01-10,2021-01-17,0,1994540
2021-01-17,2021-01-24,10000,1935625
2021-01-24,2021-01-31,10000,2132655
2021-01-31,2021-02-07,10000,2093562
2021-02-07,2021-02-14,0,1995993
2021-02-14,2021-02-21,10000,1866741
2021-02-21,2021-02-28,10000,1850556
2021-02-28,2021-03-07,0,1643799
2021-03-07,2021-03-14,10000,1718186
2021-03-14,2021-03-21,0,1586053
2021-03-21,2021-03-28,10000,1442157
2021-03-28,2021-04-04,0,1610633
2021-04-04,2021-04-11,10000,1584093
2021-04-11,2021-04-18,10000,1772657
2021-04-18,2021-04-25,0,1815369
2021-04-25,2021-05-02,10000,1619414
2021-05-02,2021-05-09,10000,1580905
2021-05-09,2021-05-16,0,1449436
2021-05-16,2021-05-23,0,1302809
2021-05-23,2021-05-30,10000,1274974
2021-05-30,2021-06-06,0,1185008
2021-06-06,2021-06-13,10000,1473205
2021-06-13,2021-06-20,0,1296853
2021-06-20,2021-06-27,0,1300945
2021-06-27,2021-07-04,10000,1125969
2021-07-04,2021-07-11,0,1202434
2021-07-11,2021-07-18,10000,1406066
2021-07-18,2021-07-25,0,1296744
2021-07-25,2021-08-01,0,1176394
2021-08-01,2021-08-08,0,1133821
2021-08-08,2021-08-15,0,1350258
2021-08-15,2021-08-22,10000,1278564
2021-08-22,2021-08-29,0,1092390
2021-08-29,2021-09-05,0,1031243
2021-09-05,2021-09-12,0,1108070
2021-09-12,2021-09-19,0,1126657
2021-09-19,2021-09-26,0,1150388
2021-09-26,2021-10-03,10000,1326853
2021-10-03,2021-10-10,0,1218831
2021-10-10,2021-10-17,0,1022873
2021-10-17,2021-10-24,10000,1223433
2021-10-24,2021-10-31,0,1190301
2021-10-31,2021-11-07,10000,1242461
2021-11-07,2021-11-14,0,1375972
2021-11-14,2021-11-21,10000,1482642
2021-11-21,2021-11-28,10000,1791742
2021-11-28,2021-12-05,0,965800
2021-12-05,2021-12-12,0,1302048
2021-12-12,2021-12-19,10000,1829749
2021-12-19,2021-12-26,10000,2401620
2021-12-26,2022-01-02,0,1816793
2022-01-02,2022-01-09,10000,1568349
2022-01-09,2022-01-16,10000,1963015
2022-01-16,2022-01-23,0,1744307
2022-01-23,2022-01-30,0,1600365
2022-01-30,2022-02-06,0,1669290
2022-02-06,2022-02-13,10000,1438649
2022-02-13,2022-02-20,0,1572870
2022-02-20,2022-02-27,10000,1882092
2022-02-27,2022-03-06,0,1493355
2022-03-06,2022-03-13,0,1540659
2022-03-13,2022-03-20,0,1397688
2022-03-20,2022-03-27,10000,1414938
2022-03-27,2022-04-03,0,1351464
2022-04-03,2022-04-10,10000,1363959
2022-04-10,2022-04-17,0,1528044
2022-04-17,2022-04-24,10000,1363078
2022-04-24,2022-05-01,0,1195914
2022-05-01,2022-05-08,0,1089368
2022-05-08,2022-05-15,10000,1630006
2022-05-15,2022-05-22,0,1306534
