start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,16677,3875126
2019-06-02,2019-06-09,38310,8631280
2019-06-09,2019-06-16,65542,11861644
2019-06-16,2019-06-23,79675,16109734
2019-06-23,2019-06-30,62769,12559130
2019-06-30,2019-07-07,387685,29100982
2019-07-07,2019-07-14,76965,17534952
2019-07-14,2019-07-21,78882,17332594
2019-07-21,2019-07-28,77647,16439558
2019-07-28,2019-08-04,66490,15675376
2019-08-04,2019-08-11,38781,9203470
2019-08-11,2019-08-18,48728,11320209
2019-08-18,2019-08-25,61623,12453321
2019-08-25,2019-09-01,72390,16238076
2019-09-01,2019-09-08,74580,17844961
2019-09-08,2019-09-15,57763,16393243
2019-09-15,2019-09-22,12558,13412022
2019-09-22,2019-09-29,100000,12278008
2019-09-29,2019-10-06,0,9967595
2019-10-06,2019-10-13,100000,10487059
2019-10-13,2019-10-20,0,9067639
2019-10-20,2019-10-27,100000,9871390
2019-10-27,2019-11-03,0,11693041
2019-11-03,2019-11-10,100000,10804694
2019-11-10,2019-11-17,100000,14196603
2019-11-17,2019-11-24,100000,17867604
2019-11-24,2019-12-01,0,9611612
2019-12-01,2019-12-08,100000,9141505
2019-12-08,2019-12-15,0,9320019
2019-12-15,2019-12-22,100000,14153484
2019-12-22,2019-12-29,100000,19494777
2019-12-29,2020-01-05,100000,17080158
2020-01-05,2020-01-12,100000,15756894
2020-01-12,2020-01-19,0,17312090
2020-01-19,2020-01-26,0,15953064
2020-01-26,2020-02-02,100000,10150126
2020-02-02,2020-02-09,0,9741414
2020-02-09,2020-02-16,100000,10120745
2020-02-16,2020-02-23,0,12308343
2020-02-23,2020-03-01,100000,13490136
2020-03-01,2020-03-08,100000,12219322
2020-03-08,2020-03-15,0,16753075
2020-03-15,2020-03-22,100000,13531500
2020-03-22,2020-03-29,100000,16256844
2020-03-29,2020-04-05,300000,25074500
2020-04-05,2020-04-12,200000,22181355
2020-04-12,2020-04-19,100000,15024191
2020-04-19,2020-04-26,100000,13885490
2020-04-26,2020-05-03,100000,15329899
2020-05-03,2020-05-10,100000,12983182
2020-05-10,2020-05-17,0,13815221
2020-05-17,2020-05-24,100000,13103017
2020-05-24,2020-05-31,0,9412285
2020-05-31,2020-06-07,100000,9191452
2020-06-07,2020-06-14,100000,11336232
2020-06-14,2020-06-21,100000,13741943
2020-06-21,2020-06-28,0,9948027
2020-06-28,2020-07-05,100000,13122242
2020-07-05,2020-07-12,0,14853160
2020-07-12,2020-07-19,100000,15370574
2020-07-19,2020-07-26,100000,12861212
2020-07-26,2020-08-02,0,11160287
2020-08-02,2020-08-09,100000,11268573
2020-08-09,2020-08-16,100000,11758094
2020-08-16,2020-08-23,0,9880680
2020-08-23,2020-08-30,100000,10281797
2020-08-30,2020-09-06,0,8005990
2020-09-06,2020-09-13,0,7142082
2020-09-13,2020-09-20,0,7507969
2020-09-20,2020-09-27,0,9680428
2020-09-27,2020-10-04,100000,11359185
2020-10-04,2020-10-11,100000,15831458
2020-10-11,2020-10-18,100000,23128353
2020-10-18,2020-10-25,100000,26554108
2020-10-25,2020-11-01,100000,19249908
2020-11-01,2020-11-08,100000,15893429
2020-11-08,2020-11-15,100000,16916050
2020-11-15,2020-11-22,100000,17779111
