start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,1922,303948
2019-06-02,2019-06-09,1575,612360
2019-06-09,2019-06-16,5162,1203152
2019-06-16,2019-06-23,9762,1536703
2019-06-23,2019-06-30,10195,1459548
2019-06-30,2019-07-07,2874,982059
2019-07-07,2019-07-14,2732,772744
2019-07-14,2019-07-21,1823,775619
2019-07-21,2019-07-28,1698,750241
2019-07-28,2019-08-04,1775,795548
2019-08-04,2019-08-11,2861,906716
2019-08-11,2019-08-18,1710,884327
2019-08-18,2019-08-25,2440,787151
2019-08-25,2019-09-01,1949,714078
2019-09-01,2019-09-08,2966,788081
2019-09-08,2019-09-15,3670,913501
2019-09-15,2019-09-22,-5054,899302
2019-09-22,2019-09-29,10000,789718
2019-09-29,2019-10-06,0,773706
2019-10-06,2019-10-13,0,806300
2019-10-13,2019-10-20,0,681237
2019-10-20,2019-10-27,0,601143
2019-10-27,2019-11-03,0,599803
2019-11-03,2019-11-10,10000,756537
2019-11-10,2019-11-17,10000,920668
2019-11-17,2019-11-24,0,852497
2019-11-24,2019-12-01,0,695258
2019-12-01,2019-12-08,-20000,593772
2019-12-08,2019-12-15,10000,726726
2019-12-15,2019-12-22,0,880023
2019-12-22,2019-12-29,0,598149
2019-12-29,2020-01-05,10000,769261
2020-01-05,2020-01-12,10000,1593132
2020-01-12,2020-01-19,10000,1699898
2020-01-19,2020-01-26,10000,1148080
2020-01-26,2020-02-02,10000,1172136
2020-02-02,2020-02-09,0,1102580
2020-02-09,2020-02-16,10000,880530
2020-02-16,2020-02-23,0,642245
2020-02-23,2020-03-01,0,713232
2020-03-01,2020-03-08,10000,836643
2020-03-08,2020-03-15,0,782514
2020-03-15,2020-03-22,10000,899060
2020-03-22,2020-03-29,10000,1443601
2020-03-29,2020-04-05,0,1356691
2020-04-05,2020-04-12,10000,1367732
2020-04-12,2020-04-19,0,937412
2020-04-19,2020-04-26,10000,903606
2020-04-26,2020-05-03,0,876889
2020-05-03,2020-05-10,0,850217
2020-05-10,2020-05-17,0,899995
2020-05-17,2020-05-24,10000,835480
2020-05-24,2020-05-31,0,900985
2020-05-31,2020-06-07,10000,948213
2020-06-07,2020-06-14,0,742761
2020-06-14,2020-06-21,0,754781
2020-06-21,2020-06-28,0,691128
2020-06-28,2020-07-05,0,711329
2020-07-05,2020-07-12,10000,1027082
2020-07-12,2020-07-19,10000,950471
2020-07-19,2020-07-26,0,791422
2020-07-26,2020-08-02,0,748946
2020-08-02,2020-08-09,30000,2581836
2020-08-09,2020-08-16,20000,2431393
2020-08-16,2020-08-23,10000,1347096
2020-08-23,2020-08-30,10000,1066076
2020-08-30,2020-09-06,0,990848
2020-09-06,2020-09-13,0,591212
2020-09-13,2020-09-20,0,706476
