start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,740,365400
2019-06-02,2019-06-09,782,523210
2019-06-09,2019-06-16,397,594715
2019-06-16,2019-06-23,883,394517
2019-06-23,2019-06-30,488,474901
2019-06-30,2019-07-07,1827,514988
2019-07-07,2019-07-14,30183,2115881
2019-07-14,2019-07-21,58142,4065650
2019-07-21,2019-07-28,4630,1021896
2019-07-28,2019-08-04,5019,857853
2019-08-04,2019-08-11,4429,1090938
2019-08-11,2019-08-18,3837,775330
2019-08-18,2019-08-25,1377,617114
2019-08-25,2019-09-01,1519,524890
2019-09-01,2019-09-08,820,681478
2019-09-08,2019-09-15,6075,1430474
2019-09-22,2019-09-29,0,1430462
2019-09-29,2019-10-06,20000,1142234
2019-10-06,2019-10-13,50000,2588301
2019-10-13,2019-10-20,0,4761557
2019-10-20,2019-10-27,0,1253254
2019-10-27,2019-11-03,10000,781061
2019-11-03,2019-11-10,10000,1422256
2019-11-10,2019-11-17,0,1865382
2019-11-17,2019-11-24,0,1223614
2019-11-24,2019-12-01,0,963816
2019-12-08,2019-12-15,0,1070907
2019-12-15,2019-12-22,10000,858981
2019-12-22,2019-12-29,10000,1088343
2019-12-29,2020-01-05,0,1799354
2020-01-05,2020-01-12,10000,1934410
2020-01-12,2020-01-19,0,1104349
2020-01-19,2020-01-26,10000,1092558
2020-01-26,2020-02-02,0,1082845
2020-02-02,2020-02-09,40000,879247
2020-02-09,2020-02-16,30000,820816
2020-02-16,2020-02-23,20000,4231535
2020-02-23,2020-03-01,40000,4018316
2020-03-01,2020-03-08,20000,2077378
2020-03-08,2020-03-15,10000,2111959
2020-03-15,2020-03-22,20000,2084832
2020-03-22,2020-03-29,20000,1135092
2020-03-29,2020-04-05,10000,2797635
2020-04-05,2020-04-12,10000,2514380
2020-04-12,2020-04-19,10000,1798558
2020-04-19,2020-04-26,0,1780008
2020-04-26,2020-05-03,0,1836954
2020-05-03,2020-05-10,10000,1286523
2020-05-10,2020-05-17,10000,1742982
2020-05-17,2020-05-24,10000,1365022
2020-05-24,2020-05-31,10000,1574768
2020-05-31,2020-06-07,10000,1554555
2020-06-07,2020-06-14,10000,1397091
2020-06-14,2020-06-21,20000,1607715
2020-06-21,2020-06-28,20000,2611974
2020-06-28,2020-07-05,20000,3140563
2020-07-05,2020-07-12,10000,2902679
2020-07-12,2020-07-19,10000,2575747
2020-07-19,2020-07-26,10000,2330967
2020-07-26,2020-08-02,20000,1472771
2020-08-02,2020-08-09,20000,2711803
2020-08-09,2020-08-16,10000,2970653
2020-08-16,2020-08-23,20000,3398501
2020-08-23,2020-08-30,0,2631375
2020-08-30,2020-09-06,20000,2410367
2020-09-06,2020-09-13,10000,1602015
2020-09-13,2020-09-20,10000,3658468
