start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,2559,680916
2019-06-02,2019-06-09,6093,1397395
2019-06-09,2019-06-16,8018,1801196
2019-06-16,2019-06-23,8616,1745247
2019-06-23,2019-06-30,6886,1581964
2019-06-30,2019-07-07,4572,1528140
2019-07-07,2019-07-14,4793,1311395
2019-07-14,2019-07-21,6143,1453849
2019-07-21,2019-07-28,9098,1719054
2019-07-28,2019-08-04,10575,2126570
2019-08-04,2019-08-11,12030,2389485
2019-08-11,2019-08-18,7187,2180003
2019-08-18,2019-08-25,11769,2417808
2019-08-25,2019-09-01,9793,2038210
2019-09-01,2019-09-08,9568,1847970
2019-09-08,2019-09-15,8052,1878014
2019-09-15,2019-09-22,8215,1711187
2019-09-22,2019-09-29,0,1921574
2019-09-29,2019-10-06,0,1798319
2019-10-06,2019-10-13,10000,2144351
2019-10-13,2019-10-20,10000,1802530
2019-10-20,2019-10-27,0,1614056
2019-10-27,2019-11-03,10000,1511707
2019-11-03,2019-11-10,10000,1865155
2019-11-10,2019-11-17,10000,1648942
2019-11-17,2019-11-24,10000,1754346
2019-11-24,2019-12-01,10000,1770542
2019-12-01,2019-12-08,10000,1643064
2019-12-08,2019-12-15,0,1566587
2019-12-15,2019-12-22,10000,2547996
2019-12-22,2019-12-29,10000,2726084
2019-12-29,2020-01-05,10000,2045481
2020-01-05,2020-01-12,10000,2220349
2020-01-12,2020-01-19,20000,1897286
2020-01-19,2020-01-26,10000,1907169
2020-01-26,2020-02-02,10000,1883924
2020-02-02,2020-02-09,10000,2243605
2020-02-09,2020-02-16,10000,2220780
2020-02-16,2020-02-23,10000,2156495
2020-02-23,2020-03-01,10000,1788668
2020-03-01,2020-03-08,10000,1759949
2020-03-08,2020-03-15,10000,1755284
2020-03-15,2020-03-22,10000,1934931
2020-03-22,2020-03-29,20000,3106399
2020-03-29,2020-04-05,30000,4328713
2020-04-05,2020-04-12,30000,4577046
2020-04-12,2020-04-19,30000,4730149
2020-04-19,2020-04-26,30000,4324317
2020-04-26,2020-05-03,20000,3805682
2020-05-03,2020-05-10,20000,3259357
2020-05-10,2020-05-17,20000,3120844
2020-05-17,2020-05-24,20000,2729958
2020-05-24,2020-05-31,10000,2707582
2020-05-31,2020-06-07,10000,2774823
2020-06-07,2020-06-14,20000,2462529
2020-06-14,2020-06-21,10000,2730208
2020-06-21,2020-06-28,10000,2245896
2020-06-28,2020-07-05,10000,2158666
2020-07-05,2020-07-12,10000,2312750
2020-07-12,2020-07-19,10000,2104511
2020-07-19,2020-07-26,10000,1942415
2020-07-26,2020-08-02,10000,2015285
2020-08-02,2020-08-09,10000,1774531
2020-08-09,2020-08-16,10000,1759726
2020-08-16,2020-08-23,10000,1846510
2020-08-23,2020-08-30,10000,1916069
2020-08-30,2020-09-06,0,2097747
2020-09-06,2020-09-13,0,1937571
2020-09-13,2020-09-20,10000,1655518
2020-09-20,2020-09-27,10000,2417897
2020-09-27,2020-10-04,10000,1691660
2020-10-04,2020-10-11,0,1649319
2020-10-11,2020-10-18,0,1670444
2020-10-18,2020-10-25,10000,1635254
2020-10-25,2020-11-01,10000,1677127
2020-11-01,2020-11-08,10000,1737902
2020-11-08,2020-11-15,10000,1894688
2020-11-15,2020-11-22,0,1992968
2020-11-22,2020-11-29,0,1896056
2020-11-29,2020-12-06,10000,1899460
2020-12-06,2020-12-13,10000,1993573
2020-12-13,2020-12-20,10000,3236381
2020-12-20,2020-12-27,10000,2291605
2020-12-27,2021-01-03,10000,1852645
2021-01-03,2021-01-10,10000,1724685
2021-01-10,2021-01-17,10000,1682570
2021-01-17,2021-01-24,10000,1591403
2021-01-24,2021-01-31,0,2163639
2021-01-31,2021-02-07,0,1845295
2021-02-07,2021-02-14,10000,1579540
2021-02-14,2021-02-21,10000,1361574
2021-02-21,2021-02-28,10000,1457506
2021-02-28,2021-03-07,0,1347606
2021-03-07,2021-03-14,10000,1386138
2021-03-14,2021-03-21,10000,1396502
2021-03-21,2021-03-28,0,1286789
2021-03-28,2021-04-04,10000,1375695
2021-04-04,2021-04-11,0,1358210
2021-04-11,2021-04-18,10000,1428784
2021-04-18,2021-04-25,10000,1401383
2021-04-25,2021-05-02,0,1167815
