start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,13533,865714
2019-06-02,2019-06-09,21706,1651759
2019-06-09,2019-06-16,55938,3038833
2019-06-16,2019-06-23,11405,861859
2019-06-23,2019-06-30,37446,2118890
2019-06-30,2019-07-07,66694,3462161
2019-07-07,2019-07-14,39014,2305135
2019-07-14,2019-07-21,26505,1888623
2019-07-21,2019-07-28,36350,2469499
2019-07-28,2019-08-04,25105,2068021
2019-08-04,2019-08-11,3227,568045
2019-08-11,2019-08-18,8190,844158
2019-08-18,2019-08-25,11842,1205564
2019-08-25,2019-09-01,13515,1396142
2019-09-01,2019-09-08,16637,1345406
2019-09-08,2019-09-15,4415,703207
2019-09-15,2019-09-22,7395,904452
2019-09-22,2019-09-29,30000,2193293
2019-09-29,2019-10-06,20000,1148219
2019-10-06,2019-10-13,0,646608
2019-10-13,2019-10-20,30000,1802533
2019-10-20,2019-10-27,40000,2666530
2019-10-27,2019-11-03,20000,1801916
2019-11-03,2019-11-10,20000,966817
2019-11-10,2019-11-17,10000,866508
2019-11-17,2019-11-24,10000,1200985
2019-11-24,2019-12-01,10000,1558785
2019-12-01,2019-12-08,20000,2322113
2019-12-08,2019-12-15,10000,1434721
2019-12-15,2019-12-22,10000,903931
2019-12-22,2019-12-29,10000,832613
2019-12-29,2020-01-05,10000,1245557
2020-01-05,2020-01-12,10000,903875
2020-01-12,2020-01-19,10000,582514
2020-01-19,2020-01-26,10000,852315
2020-01-26,2020-02-02,10000,930884
2020-02-02,2020-02-09,0,792802
2020-02-09,2020-02-16,10000,515394
2020-02-16,2020-02-23,0,625600
2020-02-23,2020-03-01,20000,1920501
2020-03-01,2020-03-08,20000,2575801
2020-03-08,2020-03-15,10000,1430946
2020-03-15,2020-03-22,30000,1632366
2020-03-22,2020-03-29,10000,1163422
2020-03-29,2020-04-05,10000,662959
2020-04-05,2020-04-12,10000,877582
2020-04-12,2020-04-19,20000,1261813
2020-04-19,2020-04-26,10000,1092309
2020-04-26,2020-05-03,10000,1350085
2020-05-03,2020-05-10,10000,1240736
2020-05-10,2020-05-17,20000,3240080
2020-05-17,2020-05-24,10000,1672681
2020-05-24,2020-05-31,10000,970723
2020-05-31,2020-06-07,10000,808174
2020-06-07,2020-06-14,0,748673
2020-06-14,2020-06-21,10000,585010
2020-06-21,2020-06-28,0,611884
2020-06-28,2020-07-05,10000,529666
2020-07-05,2020-07-12,0,835734
2020-07-12,2020-07-19,10000,1189235
2020-07-19,2020-07-26,10000,686604
2020-07-26,2020-08-02,0,414248
2020-08-02,2020-08-09,0,465303
2020-08-09,2020-08-16,10000,1661389
2020-08-16,2020-08-23,20000,1576437
2020-08-23,2020-08-30,10000,1666153
2020-08-30,2020-09-06,20000,1314792
2020-09-06,2020-09-13,10000,1064660
2020-09-13,2020-09-20,10000,1262979
2020-09-20,2020-09-27,10000,793551
2020-09-27,2020-10-04,0,428234
2020-10-04,2020-10-11,10000,446160
2020-10-11,2020-10-18,0,526463
2020-10-18,2020-10-25,20000,2068256
2020-10-25,2020-11-01,20000,1606888
2020-11-01,2020-11-08,30000,2141697
2020-11-08,2020-11-15,20000,1389870
2020-11-15,2020-11-22,10000,1313722
2020-11-22,2020-11-29,10000,1002908
2020-11-29,2020-12-06,0,952704
2020-12-06,2020-12-13,10000,1073939
2020-12-13,2020-12-20,10000,704014
2020-12-20,2020-12-27,0,611666
2020-12-27,2021-01-03,0,665075
2021-01-03,2021-01-10,10000,600020
2021-01-10,2021-01-17,10000,896844
2021-01-17,2021-01-24,20000,1530948
2021-01-24,2021-01-31,10000,1362418
2021-01-31,2021-02-07,10000,1088728
2021-02-07,2021-02-14,0,743028
2021-02-14,2021-02-21,0,629446
2021-02-21,2021-02-28,10000,639553
2021-02-28,2021-03-07,0,536010
2021-03-07,2021-03-14,10000,628226
2021-03-14,2021-03-21,0,585797
2021-03-21,2021-03-28,10000,449807
2021-03-28,2021-04-04,0,407972
2021-04-04,2021-04-11,0,465371
2021-04-11,2021-04-18,0,612321
2021-04-18,2021-04-25,10000,807421
2021-04-25,2021-05-02,0,660302
2021-05-02,2021-05-09,0,566808
2021-05-09,2021-05-16,0,416612
2021-05-16,2021-05-23,10000,1451829
2021-05-23,2021-05-30,10000,1550633
2021-05-30,2021-06-06,10000,1210823
2021-06-06,2021-06-13,0,534705
2021-06-13,2021-06-20,0,319861
2021-06-20,2021-06-27,0,272919
2021-06-27,2021-07-04,10000,264151
2021-07-04,2021-07-11,10000,599800
2021-07-11,2021-07-18,10000,822216
2021-07-18,2021-07-25,10000,1381811
2021-07-25,2021-08-01,10000,918855
2021-08-01,2021-08-08,0,448604
2021-08-08,2021-08-15,0,544292
2021-08-15,2021-08-22,10000,1041905
2021-08-22,2021-08-29,10000,634156
2021-08-29,2021-09-05,0,403479
2021-09-05,2021-09-12,10000,393881
2021-09-12,2021-09-19,0,349188
2021-09-19,2021-09-26,0,390657
2021-09-26,2021-10-03,0,386239
2021-10-03,2021-10-10,0,266748
2021-10-10,2021-10-17,0,240306
2021-10-17,2021-10-24,10000,1233740
2021-10-24,2021-10-31,0,527308
2021-10-31,2021-11-07,10000,267167
2021-11-07,2021-11-14,10000,252879
2021-11-14,2021-11-21,0,281424
2021-11-21,2021-11-28,0,342431
2021-11-28,2021-12-05,0,459397
2021-12-05,2021-12-12,10000,517876
2021-12-12,2021-12-19,0,264335
2021-12-19,2021-12-26,0,467729
2021-12-26,2022-01-02,0,458161
2022-01-02,2022-01-09,0,430405
2022-01-09,2022-01-16,0,286240
2022-01-16,2022-01-23,10000,250746
2022-01-23,2022-01-30,0,181337
2022-01-30,2022-02-06,0,255463
2022-02-06,2022-02-13,0,199551
2022-02-13,2022-02-20,-10000,201887
2022-02-20,2022-02-27,0,229150
2022-02-27,2022-03-06,10000,245703
2022-03-06,2022-03-13,0,386920
2022-03-13,2022-03-20,0,355545
2022-03-20,2022-03-27,0,232431
2022-03-27,2022-04-03,0,311736
2022-04-03,2022-04-10,0,357506
2022-04-10,2022-04-17,0,334410
2022-04-17,2022-04-24,0,210351
2022-04-24,2022-05-01,0,168239
2022-05-01,2022-05-08,10000,277312
2022-05-08,2022-05-15,0,304523
2022-05-15,2022-05-22,0,231048
