start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,1297,330903
2019-06-02,2019-06-09,2204,640256
2019-06-09,2019-06-16,2561,636704
2019-06-16,2019-06-23,2645,627973
2019-06-23,2019-06-30,2468,627779
2019-06-30,2019-07-07,2501,2250166
2019-07-07,2019-07-14,2995,707599
2019-07-14,2019-07-21,2549,671878
2019-07-21,2019-07-28,2527,666044
2019-07-28,2019-08-04,2546,644433
2019-08-04,2019-08-11,2821,663308
2019-08-11,2019-08-18,2189,641082
2019-08-18,2019-08-25,1998,631502
2019-08-25,2019-09-01,1961,637287
2019-09-01,2019-09-08,2474,574633
2019-09-08,2019-09-15,2385,643221
2019-09-22,2019-09-29,10000,678965
2019-09-29,2019-10-06,0,777488
2019-10-06,2019-10-13,10000,757576
2019-10-13,2019-10-20,0,754181
2019-10-20,2019-10-27,10000,866776
2019-10-27,2019-11-03,0,777166
2019-11-03,2019-11-10,10000,863130
2019-11-10,2019-11-17,0,951806
2019-11-17,2019-11-24,10000,961108
2019-11-24,2019-12-01,10000,964715
2019-12-01,2019-12-08,0,1309357
2019-12-08,2019-12-15,0,745659
2019-12-15,2019-12-22,10000,837948
2019-12-22,2019-12-29,0,949979
2019-12-29,2020-01-05,10000,880720
2020-01-05,2020-01-12,0,775586
2020-01-12,2020-01-19,0,819364
2020-01-19,2020-01-26,10000,802090
2020-01-26,2020-02-02,0,723792
2020-02-02,2020-02-09,0,739896
2020-02-09,2020-02-16,0,680194
2020-02-16,2020-02-23,0,781511
2020-02-23,2020-03-01,10000,760464
2020-03-01,2020-03-08,0,727722
2020-03-08,2020-03-15,0,675219
2020-03-15,2020-03-22,10000,665992
2020-03-22,2020-03-29,0,873875
2020-03-29,2020-04-05,10000,977866
2020-04-05,2020-04-12,10000,1088048
2020-04-12,2020-04-19,10000,1353767
2020-04-19,2020-04-26,0,1136265
2020-04-26,2020-05-03,10000,1162644
2020-05-03,2020-05-10,10000,1249930
2020-05-10,2020-05-17,0,1225331
2020-05-17,2020-05-24,10000,1043880
2020-05-24,2020-05-31,0,995778
2020-05-31,2020-06-07,10000,897835
2020-06-07,2020-06-14,0,918072
2020-06-14,2020-06-21,10000,914021
2020-06-21,2020-06-28,0,764533
2020-06-28,2020-07-05,0,820211
2020-07-05,2020-07-12,10000,804521
2020-07-12,2020-07-19,0,870574
2020-07-19,2020-07-26,10000,867044
2020-07-26,2020-08-02,0,770045
2020-08-02,2020-08-09,0,813168
2020-08-09,2020-08-16,10000,691340
2020-08-16,2020-08-23,0,704451
2020-08-23,2020-08-30,0,661650
2020-08-30,2020-09-06,10000,654086
2020-09-06,2020-09-13,0,616603
2020-09-13,2020-09-20,0,903864
2020-09-20,2020-09-27,0,613277
2020-09-27,2020-10-04,0,646480
2020-10-04,2020-10-11,0,738149
2020-10-11,2020-10-18,10000,676750
2020-10-18,2020-10-25,0,657942
2020-10-25,2020-11-01,0,615442
2020-11-01,2020-11-08,0,625144
2020-11-08,2020-11-15,10000,595678
2020-11-15,2020-11-22,0,629684
2020-11-22,2020-11-29,0,718394
2020-11-29,2020-12-06,10000,974207
2020-12-06,2020-12-13,0,626904
2020-12-13,2020-12-20,0,681861
2020-12-20,2020-12-27,10000,695065
2020-12-27,2021-01-03,0,799263
2021-01-03,2021-01-10,0,619571
2021-01-10,2021-01-17,0,567915
2021-01-17,2021-01-24,0,558421
2021-01-24,2021-01-31,10000,581990
2021-01-31,2021-02-07,0,535238
2021-02-07,2021-02-14,0,509927
2021-02-14,2021-02-21,0,807781
2021-02-21,2021-02-28,0,640630
2021-02-28,2021-03-07,0,553040
2021-03-07,2021-03-14,0,581980
