start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,6406,668873
2019-06-02,2019-06-09,11033,1317928
2019-06-09,2019-06-16,19806,1684697
2019-06-16,2019-06-23,27147,1858761
2019-06-23,2019-06-30,26700,1956693
2019-06-30,2019-07-07,19206,1752332
2019-07-07,2019-07-14,13118,1546933
2019-07-14,2019-07-21,15577,1837180
2019-07-21,2019-07-28,17993,1679637
2019-07-28,2019-08-04,19823,2071040
2019-08-04,2019-08-11,15461,1677779
2019-08-11,2019-08-18,14857,1741617
2019-08-18,2019-08-25,15101,1718987
2019-08-25,2019-09-01,18229,2020421
2019-09-01,2019-09-08,13643,1650509
2019-09-08,2019-09-15,12419,1449332
2019-09-15,2019-09-22,18996,1642232
2019-09-22,2019-09-29,20000,1846089
2019-09-29,2019-10-06,20000,1508790
2019-10-06,2019-10-13,10000,1654468
2019-10-13,2019-10-20,10000,1457446
2019-10-20,2019-10-27,20000,1290085
2019-10-27,2019-11-03,10000,1304004
2019-11-03,2019-11-10,20000,1386015
2019-11-10,2019-11-17,10000,1474095
2019-11-17,2019-11-24,20000,1301210
2019-11-24,2019-12-01,10000,1276659
2019-12-01,2019-12-08,10000,1274938
2019-12-08,2019-12-15,20000,1233511
2019-12-15,2019-12-22,10000,1294479
2019-12-22,2019-12-29,10000,1219352
2019-12-29,2020-01-05,10000,1366056
2020-01-05,2020-01-12,20000,1516570
2020-01-12,2020-01-19,20000,1574204
2020-01-19,2020-01-26,10000,1374466
2020-01-26,2020-02-02,10000,1680647
2020-02-02,2020-02-09,20000,1814843
2020-02-09,2020-02-16,10000,1980118
2020-02-16,2020-02-23,10000,1620388
2020-02-23,2020-03-01,20000,1681920
2020-03-01,2020-03-08,10000,1444873
2020-03-08,2020-03-15,10000,1936614
2020-03-15,2020-03-22,20000,2392121
2020-03-22,2020-03-29,40000,3383962
2020-03-29,2020-04-05,40000,3326638
2020-04-05,2020-04-12,60000,4328559
2020-04-12,2020-04-19,40000,3869659
2020-04-19,2020-04-26,40000,3158519
2020-04-26,2020-05-03,40000,3394955
2020-05-03,2020-05-10,40000,3166281
2020-05-10,2020-05-17,40000,3108004
2020-05-17,2020-05-24,30000,2336085
2020-05-24,2020-05-31,20000,2367237
2020-05-31,2020-06-07,20000,2464850
2020-06-07,2020-06-14,30000,1448091
2020-06-14,2020-06-21,20000,2174913
2020-06-21,2020-06-28,20000,1946559
2020-06-28,2020-07-05,10000,1996591
2020-07-05,2020-07-12,20000,1899257
2020-07-12,2020-07-19,20000,2381913
2020-07-19,2020-07-26,30000,2278889
2020-07-26,2020-08-02,20000,2126185
2020-08-02,2020-08-09,20000,1557787
2020-08-09,2020-08-16,20000,1971160
2020-08-16,2020-08-23,10000,1719900
2020-08-23,2020-08-30,10000,1776426
2020-08-30,2020-09-06,10000,1441095
2020-09-06,2020-09-13,10000,1417319
2020-09-13,2020-09-20,10000,1502605
2020-09-20,2020-09-27,10000,1373946
2020-09-27,2020-10-04,10000,1657647
2020-10-04,2020-10-11,20000,1382335
2020-10-11,2020-10-18,10000,1822605
2020-10-18,2020-10-25,10000,1789472
2020-10-25,2020-11-01,10000,1922685
2020-11-01,2020-11-08,20000,1430720
2020-11-08,2020-11-15,10000,1705832
2020-11-15,2020-11-22,10000,1638711
2020-11-22,2020-11-29,20000,1488576
2020-11-29,2020-12-06,10000,1696261
2020-12-06,2020-12-13,10000,1418795
2020-12-13,2020-12-20,10000,1401923
2020-12-20,2020-12-27,10000,1166974
2020-12-27,2021-01-03,10000,1537361
2021-01-03,2021-01-10,20000,2015300
2021-01-10,2021-01-17,20000,1700292
2021-01-17,2021-01-24,20000,1610343
2021-01-24,2021-01-31,10000,1518388
2021-01-31,2021-02-07,20000,1839757
2021-02-07,2021-02-14,10000,1431385
2021-02-14,2021-02-21,20000,1587935
2021-02-21,2021-02-28,10000,1316712
2021-02-28,2021-03-07,10000,1174472
2021-03-07,2021-03-14,10000,1204869
2021-03-14,2021-03-21,10000,1109066
2021-03-21,2021-03-28,10000,1189908
2021-03-28,2021-04-04,10000,1033031
2021-04-04,2021-04-11,10000,1209316
2021-04-11,2021-04-18,10000,1305982
2021-04-18,2021-04-25,20000,1322878
2021-04-25,2021-05-02,10000,1599022
2021-05-02,2021-05-09,20000,1372861
