start_date,end_date,weekly_subscribers,weekly_views
2019-03-26,2019-04-02,39,3227
2019-03-31,2019-04-07,101,3269
2019-04-07,2019-04-14,118,3338
2019-04-14,2019-04-21,73,2287
2019-04-21,2019-04-28,169,4197
2019-04-29,2019-05-06,115,3598
2019-05-05,2019-05-12,121,2788
2019-05-13,2019-05-20,82,3830
2019-05-19,2019-05-26,102,2394
2019-05-26,2019-06-02,163,4100
2019-06-02,2019-06-09,110,2799
2019-06-09,2019-06-16,142,3479
2019-06-16,2019-06-23,156,3459
2019-06-23,2019-06-30,561,8502
2019-06-30,2019-07-07,416,7398
2019-07-07,2019-07-14,521,12700
2019-07-14,2019-07-21,520,12830
2019-07-22,2019-07-29,484,9031
2019-07-28,2019-08-04,456,12594
2019-08-04,2019-08-11,448,12345
2019-08-11,2019-08-18,348,12812
2019-08-18,2019-08-25,300,10906
2019-08-25,2019-09-01,300,11697
2019-09-01,2019-09-08,700,17172
2019-09-12,2019-09-19,200,4273
2019-09-17,2019-09-24,500,7738
2019-09-22,2019-09-29,400,13044
2019-09-29,2019-10-06,300,9912
2019-10-06,2019-10-13,300,12054
2019-10-13,2019-10-20,2500,41335
2019-10-20,2019-10-27,700,21801
2019-10-27,2019-11-03,500,22790
2019-11-03,2019-11-10,700,35260
2019-11-10,2019-11-17,600,42469
2019-11-17,2019-11-24,500,48906
2019-11-24,2019-12-01,400,29470
2019-12-01,2019-12-08,400,27605
2019-12-08,2019-12-15,400,21881
2019-12-15,2019-12-22,300,14471
2019-12-22,2019-12-29,300,20900
2019-12-29,2020-01-05,400,30607
2020-01-05,2020-01-12,1400,39930
2020-01-12,2020-01-19,900,44623
2020-01-19,2020-01-26,1200,52625
2020-01-26,2020-02-02,900,46118
2020-02-02,2020-02-09,800,39919
2020-02-10,2020-02-17,700,42692
2020-02-16,2020-02-23,700,51025
2020-02-24,2020-03-02,800,46099
2020-03-01,2020-03-08,1300,59234
2020-03-08,2020-03-15,900,50776
2020-03-15,2020-03-22,1000,53298
2020-03-22,2020-03-29,1200,51441
2020-03-29,2020-04-05,1500,64943
2020-04-05,2020-04-12,2700,79973
2020-04-12,2020-04-19,12300,192271
2020-04-19,2020-04-26,28200,492900
