start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,1764,1224340
2019-06-02,2019-06-09,5787,3851416
2019-06-09,2019-06-16,2517,3163053
2019-06-16,2019-06-23,3864,3455966
2019-06-23,2019-06-30,5049,3431196
2019-06-30,2019-07-07,6927,4075136
2019-07-07,2019-07-14,6767,4389636
2019-07-14,2019-07-21,7582,4454680
2019-07-21,2019-07-28,23048,6136827
2019-07-28,2019-08-04,156687,21202599
2019-08-04,2019-08-11,71015,13801479
2019-08-11,2019-08-18,63914,11710325
2019-08-18,2019-08-25,69381,15796871
2019-08-25,2019-09-01,38765,11191439
2019-09-01,2019-09-08,31028,10605624
2019-09-08,2019-09-15,19842,7924807
2019-09-22,2019-09-29,0,8218247
2019-09-29,2019-10-06,100000,8788152
2019-10-06,2019-10-13,0,7497697
2019-10-13,2019-10-20,0,6602270
2019-10-20,2019-10-27,0,5233516
2019-10-27,2019-11-03,0,4944171
2019-11-03,2019-11-10,0,3860671
2019-11-10,2019-11-17,0,3558722
2019-11-17,2019-11-24,0,3796206
2019-11-24,2019-12-01,0,3624603
2019-12-01,2019-12-08,0,3337413
2019-12-08,2019-12-15,0,2778274
2019-12-15,2019-12-22,0,3017264
2019-12-22,2019-12-29,0,3421113
2019-12-29,2020-01-05,0,2916178
2020-01-05,2020-01-12,0,3308595
2020-01-12,2020-01-19,0,3377640
2020-01-19,2020-01-26,0,3837811
2020-01-26,2020-02-02,0,3349125
2020-02-02,2020-02-09,0,3511508
2020-02-09,2020-02-16,0,4285579
2020-02-16,2020-02-23,0,4035476
2020-02-23,2020-03-01,0,3508453
2020-03-01,2020-03-08,0,3312838
2020-03-08,2020-03-15,0,2748885
2020-03-15,2020-03-22,0,2444952
2020-03-22,2020-03-29,0,3043250
2020-03-29,2020-04-05,0,4240374
2020-04-05,2020-04-12,0,5512287
2020-04-12,2020-04-19,0,5380132
2020-04-19,2020-04-26,0,4737240
2020-04-26,2020-05-03,0,4464988
2020-05-03,2020-05-10,100000,4170357
2020-05-10,2020-05-17,0,4073541
2020-05-17,2020-05-24,0,3830249
2020-05-24,2020-05-31,0,3476265
2020-05-31,2020-06-07,0,3734838
2020-06-07,2020-06-14,0,3410774
2020-06-14,2020-06-21,0,3796942
2020-06-21,2020-06-28,0,3622097
2020-06-28,2020-07-05,0,4426056
2020-07-05,2020-07-12,0,3656533
2020-07-12,2020-07-19,0,3908895
2020-07-19,2020-07-26,0,3927258
2020-07-26,2020-08-02,0,4118362
2020-08-02,2020-08-09,0,2893440
2020-08-09,2020-08-16,0,3205147
2020-08-16,2020-08-23,0,3053678
2020-08-23,2020-08-30,100000,2662764
2020-08-30,2020-09-06,0,2736344
2020-09-06,2020-09-13,0,2365583
2020-09-13,2020-09-20,0,2431414
2020-09-20,2020-09-27,0,2291881
2020-09-27,2020-10-04,0,2143013
2020-10-04,2020-10-11,0,2442374
2020-10-11,2020-10-18,100000,2975657
2020-10-18,2020-10-25,100000,3429241
2020-10-25,2020-11-01,0,2697781
2020-11-01,2020-11-08,0,3114367
2020-11-08,2020-11-15,0,3847879
2020-11-15,2020-11-22,0,3171659
2020-11-22,2020-11-29,0,3156537
2020-11-29,2020-12-06,0,2579245
2020-12-06,2020-12-13,0,2128151
2020-12-13,2020-12-20,0,1766972
2020-12-20,2020-12-27,0,1940780
2020-12-27,2021-01-03,0,1951769
2021-01-03,2021-01-10,0,1810633
2021-01-10,2021-01-17,0,2012290
2021-01-17,2021-01-24,0,1982713
2021-01-24,2021-01-31,0,2237584
2021-01-31,2021-02-07,0,2333226
2021-02-07,2021-02-14,100000,2392212
2021-02-14,2021-02-21,0,2619591
2021-02-21,2021-02-28,0,2578242
2021-02-28,2021-03-07,0,2489536
2021-03-07,2021-03-14,0,1740275
2021-03-14,2021-03-21,0,2212632
2021-03-21,2021-03-28,0,1835414
2021-03-28,2021-04-04,0,1603250
2021-04-04,2021-04-11,0,1558461
2021-04-11,2021-04-18,0,1537091
2021-04-18,2021-04-25,0,1342825
2021-04-25,2021-05-02,0,1687648
2021-05-02,2021-05-09,0,1285339
2021-05-09,2021-05-16,0,1150023
2021-05-16,2021-05-23,0,1194907
2021-05-23,2021-05-30,0,1288787
2021-05-30,2021-06-06,0,1191596
2021-06-06,2021-06-13,0,1157203
2021-06-13,2021-06-20,0,1341729
2021-06-20,2021-06-27,0,1401051
2021-06-27,2021-07-04,0,1598274
2021-07-04,2021-07-11,0,1663629
2021-07-11,2021-07-18,0,1697158
2021-07-18,2021-07-25,0,1385548
2021-07-25,2021-08-01,0,1454482
2021-08-01,2021-08-08,0,1090561
2021-08-08,2021-08-15,0,1161416
2021-08-15,2021-08-22,0,1294942
2021-08-22,2021-08-29,0,731847
2021-08-29,2021-09-05,0,1250676
2021-09-05,2021-09-12,0,1245142
2021-09-12,2021-09-19,0,1150906
2021-09-19,2021-09-26,0,945612
2021-09-26,2021-10-03,0,881923
2021-10-03,2021-10-10,0,929615
2021-10-10,2021-10-17,0,890402
2021-10-17,2021-10-24,0,1214181
2021-10-24,2021-10-31,0,1223693
2021-10-31,2021-11-07,0,866744
2021-11-07,2021-11-14,0,998982
2021-11-14,2021-11-21,0,858907
2021-11-21,2021-11-28,0,834138
2021-11-28,2021-12-05,0,842611
2021-12-05,2021-12-12,0,917125
2021-12-12,2021-12-19,0,812345
2021-12-19,2021-12-26,0,1391281
2021-12-26,2022-01-02,0,1245844
2022-01-02,2022-01-09,0,908047
