start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,9438,3641913
2019-06-02,2019-06-09,24095,10891228
2019-06-09,2019-06-16,25411,12053108
2019-06-16,2019-06-23,24207,11689813
2019-06-23,2019-06-30,35126,14010475
2019-06-30,2019-07-07,20633,11526842
2019-07-07,2019-07-14,20890,12058362
2019-07-14,2019-07-21,23810,12985882
2019-07-21,2019-07-28,24136,13114217
2019-07-28,2019-08-04,22063,13000526
2019-08-04,2019-08-11,21247,12941612
2019-08-11,2019-08-18,19126,12372373
2019-08-18,2019-08-25,16266,11150210
2019-08-25,2019-09-01,18251,10251172
2019-09-01,2019-09-08,16423,9442750
2019-09-08,2019-09-15,14698,8727481
2019-09-15,2019-09-22,11841,8640409
2019-09-22,2019-09-29,10000,8677786
2019-09-29,2019-10-06,10000,9788530
2019-10-06,2019-10-13,20000,10607967
2019-10-13,2019-10-20,20000,10317139
2019-10-20,2019-10-27,10000,10691222
2019-10-27,2019-11-03,20000,10088391
2019-11-03,2019-11-10,20000,10023873
2019-11-10,2019-11-17,20000,10541276
2019-11-17,2019-11-24,10000,9965525
2019-11-24,2019-12-01,30000,12464560
2019-12-01,2019-12-08,0,9900085
2019-12-08,2019-12-15,20000,9856812
2019-12-15,2019-12-22,20000,9831636
2019-12-22,2019-12-29,20000,13244569
2019-12-29,2020-01-05,20000,15325684
2020-01-05,2020-01-12,10000,10889426
2020-01-12,2020-01-19,10000,10362095
2020-01-19,2020-01-26,20000,10075112
2020-01-26,2020-02-02,20000,10607446
2020-02-02,2020-02-09,20000,11155361
2020-02-09,2020-02-16,20000,11584829
2020-02-16,2020-02-23,20000,12072221
2020-02-23,2020-03-01,20000,10578387
2020-03-01,2020-03-08,10000,9548424
2020-03-08,2020-03-15,20000,9875871
2020-03-15,2020-03-22,30000,13436363
2020-03-22,2020-03-29,20000,13806719
2020-03-29,2020-04-05,140000,21077891
2020-04-05,2020-04-12,70000,25767272
2020-04-12,2020-04-19,140000,48857733
2020-04-19,2020-04-26,100000,37522995
2020-04-26,2020-05-03,70000,35802652
2020-05-03,2020-05-10,60000,29887179
2020-05-10,2020-05-17,50000,24365695
2020-05-17,2020-05-24,70000,33252174
2020-05-24,2020-05-31,60000,34970777
2020-05-31,2020-06-07,40000,20405923
2020-06-07,2020-06-14,40000,16214213
2020-06-14,2020-06-21,30000,17140455
2020-06-21,2020-06-28,20000,14281539
2020-06-28,2020-07-05,20000,12920733
2020-07-05,2020-07-12,30000,16955025
2020-07-12,2020-07-19,50000,28089344
2020-07-19,2020-07-26,70000,34778782
2020-07-26,2020-08-02,80000,35780230
2020-08-02,2020-08-09,60000,32901780
2020-08-09,2020-08-16,50000,25331409
2020-08-16,2020-08-23,60000,20403426
2020-08-23,2020-08-30,40000,23268218
2020-08-30,2020-09-06,70000,31202891
2020-09-06,2020-09-13,50000,19900787
2020-09-13,2020-09-20,60000,23436066
2020-09-20,2020-09-27,40000,14780130
2020-09-27,2020-10-04,40000,12920979
2020-10-04,2020-10-11,30000,11865317
2020-10-11,2020-10-18,30000,11367553
2020-10-18,2020-10-25,20000,11382808
2020-10-25,2020-11-01,20000,11881285
2020-11-01,2020-11-08,40000,16364140
2020-11-08,2020-11-15,80000,28605512
2020-11-15,2020-11-22,50000,23616774
2020-11-22,2020-11-29,50000,25262656
2020-11-29,2020-12-06,40000,20371459
2020-12-06,2020-12-13,30000,17138139
2020-12-13,2020-12-20,40000,20117456
2020-12-20,2020-12-27,50000,24286531
2020-12-27,2021-01-03,60000,23413174
2021-01-03,2021-01-10,60000,27977881
2021-01-10,2021-01-17,70000,29883501
2021-01-17,2021-01-24,90000,33954972
2021-01-24,2021-01-31,80000,33734408
2021-01-31,2021-02-07,90000,36332215
2021-02-07,2021-02-14,110000,39160778
2021-02-14,2021-02-21,120000,42937093
2021-02-21,2021-02-28,90000,36569660
2021-02-28,2021-03-07,110000,27901319
2021-03-07,2021-03-14,120000,25768248
2021-03-14,2021-03-21,70000,22763610
2021-03-21,2021-03-28,60000,20046051
2021-03-28,2021-04-04,60000,20801544
2021-04-04,2021-04-11,40000,19680173
2021-04-11,2021-04-18,40000,18015147
2021-04-18,2021-04-25,50000,17257807
2021-04-25,2021-05-02,60000,17229686
2021-05-02,2021-05-09,40000,16758431
2021-05-09,2021-05-16,30000,14829694
2021-05-16,2021-05-23,30000,14806227
2021-05-23,2021-05-30,30000,15061615
2021-05-30,2021-06-06,40000,16786827
2021-06-06,2021-06-13,30000,15884439
2021-06-13,2021-06-20,70000,16902884
