start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,1660,3182265
2019-06-02,2019-06-09,4953,10757097
2019-06-09,2019-06-16,4657,11245416
2019-06-16,2019-06-23,5931,11634009
2019-06-23,2019-06-30,6326,12235906
2019-06-30,2019-07-07,10196,14865288
2019-07-07,2019-07-14,10137,14987810
2019-07-14,2019-07-21,8229,13823621
2019-07-21,2019-07-28,6531,13239775
2019-07-28,2019-08-04,2893,11949278
2019-08-04,2019-08-11,3446,11674320
2019-08-11,2019-08-18,3712,11556972
2019-08-18,2019-08-25,1998,10271855
2019-08-25,2019-09-01,1426,9821476
2019-09-01,2019-09-08,1058,8637537
2019-09-08,2019-09-15,1049,8785397
2019-09-22,2019-09-29,0,9237779
2019-09-29,2019-10-06,0,9643682
2019-10-06,2019-10-13,0,8436518
2019-10-13,2019-10-20,10000,8663783
2019-10-20,2019-10-27,0,8624489
2019-10-27,2019-11-03,0,8786489
2019-11-03,2019-11-10,0,7721908
2019-11-10,2019-11-17,10000,8560105
2019-11-17,2019-11-24,0,7991497
2019-11-24,2019-12-01,0,8238789
2019-12-08,2019-12-15,0,8156576
2019-12-15,2019-12-22,0,8163692
2019-12-22,2019-12-29,10000,7038188
2019-12-29,2020-01-05,0,7511485
2020-01-05,2020-01-12,0,8301163
2020-01-12,2020-01-19,10000,9756783
2020-01-19,2020-01-26,0,9143893
2020-01-26,2020-02-02,0,8350186
2020-02-02,2020-02-09,0,8480238
2020-02-09,2020-02-16,10000,7760835
2020-02-16,2020-02-23,0,8971805
2020-02-23,2020-03-01,0,9911390
2020-03-01,2020-03-08,0,8787172
2020-03-08,2020-03-15,0,8626845
2020-03-15,2020-03-22,0,8300124
2020-03-22,2020-03-29,10000,7649013
2020-03-29,2020-04-05,0,8332140
2020-04-05,2020-04-12,10000,8749894
2020-04-12,2020-04-19,0,10804621
2020-04-19,2020-04-26,10000,10702215
2020-04-26,2020-05-03,0,10410113
2020-05-03,2020-05-10,0,11249633
2020-05-10,2020-05-17,10000,11257661
2020-05-17,2020-05-24,10000,10835035
2020-05-24,2020-05-31,0,11508372
2020-05-31,2020-06-07,10000,12640006
2020-06-07,2020-06-14,0,11496781
2020-06-14,2020-06-21,10000,1821328
2020-06-21,2020-06-28,0,10301951
2020-06-28,2020-07-05,10000,10573812
2020-07-05,2020-07-12,0,8904244
2020-07-12,2020-07-19,10000,12719877
2020-07-19,2020-07-26,0,10579290
2020-07-26,2020-08-02,10000,10320448
2020-08-02,2020-08-09,0,12625624
2020-08-09,2020-08-16,0,11660045
2020-08-16,2020-08-23,10000,10715550
2020-08-23,2020-08-30,0,10282861
2020-08-30,2020-09-06,0,9699640
2020-09-06,2020-09-13,0,9596370
2020-09-13,2020-09-20,0,8809463
2020-09-20,2020-09-27,10000,8432498
2020-09-27,2020-10-04,0,8320908
2020-10-04,2020-10-11,0,7786406
2020-10-11,2020-10-18,0,7330133
2020-10-18,2020-10-25,10000,7535355
2020-10-25,2020-11-01,0,8490420
2020-11-01,2020-11-08,0,8129610
2020-11-08,2020-11-15,10000,9545558
2020-11-15,2020-11-22,0,9855347
2020-11-22,2020-11-29,0,9947521
2020-11-29,2020-12-06,0,9326240
2020-12-06,2020-12-13,0,8761716
2020-12-13,2020-12-20,0,8295107
2020-12-20,2020-12-27,0,8362749
2020-12-27,2021-01-03,0,8007189
2021-01-03,2021-01-10,0,8756862
2021-01-10,2021-01-17,0,9690652
2021-01-17,2021-01-24,0,9220454
2021-01-24,2021-01-31,10000,8683257
2021-01-31,2021-02-07,0,8303766
2021-02-07,2021-02-14,0,8314317
2021-02-14,2021-02-21,0,8117834
2021-02-21,2021-02-28,0,8040734
2021-02-28,2021-03-07,0,8265097
2021-03-07,2021-03-14,0,8481880
2021-03-28,2021-04-04,0,9330800
2021-04-04,2021-04-11,0,8881253
2021-04-11,2021-04-18,0,7457861
2021-04-18,2021-04-25,0,7398091
2021-04-25,2021-05-02,0,1185133
2021-05-09,2021-05-16,0,6360818
2021-05-16,2021-05-23,0,6396278
2021-05-23,2021-05-30,0,5870172
2021-05-30,2021-06-06,0,5520226
2021-06-06,2021-06-13,0,5327946
2021-06-20,2021-06-27,0,5475561
2021-06-27,2021-07-04,0,35176943
2021-07-04,2021-07-11,0,5826910
2021-07-11,2021-07-18,0,5631130
2021-07-18,2021-07-25,0,5754778
2021-07-25,2021-08-01,0,6580253
2021-08-01,2021-08-08,0,6445069
2021-08-08,2021-08-15,0,6230299
2021-08-15,2021-08-22,0,6128206
2021-08-22,2021-08-29,0,6749778
2021-08-29,2021-09-05,0,6255818
2021-09-05,2021-09-12,0,6626628
2021-09-12,2021-09-19,0,6566113
2021-09-19,2021-09-26,0,6488380
2021-09-26,2021-10-03,0,5264801
2021-10-03,2021-10-10,0,5682452
2021-10-10,2021-10-17,0,6086259
2021-10-17,2021-10-24,0,5692476
2021-10-24,2021-10-31,0,5631368
2021-10-31,2021-11-07,0,6170369
2021-11-07,2021-11-14,0,5963531
2021-11-14,2021-11-21,0,5953571
2021-11-21,2021-11-28,0,5594177
2021-11-28,2021-12-05,0,6172888
2021-12-05,2021-12-12,0,6036077
2021-12-12,2021-12-19,0,6430581
2021-12-19,2021-12-26,0,5394681
2021-12-26,2022-01-02,0,5497869
2022-01-02,2022-01-09,0,5185538
2022-01-09,2022-01-16,0,5303571
2022-01-16,2022-01-23,0,5965086
2022-01-23,2022-01-30,0,4958444
2022-01-30,2022-02-06,0,4973852
2022-02-06,2022-02-13,0,6057570
2022-02-13,2022-02-20,10000,5357422
2022-02-20,2022-02-27,0,4135611
2022-02-27,2022-03-06,0,5226116
2022-03-06,2022-03-13,0,4250321
2022-03-13,2022-03-20,0,5049040
2022-03-20,2022-03-27,0,6202337
2022-03-27,2022-04-03,0,5714105
2022-04-03,2022-04-10,0,4982893
2022-04-10,2022-04-17,0,6560083
2022-04-17,2022-04-24,0,5736742
2022-04-24,2022-05-01,0,6636742
2022-05-01,2022-05-08,0,7578291
2022-05-08,2022-05-15,10000,6551624
2022-05-15,2022-05-22,0,5053000
