start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,608,457821
2019-06-02,2019-06-09,1188,1230936
2019-06-09,2019-06-16,1270,1562965
2019-06-16,2019-06-23,963,1093707
2019-06-23,2019-06-30,620,980461
2019-06-30,2019-07-07,1260,1274333
2019-07-07,2019-07-14,1053,1216565
2019-07-14,2019-07-21,765,943740
2019-07-21,2019-07-28,1100,884089
2019-07-28,2019-08-04,560,806029
2019-08-04,2019-08-11,979,868911
2019-08-11,2019-08-18,1441,1073470
2019-08-18,2019-08-25,1424,1270363
2019-08-25,2019-09-01,1557,1275951
2019-09-01,2019-09-08,1441,1150083
2019-09-08,2019-09-15,1636,1292177
2019-09-15,2019-09-22,-3248,1304846
2019-09-22,2019-09-29,10000,3492133
2019-09-29,2019-10-06,0,1742146
2019-10-06,2019-10-13,0,1129471
2019-10-13,2019-10-20,10000,1246536
2019-10-20,2019-10-27,0,1321045
2019-10-27,2019-11-03,0,1503693
2019-11-03,2019-11-10,0,1299366
2019-11-10,2019-11-17,10000,1150519
2019-11-17,2019-11-24,0,1161596
2019-11-24,2019-12-01,0,1092140
2019-12-01,2019-12-08,0,941915
2019-12-08,2019-12-15,0,1078685
2019-12-15,2019-12-22,0,1035461
2019-12-22,2019-12-29,0,1112190
2019-12-29,2020-01-05,10000,1921015
2020-01-05,2020-01-12,0,1636002
2020-01-12,2020-01-19,0,960920
2020-01-19,2020-01-26,0,853282
2020-01-26,2020-02-02,0,1089196
2020-02-02,2020-02-09,0,1018433
2020-02-09,2020-02-16,0,925406
2020-02-16,2020-02-23,0,918905
2020-02-23,2020-03-01,10000,1001883
2020-03-01,2020-03-08,0,1130898
2020-03-08,2020-03-15,0,1454549
2020-03-15,2020-03-22,0,1571800
2020-03-22,2020-03-29,10000,1381189
2020-03-29,2020-04-05,0,1458470
2020-04-05,2020-04-12,0,1496273
2020-04-12,2020-04-19,0,1357567
2020-04-19,2020-04-26,0,1163420
2020-04-26,2020-05-03,10000,1280793
2020-05-03,2020-05-10,0,2278783
2020-05-10,2020-05-17,0,1064089
2020-05-17,2020-05-24,0,850683
2020-05-24,2020-05-31,0,938980
2020-05-31,2020-06-07,0,972185
2020-06-07,2020-06-14,0,1714901
2020-06-14,2020-06-21,10000,1419796
2020-06-21,2020-06-28,0,1026226
2020-06-28,2020-07-05,0,840233
2020-07-05,2020-07-12,0,842379
2020-07-12,2020-07-19,0,872393
2020-07-19,2020-07-26,0,855659
2020-07-26,2020-08-02,0,823974
2020-08-02,2020-08-09,0,752084
2020-08-09,2020-08-16,0,775531
2020-08-16,2020-08-23,0,758808
2020-08-23,2020-08-30,0,762194
2020-08-30,2020-09-06,10000,734736
2020-09-06,2020-09-13,0,762561
2020-09-13,2020-09-20,0,903946
