start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,18101,7972674
2019-06-02,2019-06-09,31932,14134106
2019-06-09,2019-06-16,39655,32483936
2019-06-16,2019-06-23,5357,6130699
2019-06-23,2019-06-30,5179,5634371
2019-06-30,2019-07-07,6266,5863315
2019-07-07,2019-07-14,4269,4510850
2019-07-14,2019-07-21,5237,3780292
2019-07-21,2019-07-28,3495,4509564
2019-07-28,2019-08-04,4599,5333555
2019-08-04,2019-08-11,1663,3300250
2019-08-11,2019-08-18,2387,3434959
2019-08-18,2019-08-25,2825,4405207
2019-08-25,2019-09-01,4450,4364365
2019-09-01,2019-09-08,4483,4182487
2019-09-08,2019-09-15,4415,5534036
2019-09-15,2019-09-22,0,3390806
2019-09-22,2019-09-29,0,3339690
2019-09-29,2019-10-06,0,4077601
2019-10-06,2019-10-13,10000,4075645
2019-10-13,2019-10-20,0,2924065
2019-10-20,2019-10-27,0,3674572
2019-10-27,2019-11-03,10000,5948567
2019-11-03,2019-11-10,0,4976267
2019-11-10,2019-11-17,10000,5475714
2019-11-17,2019-11-24,0,3864772
2019-11-24,2019-12-01,0,3324147
2019-12-01,2019-12-08,20000,6685482
2019-12-08,2019-12-15,10000,6561408
2019-12-15,2019-12-22,0,3443175
2019-12-22,2019-12-29,10000,5605374
2019-12-29,2020-01-05,10000,4981249
2020-01-05,2020-01-12,0,3895423
2020-01-12,2020-01-19,0,4720539
2020-01-19,2020-01-26,10000,4786592
2020-01-26,2020-02-02,0,4083072
2020-02-02,2020-02-09,10000,3442958
2020-02-09,2020-02-16,10000,3731585
2020-02-16,2020-02-23,0,3808580
2020-02-23,2020-03-01,10000,5042063
2020-03-01,2020-03-08,10000,4978046
2020-03-08,2020-03-15,10000,6418047
2020-03-15,2020-03-22,10000,6198688
2020-03-22,2020-03-29,0,5559704
2020-03-29,2020-04-05,0,11565585
2020-04-05,2020-04-12,10000,4977409
2020-04-12,2020-04-19,10000,4138581
2020-04-19,2020-04-26,0,3809881
2020-04-26,2020-05-03,10000,4929536
2020-05-03,2020-05-10,0,5343933
2020-05-10,2020-05-17,10000,5264579
2020-05-17,2020-05-24,10000,4072839
2020-05-24,2020-05-31,0,4195831
2020-05-31,2020-06-07,10000,3179500
2020-06-07,2020-06-14,20000,12451153
2020-06-14,2020-06-21,10000,6587743
2020-06-21,2020-06-28,0,5483927
2020-06-28,2020-07-05,10000,3443673
2020-07-05,2020-07-12,0,3416301
2020-07-12,2020-07-19,0,3622438
2020-07-19,2020-07-26,10000,3989410
2020-07-26,2020-08-02,0,2783354
2020-08-02,2020-08-09,0,3307375
2020-08-09,2020-08-16,10000,3297997
2020-08-16,2020-08-23,0,4400632
2020-08-23,2020-08-30,0,4575519
2020-08-30,2020-09-06,10000,2639539
2020-09-06,2020-09-13,0,3066635
2020-09-13,2020-09-20,10000,5082156
2020-09-20,2020-09-27,0,3299905
2020-09-27,2020-10-04,10000,5920836
2020-10-04,2020-10-11,0,4804626
2020-10-11,2020-10-18,10000,4373188
2020-10-18,2020-10-25,0,4444454
2020-10-25,2020-11-01,10000,4964658
2020-11-01,2020-11-08,0,4628266
2020-11-08,2020-11-15,10000,5537442
2020-11-15,2020-11-22,0,5606027
2020-11-22,2020-11-29,0,5133347
2020-11-29,2020-12-06,10000,5760559
2020-12-06,2020-12-13,10000,8799559
2020-12-13,2020-12-20,0,5182218
2020-12-20,2020-12-27,10000,4192782
2020-12-27,2021-01-03,10000,3623044
2021-01-03,2021-01-10,0,3469142
2021-01-10,2021-01-17,0,3905560
2021-01-17,2021-01-24,0,6384726
2021-01-24,2021-01-31,10000,4900560
2021-01-31,2021-02-07,10000,6024617
2021-02-07,2021-02-14,10000,4609682
2021-02-14,2021-02-21,10000,7644815
2021-02-21,2021-02-28,0,6452481
2021-02-28,2021-03-07,0,4494609
2021-03-07,2021-03-14,10000,4165605
2021-03-14,2021-03-21,0,5532703
2021-03-21,2021-03-28,0,3797888
2021-03-28,2021-04-04,0,4187727
2021-04-04,2021-04-11,0,4075219
2021-04-11,2021-04-18,0,4221312
2021-04-18,2021-04-25,0,4526568
2021-04-25,2021-05-02,10000,3832054
2021-05-02,2021-05-09,10000,5092421
2021-05-09,2021-05-16,0,4657273
2021-05-16,2021-05-23,10000,3789138
2021-05-23,2021-05-30,10000,5158652
2021-05-30,2021-06-06,0,3469938
2021-06-06,2021-06-13,20000,8359514
2021-06-13,2021-06-20,10000,13204277
2021-06-20,2021-06-27,10000,5707302
2021-06-27,2021-07-04,0,3966975
2021-07-04,2021-07-11,10000,4653310
2021-07-11,2021-07-18,10000,3586967
2021-07-18,2021-07-25,0,5532619
2021-07-25,2021-08-01,10000,4160628
2021-08-01,2021-08-08,0,1834355
2021-08-08,2021-08-15,10000,4037700
2021-08-15,2021-08-22,0,5723072
2021-08-22,2021-08-29,10000,5905096
2021-08-29,2021-09-05,10000,5626664
2021-09-05,2021-09-12,10000,6798871
2021-09-12,2021-09-19,0,3775119
2021-09-19,2021-09-26,10000,5071016
2021-09-26,2021-10-03,0,5243078
2021-10-03,2021-10-10,10000,8079559
2021-10-10,2021-10-17,10000,5891866
2021-10-17,2021-10-24,10000,5105519
2021-10-24,2021-10-31,0,5394021
2021-10-31,2021-11-07,10000,7183524
2021-11-07,2021-11-14,10000,6480059
2021-11-14,2021-11-21,10000,5722638
2021-11-21,2021-11-28,10000,4570209
2021-11-28,2021-12-05,0,4671808
2021-12-05,2021-12-12,10000,9496470
2021-12-12,2021-12-19,0,3765830
2021-12-19,2021-12-26,10000,5383758
2021-12-26,2022-01-02,0,3589764
2022-01-02,2022-01-09,10000,4835034
2022-01-09,2022-01-16,0,4255825
2022-01-16,2022-01-23,10000,4820584
2022-01-23,2022-01-30,10000,6091053
2022-01-30,2022-02-06,0,4057347
2022-02-06,2022-02-13,0,3713701
2022-02-13,2022-02-20,10000,4140803
2022-02-20,2022-02-27,10000,6606330
2022-02-27,2022-03-06,0,5298840
2022-03-06,2022-03-13,10000,6127550
2022-03-13,2022-03-20,10000,6380589
2022-03-20,2022-03-27,0,4665800
2022-03-27,2022-04-03,10000,4516872
2022-04-03,2022-04-10,0,4978645
2022-04-10,2022-04-17,10000,4869000
2022-04-17,2022-04-24,0,4334893
2022-04-24,2022-05-01,10000,4231268
2022-05-01,2022-05-08,0,3337912
2022-05-08,2022-05-15,0,2841120
2022-05-15,2022-05-22,0,2277330
